Herr Präsident, Herr Kommissar! Ich möchte ein paar Worte zu Malta verlieren.	Mr President, Commissioner, I would like to say a few words about Malta.
Zunächst einmal möchte ich all jenen danken, die mit dazu beigetragen haben, daß Malta wieder zusammen mit den anderen Beitrittsländern diskutiert wird, so wie es ja auch auf den Räten von Korfu und Essen vorgesehen wurde.	First, I would like to thank everyone who has helped to ensure that Malta is once again being considered alongside the other applicant countries, as envisaged at the Corfu and Essen Councils.
Auch Ihnen, Herr Kommissar van den Broek, ein besonderer Dank dafür, daß Sie sich von dem Moment an, als die gegenwärtige Regierung Maltas den Antrag auf Mitgliedschaft wieder aufnahm, nachdrücklich dafür eingesetzt haben.	I would also like to thank you in particular, Commissioner van den Broek, for the firm support you have offered ever since the present Maltese Government reactivated their country's application for membership.
Ich habe aber in diesem Zusammenhang dennoch ein paar Fragen an die Kommission.	However, I have a few questions for the Commission on this.
Erste Frage: Wir haben die Task Force-Erweiterung. Dort gibt es für alle Länder besondere Einheiten.	My first question is about the Task Force for the Accession Negotiations, which includes a special unit for each country.
Wann kann die Einheit, die für Malta zuständig ist, ihre Arbeit aufnehmen?	When will the unit responsible for Malta start work?
Meine zweite Frage bezieht sich auf das Vierte Finanzprotokoll.	My second question is about the fourth financial protocol.
Nach diesem Protokoll sind im Haushalt 1999 für Malta und Zypern jeweils 5 Millionen Euro vorgesehen.	According to this protocol the 1999 budget provides EUR 5 million each for Malta and Cyprus.
Aber auch unter Mithilfe der Kommission und noch vor den letzten Wahlen in Malta hatte man sich darauf geeinigt, daß das Finanzprotokoll für Malta um ein weiteres Jahr verlängert wird.	But with the help of the Commission and before the recent elections in Malta, it had been agreed that the financial protocol for Malta would be extended by a further year.
Jetzt sind einige Millionen Euro nicht vorhanden, weil sie nicht im Haushalt eingestellt waren.	Now, several million euros are not available, because they were not included in the budget.
Sehen Sie eine Möglichkeit, sei es im Notenboom-Verfahren oder auf anderem Wege, daß dieses Finanzprotokoll jetzt in dieser verlängerten Form erfüllt werden kann?	Do you see any chance, perhaps by using the Notenboom procedure or some other method, of implementing this extended financial protocol now?
Eine dritte Anmerkung noch zu dem aktuellen Bericht: Ich bedauere es sehr, daß die Frau Berichterstatterin es nicht für nötig befunden hat, während dieser Debatte hier anwesend zu sein.	My third comment is on the report before us. I am very sorry that the rapporteur did not consider it necessary to be present for this debate.
Ich beziehe mich auf die Änderungsanträge, die zum Bericht eingereicht wurden.	I am referring to the amendments tabled on the report.
Den Änderungsantrag Nr. 1, der die Autoritäten und die Verwaltung in Malta in die Pflicht nimmt, daß es nun bei dieser Zustimmung zum Beitritt zur Europäischen Union bleibt, halte ich für an die falsche Adresse gerichtet.	It seems to me that Amendment No 1, which takes the Maltese authorities and administration up on their promise to respect the vote in favour of membership of the European Union, is aimed at the wrong people.
Wir haben schließlich auch im Falle Norwegens erlebt, daß die Bevölkerung letztlich entschieden hat, wie vorgegangen wird, ohne daß man vorher den Behörden diese Verantwortung in die Schuhe geschoben hat.	After all, with Norway we saw that it was ultimately the public who decided what would happen, without anyone making the authorities responsible beforehand.
Im großen und ganzen danke ich dafür, daß wir heute diese Debatte hier führen können.	Overall, I am very grateful that we have had this debate here today.
