Herr Präsident!	.
Mahmud Abbas hätte heute vor Ihrem Parlament auftreten und eine Rede halten sollen. Aus den bekannten Gründen musste dieser Auftritt abgesagt werden.	Mr President, Mahmoud Abbas was supposed to appear before your House today to give a speech, but, for reasons of which you are aware, this speech had to be cancelled.
Es ist daher selbstverständlich, dass sich die Fraktionsführer und andere maßgebliche Abgeordnete hier zu Wort gemeldet haben.	It is therefore natural that the leaders of the groups and other important Members wished to speak.
Ich möchte aber doch die Gelegenheit nutzen, im Namen des Rates kurz unsere große Besorgnis über die anhaltende und eskalierende Gewalt im Nahen Osten zum Ausdruck zu bringen.	However, I would like to take the opportunity to express briefly, on behalf of the Council, our deep concern regarding the continuing and escalating violence in the Middle East.
Die Außenministerin und Ratsvorsitzende, Ursula Plassnik, hat die gewaltsamen Übergriffe radikaler Palästinenser auf EU-Einrichtungen verurteilt und sich im Übrigen auch den Appellen des Sicherheitsrates und des Generalsekretärs der Vereinten Nationen in diesem Sinne angeschlossen.	The Austrian Foreign Minister and President of the Council, Mrs Plassnik, has condemned the violent attacks by radical Palestinians on EU institutions and has also given her support to the appeals by the Security Council and the Secretary-General of the United Nations in this connection.
Das prioritäre Ziel ist die Wiederherstellung von Ruhe und Ordnung und der Schutz von Menschenleben.	The top priority is to restore peace and order and to protect human lives.
Wir müssen alle Verantwortlichen daran erinnern, dass sie die Verantwortung für den Schutz von Menschenleben und die Befreiung der noch in Haft befindlichen Geiseln haben.	We must remind all those responsible that they have a duty to protect human lives and to free the hostages still detained.
Wie Herr Pöttering richtig gesagt hat, ist es nicht die Zeit für Schnellschüsse.	As Mr Poettering quite rightly said, this is not the time for hasty conclusions.
Auch der Rat wird sich nunmehr beraten, welche Schritte konkret unternommen werden müssen.	The Council, too, will now discuss what specific steps need to be taken.
Ich stimme auch mit Herrn Schulz überein, der gesagt hat, dass alle Institutionen – das Parlament, aber auch der Rat und die Kommission – hier gefordert sind, in verantwortungsvoller Weise dafür zu sorgen, dass der Nahostfriedensprozess nicht endgültig unterbrochen wird, sondern weitergehen kann.	I also agree with Mr Schulz, who said that all the institutions – Parliament, the Council and the Commission – are duty-bound to act responsibly to ensure that the Middle East peace process does not break down irrevocably, but can continue.
Wir fordern Israel und die Palästinensische Autonomiebehörde zur Zurückhaltung auf, um eine weitere Eskalation zu verhindern.	We call on Israel and the Palestinian Authority to exercise restraint, in order to avoid further escalation.
Ich möchte in diesem Sinne auch Herrn Abgeordneten Cohn-Bendit zustimmen, dass wir unilaterale Maßnahmen verhindern und vermeiden müssen.	In this context, I would also agree with Mr Cohn-Bendit that we need to prevent and avoid unilateral action.
Das ist nicht der Weg zu einer Lösung der Probleme im Nahen Osten.	That is not the way to resolve the problems in the Middle East.
Die Außenminister haben sich gerade in den letzten Wochen und Monaten immer wieder sehr intensiv mit dem Problem des Nahen Ostens auseinandergesetzt, zuletzt am vergangenen Wochenende in Salzburg beim informellen Außenministertreffen, über das die Außenministerin heute berichten wird.	Over the last few weeks and months, the foreign ministers have repeatedly grappled with the problem of the Middle East, most recently in Salzburg last weekend at the informal meeting of foreign ministers, on which Mrs Plassnik will report today.
Angriffe auf Einrichtungen, Geiselnahmen, alle Arten von Gewalt stehen nicht nur im Widerspruch zu unseren eigenen Werte.	Attacks on institutions, hostage-taking and all other kinds of violence do not just contradict our own values.
Sie stören auch die Friedensbemühungen und laufen diesen zuwider.	They also disrupt and run counter to the peace efforts.
Wir hoffen, dass es uns allen gemeinsam gelingen wird, den Friedensprozess wieder auf die richtige Bahn zu bringen.	We hope that, together, we will be able to get the peace process back on track.
