Herr Präsident! Es ist geschafft, der Vertrag von Lissabon tritt in Kraft.	Mr President, we have done it - the Treaty of Lisbon has entered into force.
Vielen Dank an Cecilia Malmström, die schwedische Ratspräsidentschaft und das ganze Team, das dafür sehr hart gearbeitet hat.	I would like to thank Cecilia Malmström, the Swedish Presidency and the entire team who have all worked very hard.
Das ist eine große Leistung.	This is a major achievement.
Ich will in diesem Zusammenhang zwei Punkte kurz ansprechen, die hier Gegenstand der Debatte waren.	In this context, I would like to talk briefly about two points which formed the subject of this debate.
Punkt 1, der Ratspräsident.	The first point is the Council President.
Kommissionspräsident Barroso, Sie haben eben gesagt, Sie wollen mit Herman Van Rompuy im Tandem zusammenarbeiten.	Mr Barroso, you have just said that you want to work in tandem with Herman Van Rompuy.
Ich bin damit sehr einverstanden.	I think that this is a very good idea.
Arbeiten Sie mit dem Rat zusammen.	It is right that you should work together with the Council.
Aber eines will ich auch deutlich sagen: Der Ratspräsident muss sich vor keinem Parlament verantworten, weder vor dem Europäischen Parlament noch vor irgendeinem nationalen Parlament.	There is, though, one thing that I would like to say quite clearly: the Council President is not responsible to the European Parliament nor to any other parliament.
Das heißt, die demokratisch legitimierte Institution, der demokratisch legitimierte Präsident Europas sind Sie als Kommissionspräsident.	This means that you in your role of Commission President are the legitimate democratic institution and the legitimate democratic president of Europe.
Deswegen Tandem ja, aber dann sitzen Sie bitte vorne und lenken dieses Gefährt!	For this reason, by all means work in tandem, but please make sure that you are sitting in the front and steering the vehicle.
Zweiter Punkt: Die Ratsvertreterin hat eben gesagt, dass Cathy Ashton als Hohe Vertreterin und Vizepräsidentin der Kommission am 1.12.2009 beide Ämter voll antreten werde.	My second point is that the representative of the Council said that Cathy Ashton would take up both the office of High Representative and the office of Vice-President of the Commission on 1 December 2009.
Erstens ist es nur ein Amt - Hohe Vertreterin, Vizepräsidentin der Kommission -, und zweitens kann sie es ohne Zustimmung des Parlaments nicht voll antreten.	Firstly, it is only one office - High Representative, Vice-President of the Commission - and secondly, she cannot take up office without the consent of Parliament.
Ab dem 1.12. befindet sich die Kommission Barroso I ja in einem rechtlichen Niemandsland zwischen dem Ende von Nizza und dem Beginn von Lissabon.	From 1 December, the first Barroso Commission is in a legal no-man's-land between the end of the Treaty of Nice and the beginning of the Treaty of Lisbon.
Voll antreten wird Cathy Ashton ihren Job erst nach Zustimmung dieses Parlaments Ende Januar 2010.	Cathy Ashton will only fully take up office after receiving the consent of Parliament at the end of January 2010.
Ein abschließendes Wort zur Debattenkultur hier.	One final word on the debating culture in this House.
Wir sollten uns Herrn Farage einfach anhören.	We only need to listen to Mr Farage.
Wenn er einmal mit seinen Leuten in Großbritannien an der Regierung sein sollte, dann werden die Briten die Niederlassungsfreiheit in der Europäischen Union sehr zu schätzen wissen, denn sie kommen dann in Massen nach Frankreich, Deutschland, Spanien, Italien und auch nach Portugal, Herr Barroso!	If he and his party were ever to be in government in the United Kingdom, the British would really come to value the freedom of establishment in the European Union, because huge numbers of them would move to France, Germany, Spain and Italy and to Portugal, Mr Barroso.
