Frau Präsidentin, nur zwei Bemerkungen zum Cunha-Bericht.	Madam President, I have only two comments on the Cunha report.
Erstens, es ist ein guter Bericht.	Firstly, it is a good report.
Warum?	Why?
Herrn Cunha ist es gelungen, eine vernünftige Symbiose zwischen jetzt bestehenden Positionspapieren der Fraktionen und zukünftigen Berichten über die Produktionssektoren im Rahmen der Agenda 2000 herzustellen.	Because Mr Cunha has succeeded in achieving a sensible, mutually beneficial co-existence between current position papers by the parliamentary groups and future reports on the production sectors within the framework of Agenda 2000.
Ferner hat sich der Berichterstatter an die Empfehlung des Ausschusses für Landwirtschaft und ländliche Entwicklung gehalten, keine Details in seinen Bericht einfließen zu lassen, was ihn jedoch nicht davon abgehalten hat - und das zu Recht -, die Meinung des Ausschusses zu den Schwerpunkten der zukünftigen Agenda 2000 deutlich zu machen.	Furthermore, the rapporteur has kept to the recommendation by the Committee on Agriculture and Rural Development not to go into detail in his report, which did not, however, prevent him from - rightly - making the opinion of the Committee quite clear on the focal points of the future Agenda 2000.
Zweitens: Die Schlüsselrolle in der Agenda 2000-Diskussion spielt wohl die Preissenkung im Tausch gegen mehr oder weniger ausreichenden Ausgleich, Herr Kommissar.	Secondly, the protagonist in the Agenda 2000 discussion is price reductions in exchange for more or less sufficient compensation, Commissioner.
Man kann darüber diskutieren, wie man will, aber es muß sichergestellt sein, daß der Landwirt seinen Lebensunterhalt nicht ausschließlich oder im wesentlichen durch Kompensationen erwirtschaftet, sondern daß er mehr als bisher am Markt teilnehmen kann.	We can debate it as we wish but there has to be some guarantee that farmers do not derive their incomes solely or substantially from compensation but that they can participate in the market more than before.
Das ist genau der Punkt, der vor allem unsere Wähler bewegt, die uns in dieses Hohe Haus geschickt haben und die in zunehmendem Maße als Nicht-Landwirte dieses Finanzierungssystem nicht mehr verstehen.	This is exactly the point that affects our voters, the people who put us in this House and who, not being farmers, increasingly fail to understand this system of financing.
Aber haben diese unsere Wähler einmal gefragt, warum beispielsweise bei der MacSharry-Reform 1992 vorgenommene Erzeugerpreissenkungen nicht beim Verbraucher sichtbar wurden?	But have our voters ever asked why production price reductions - undertaken, for example, in the MacSharry reform in 1992 - never filtered through to the consumer?
Wie wird es nun bei der zukünftigen Fischler-Reform sein, um mal einen anderen Namen für den Agrarteil der Agenda zu formulieren?	What will be the effect of the future Fischler reform, to give another name to the agriculture part of the Agenda?
Herr Kommissar, wird das Brot billiger?	Commissioner, will bread prices fall?
Denn der Getreidepreis soll nun um 20 % gesenkt werden.	Cereal prices are to be reduced by 20 %, after all.
Wird das Bier billiger?	Will beer become cheaper?
Eine Freude für alle, die diesem Getränk so sehr zugetan sind, da der Getreideanteil in diesem schönen Produkt nicht unerheblich ist, und der Preis dafür wird ja gesenkt!	A delight to all aficionados of this drink, as the percentage of cereal in this lovely product is by no means insignificant, and the price of cereals is being reduced!
Wird das Fleisch billiger, bei der vorgesehenen Preissenkung um 30 %?	Will meat become cheaper, given the planned 30 % price reduction?
Wie wird es mit dem Butterpreis aussehen?	What about the price of butter?
Nicht zuletzt müßte sich auch der Mischfutterpreis in der Tierernährung kostengünstiger gestalten.	Last but not least, the price of compound feedingstuff in animal feeds should become cheaper.
Werden wir das zu erwarten haben?	Will we be able to expect this?
Wenn das zuträfe, würden unsere Wähler, die nicht nur mit der Landwirtschaft zu tun haben, mit Sicherheit endlich mehr Verständnis für die europäische Landwirtschaft aufbringen.	If this were the case, our voters, who are not only concerned with agriculture, would certainly have greater understanding for European agriculture.
Nur, sie müssen es beim Einkaufen im Geldbeutel merken.	But they will have to be able to see it in their wallets when they go shopping.
Dann wäre die europäische Landwirtschaft wesentlich glaubwürdiger!	Then European agriculture would be a great deal more credible!
