Herr Präsident! Wir sollten uns heute Abend einmal selbst ordentlich loben!	Mr President, we really should congratulate ourselves this evening!
Wenn wir einen europäischen Rechtstext haben, der für die Bürger wirklich von Bedeutung ist, dann verstecken wir ihn in die Nachtsitzung.	If we have a European legal text that really does matter to the man and woman in the street, we hide it in the night sitting.
Damit niemand hört und sieht, was wir im Rahmen der europäischen Gesetzgebung tatsächlich für europäische Anliegen leisten.	That way no one can see or hear what we are actually doing for European concerns in European legislation.
Dabei gäbe es sehr viel über den europäischen Mehrwert zu sagen, den wir mit dem einheitlichen europäischen Führerschein erreichen können.	A lot might be said about the European added value that could be obtained with the single European driving licence.
Mathieu Grosch ist zu danken, dass er diesen Flohzirkus zusammengebracht hat.	We have to thank Mr Grosch for bringing this flea circus together.
Er hat bereits einiges gesagt.	He has already mentioned a few things.
Wir vereinfachen, wir machen aus 110 Führerscheinen nationaler Herkunft - und mit den neuen Mitgliedstaaten sind es schon deutlich mehr als diese 110 - einen europäischen Führerschein.	We are simplifying, we are making one European driving licence out of 110 national driving licences - and with the new Member States it is already appreciably more than 110.
Wir sorgen für mehr Sicherheit.	We are making things safer.
Angesprochen wurde bereits das Thema Stufenführerschein, es gäbe hier auch noch sehr viele weitere Einzelheiten zu nennen.	Progressive access has already been mentioned, and many more details might also be mentioned.
Wir versuchen, den Führerscheintourismus zu unterbinden, und ich kann mich nur denen anschließen, die an die Kommission den Appell gerichtet haben, die Nationalstaaten möglichst rasch auf dieses Thema festzunageln.	We are trying to prevent driving licence tourism, and I can only add my support to those who have called on the Commission to pin the nation states down on this as quickly as possible.
Wir haben auch durchgesetzt, dass keine Diskriminierung älterer Führerscheininhaber durch permanente Nachuntersuchungen stattfinden wird.	We have also ensured that older drivers will not be discriminated against by permanent medical examinations.
Ältere Führerscheininhaber mögen in bestimmten Fahrsituationen durchaus gefährlich sein, aber die wirklichen Gefahren gehen im Straßenverkehr häufig von den jüngeren aus.	Older drivers may indeed be dangerous in certain driving situations, but the real dangers on the roads are frequently caused by the younger ones.
Es freut mich - und Mathieu Grosch hat das auch angesprochen -, dass der österreichische Ratsvorsitz zum heutigen Erfolg beigetragen hat.	I am glad - as Mr Grosch has also said - that the Austrian Council Presidency has contributed to today's success.
Dass diese Regierung dann von den Bürgern zu Hause abgewählt wurde, passt ins Bild.	It fits the picture that that government was then voted out of office by the citizens at home.
