Schönen guten Abend, Herr Präsident, Frau Kommissarin!	A very good evening Mr President, Commissioner.
Es ist ungewöhnlich, aber Sie wissen, ich schätze Sie persönlich sehr und deshalb freue ich mich, daß ich Sie heute abend sehe.	It is unusual, but you know that I have the highest personal regard for you and am therefore delighted to see you here this evening.
Die Interoperabilität ist ein grundsätzliches Thema, und eigentlich, wenn man es genau nimmt, ist die Stunde gekommen, wo wir sagen müssen, daß die Europäische Union die letzten Jahre versagt hat.	Interoperability is a fundamental issue and, if we take it seriously, the time has come to admit that the European Union has failed over recent years.
Wir sind überhaupt nicht weiter gekommen bei der Interoperabilität.	We have made no progress whatsoever with interoperability.
Ich finde es ganz wichtig, daß wir auch noch einmal dem Rat, wo alles fleißig aufgeschrieben wird, mitteilen, daß wir 40 Jahre nach Schaffung des europäischen gemeinsamen Marktes im Eisenbahnsektor nicht weitergekommen sind.	I think it is extremely important that we again inform the Council, where everything is diligently recorded, that 40 years after the creation of the European common market, we have made no progress in the railway sector.
Ich hoffe, daß der Entwurf dieses Berichts von Herrn Savary, - dem ich noch einmal besonders danken möchte für seinen Entwurf, und ich darf auch meiner Kollegin, Frau Jeggle, danken für ihre Schattenberichterstattung -, wenn wir dazu kommen, daß auch Kommission und Rat ihn übernehmen, eine sehr vernünftige Situation für die Zukunft bedeutet.	I hope that the draft report by Mr Savary, whom I should like once again to thank for his draft, and I should also like to thank my colleague Mrs Jeggle for her shadow report - I hope that if we manage to persuade the Commission and Council to accept the draft report, we shall be reasonably well placed for the future.
Ich hoffe, daß der Rat das, was wir hier in den Änderungsanträgen vorschlagen, auch übernimmt.	I also hope that the Council will accept our proposed amendments.
Wir haben uns große Mühe gegeben, und der Kollege Savary hat noch für die Sitzung des Plenums zig Änderungsanträge eingereicht, die wir unterstützen, um einen Bericht zu machen, der vom Rat angenommen werden kann, um eigentlich ein Vermittlungsverfahren, eine zweite Lesung zu ersparen.	We have taken a great deal of trouble and Mr Savary has also tabled umpteen proposed amendments for the plenary sitting, which we support, in order to achieve a report which the Council can accept, thereby avoiding a conciliation procedure and second reading.
Ich hoffe, daß der Rat das tun wird, und ich appelliere an seine Verantwortung.	I hope that the Council will do so and I call on it to act responsibly.
Nachdem wir über Jahre bei der Interoperabilität nicht weitergekommen sind, sollte der Rat jetzt das, was wir morgen beschließen, akzeptieren, so daß wir in der Sache weiterkommen, um nicht noch eine zweite Lesung, ein Vermittlungsverfahren, zu bekommen.	Having made no progress whatsoever with interoperability for years now, the Council should accept our decision tomorrow so that we can make some progress and avoid yet another second reading and conciliation procedure.
Die Schwierigkeit, die man sehen muß, ist natürlich, daß der Binnenmarkt nur funktionieren kann, wenn wir einheitliche Systeme auf Dauer haben, und wir müssen auch sehen, daß wir hier wirklich vorankommen.	The difficulty which must be acknowledged is, of course, that the internal market can only function if we have uniform systems in the long term and we must ensure that we really do make progress here.
Ich appelliere auch an die Industrie in Europa, daß sie das aufgibt, was sie in den letzten Jahren gemacht hat. Sie hat die letzten Jahre, um ihre nationalen Märkte abzuschotten, bewußt nicht Material hergestellt, das in anderen Ländern auch einsatzfähig ist.	I also call on industry in Europe to abandon the policy it has pursued over recent years of separating off its national market by deliberately not manufacturing rolling stock which can be used in other countries.
Jeder hat seinen Markt abgegrenzt. Deshalb haben wir diesen fragmentierten Markt bei der europäischen Eisenbahn - dies ist unakzeptabel.	Everyone has staked out their own market, which is why we have this fragmented railway market in Europe - and this is unacceptable.
Erlauben Sie mir noch eine Schlußbemerkung: Der Kollege Swoboda, der als nächster redet, und ich werden über das Eisenbahn-Paket demnächst in diesem Hause reden.	Allow me one more closing comment. Mr Swoboda, who is about to speak, and I shall soon be discussing the Railway Pact here in the House.
Wir öffnen die Märkte, aber hierzu brauchen wir die Interoperabilität.	We are opening the markets but we need interoperability in order to do so.
Das sind zwei Seiten eines Gesamtkomplexes, und von daher hoffe ich, daß der Rat wirklich weise und klug genug ist, die Änderungsanträge, die wir morgen wahrscheinlich mit breiter Mehrheit annehmen werden, zu übernehmen.	These are two aspects of the overall complex and I therefore hope that the Council really is wise and clever enough to accept the proposed amendments which we shall probably adopt by a large majority tomorrow.
