Herr Präsident, Frau Kommissarin! Die Wettbewerbsfähigkeit ist das Thema Nummer 1 in Europa.	Mr President, Commissioner, competitiveness is theme number 1 in Europe.
Selbstverständlich gilt es für jedes Unternehmen, für jeden Unternehmer in erster Linie, Monopolist zu werden.	Every company, every entrepreneur, is of course out principally to create a monopoly.
Er selbst, das Unternehmen selbst, möchte gern ein Monopol haben.	The entrepreneur himself or company itself would like to have a monopoly.
Dagegen sind natürlich die Zulieferer und die Abnehmer, so daß auch hier der Zwang zur Marktwirtschaft entsteht.	Suppliers and customers are naturally opposed to this so that, here too, there is pressure in the direction of a market economy.
Ich glaube, das macht es so interessant, daß die Marktwirtschaft in erster Linie zum Nutzen des Konsumenten da ist und daher Monopolisten verhindert.	I believe - and this is what makes it so interesting - that the market economy is there in the first place for the benefit of the consumer and therefore stands in the way of monopolists.
Arbeitsplätze schafft nämlich der Konsument mit seiner Entscheidung, Dienstleistungen zu kaufen und Produkte zu kaufen, die für ihn von Nutzen sind.	The consumer creates jobs through his decision to purchase products and services which are of use to him.
Ich glaube, dieses Erfolgsdreieck, das wir haben, nämlich auf der einen Seite das Unternehmen mit seinen Eigentümern und Aktionären und auf der anderen Seite die Arbeitnehmer und auf der dritten Seite die Konsumenten, dieses Dreieck muß gemeinsam erfolgreich sein.	I believe that this triangle of success we have, with the company on the one side with its owners and shareholders, the employees on the second side and the consumers on the third side just has to be successful.
Jeder muß einen Vorteil haben.	Everyone must gain some advantage.
Wir müssen zusehen, daß es hier eine win-win situation gibt, daß alle davon profitieren, wenn Produkte und Dienstleistungen angeboten werden, die von den Konsumenten gekauft werden.	We must see to it that there is a win-win situation here and that everyone benefits when products and services are offered which are bought by consumers.
Hier brauchen wir in erster Linie eine Weiterbildungsinitiative.	What we need as a priority here is a development initiative.
Wir müssen schauen, daß electronic commerce, daß viele Technologien bei uns effizient und rasch eingeführt werden.	We must ensure that we see electronic commerce and many other technologies introduced quickly and efficiently.
Wir brauchen eine dramatisch verstärkte und verbesserte Infrastruktur.	We need a dramatically strengthened and improved infrastructure.
Wir hinken hier in sehr vielen Bereichen hinterher.	In very many areas in this regard, we are still limping along behind.
Letztlich auch die Forschung: Wir diskutieren hier über minimale Beträge in der Forschung, gerade das aber schätzt der Konsument, nämlich neue und effiziente Produkte zu haben.	Finally, research too. We are discussing minimum amounts for research here. Having new and efficient products, however, is precisely what the consumer values.
Hier brauchen wir auch eine neue Kultur auf europäischer Ebene und - da möchte ich Hans-Peter Martin unterstützen - in der europäischen Sozialpartnerschaft brauchen wir neue Akzente, die es zulassen, daß eine win-win situation für alle drei Beteiligten entsteht: nämlich für die Unternehmen, für die Arbeitnehmer und für die Konsumenten.	This is where we also need a new culture at European level. In the European social partnership - and here I should like to support Hans-Peter Martin - we need new emphases which permit a win-win situation arising for all three types of participant: namely for companies, employees and consumers.
Dann haben wir auch in Europa in Zukunft die Chance, in Wohlstand leben zu können.	In Europe too, then, we shall have the chance to live in prosperity in the future.
Wenn wir heute die Erweiterung betrachten, dann ist der Wohlstand auch in Zusammenhang mit der Erweiterung eine der wesentlichen und zentralen Fragen.	If today we consider the enlargement of the European Union, then prosperity is one of the central and most important questions in connection with enlargement as well.
Hier möchte ich die Frau Kommissarin bitten, auch beim europäischen Budget darauf zu achten, daß wir jene Haushaltszeilen, die Arbeitsplätze fördern, in Zukunft verstärkt dotieren!	I should like to ask the Commissioner to ensure that, where the European budget too is concerned, we have a situation in which more money is put into budget lines which promote jobs.
