Herr Präsident! Frau Berichterstatterin, meinen Glückwunsch für Ihren Bericht.	Mr President, rapporteur, I would like to congratulate you on your report.
Es hat ja in der letzten Zeit einigen Wirbel gegeben, und ich denke, die gentechnisch veränderten Organismen sind natürlich dazu angetan, hier über die Ausrichtung dieser Richtlinie zu streiten.	There has been some turmoil lately, and I believe the genetically modified organisms will, of course, be inclined to dispute the purport of this directive.
Aber fairerweise muss man sagen, es wird niemand gezwungen, gentechnisch verändertes Material anzuwenden.	But in all fairness, it has to be said that no one is forced to use genetically modified material.
Bislang haben wir es im Weinbau nicht.	It has had no place in viticulture so far.
Ich bin ein grundsätzlicher Gegner von gentechnisch veränderten Organismen, und ich bin ein Weinliebhaber und möchte gerne bei dem Wein bleiben, den wir bis jetzt gehabt haben.	I am fundamentally opposed to genetically modified organisms and am a wine lover, and I would very much like to stick with the wine we have been producing to date.
Von daher begrüße ich auch, dass wir traditionelle, regionalspezifische Weinsorten noch extra hervorgehoben haben.	I therefore welcome the fact that we have placed additional emphasis on traditional, regional types of wine.
Was das gentechnisch veränderte Material betrifft, so bin ich der Ansicht, dass wir in diesem Bericht mit dem Hinweis auf die Richtlinie 90/220 eine rechtliche Absicherung haben.	When it comes to genetically modified material, I take the view that the reference made in this report to directive 90/220 secures legal protection.
Alle anstehenden Veränderungen werden und müssen hier greifen.	Any prospective changes, will, and must, be made to this end.
Darüber hinaus, Frau Klaß, wäre es aber wichtig, dass wir gerade im Weinbau neben der rechtlichen Seite auch die politische Seite betonen und - wenn wir es denn schaffen - den Weinbau möglichst von gentechnisch verändertem Material freihalten.	In addition, Mrs Klass, it is, however, important to stress the political dimension as well as the legal aspect, particularly where viticulture is concerned, and - providing we manage to do so - to keep viticulture free of genetically modified material if at all possible.
Ich hoffe, dass die Winzerinnen und Winzer sich aus eigenem Interesse davon fernhalten, denn wir wissen, dass es bei den Verbraucherinnen und Verbrauchern auf starke Ablehnung stößt.	I hope that the wine growers will have no truck with GMOs, for their own sake, because we know that consumers strongly disapprove.
Ich hoffe, dass dadurch verhindert wird, dass wir auch den Wein diesem Material öffnen.	I hope this will inspire us to rule out the possibility of having genetically modified vines.
