Wir betonen zu Recht, dass die Türkei noch weitere Anstrengungen machen muss.	We are right to emphasise that Turkey has to make further efforts.
Das Ziel, in der Türkei eine stabile und wohlhabende Demokratie aufzubauen, ist nicht nur im Interesse der Türkei, sondern auch ein wichtiges strategisches Interesse der EU.	The goal of achieving a stable and prosperous democracy in Turkey is not only in Turkey's own interests, but is also an important strategic interest of the EU.
Sorgen bereitet mir die Haltung des nächsten Ratspräsidenten Sarkozy.	I am concerned about the attitude of the incoming Council President, Mr Sarkozy.
Seine Türkeipolitik setzt nicht auf einen EU-Beitritt.	His policy on Turkey does not aim to achieve EU accession for Turkey.
Er beharrt auf der Streichung der Bezeichnung Beitrittskandidat in EU-Dokumenten und betont, Frankreich werde nur der Eröffnung von Kapiteln zustimmen, die nicht auf eine Vollmitgliedschaft hinauslaufen.	He is insisting on references to Turkey as an accession candidate being deleted from EU documents, and emphasises that France will only endorse the opening of chapters which do not aim at full membership.
Damit steht die Glaubwürdigkeit der EU auf dem Spiel.	The EU's credibility is at stake here.
Ich betone: Pacta sunt servanda!	Let me underline one point: pacta sunt servanda!
Die Eröffnung der Beitrittsverhandlungen wurde einstimmig beschlossen, auch Frankreich sagte ja.	The opening of accession negotiations was agreed unanimously, and that means that France agreed to it as well.
Anstatt negative Signale zu senden, sollte die EU konstruktiv mit der Türkei umgehen.	Instead of sending out negative signals, the EU should deal constructively with Turkey.
Wir haben in diesem Parlament mit Mehrheit entschieden, dass wir mit der Türkei...	In this House, we have decided by a majority that, with Turkey, we ...
(Die Präsidentin entzieht dem Redner das Wort)	(The President cut off the speaker)
