Herr Präsident! Ich muss leider meine Wortmeldung mit einer Kritik beginnen.	– Mr President, I regret having to begin my speech with words of criticism.
Dass uns der Präsident und die Präsidentschaft verlassen hat, verheißt für dieses Projekt nicht sehr Gutes.	The fact that the President and the Presidency have left the Chamber does not bode well for this project.
Wir haben das Thema der Erweiterung vorhin in Anwesenheit von Minister Roche sehr erfolgreich und positiv diskutiert, aber jetzt, wo es darum geht, auch und gerade die Erweiterung technisch möglich zu machen, sie inhaltlich mit Leben zu erfüllen, ist die Präsidentschaft nicht da.	Mr Roche was present earlier while we had a very successful and positive discussion of the issue of enlargement, but now we are dealing with the technicalities of making enlargement possible, of giving it substance and life, the Presidency is not there.
Das ist ein Versäumnis, das man der sonst sehr bemühten irischen Präsidentschaft ausdrücklich vorwerfen muss.	For such neglect we must reproach the Irish presidency, which has otherwise been so painstaking.
In der Sache selbst möchte ich darauf hinweisen, wie schon eine Reihe von Vorrednern vor mir, dass wir für das Funktionieren der Europäischen Union und insbesondere für das Funktionieren des Binnenmarkts eine funktionsfähige Infrastruktur brauchen.	Turning to the matter in hand, let me point out – as a number of speakers have already done – that we need a functioning infrastructure if the European Union, and the internal market in particular, are to function.
Ohne ausreichende Bahnverbindungen, Straßen- und Wasserverbindungen wird es nicht gehen.	Nothing will work without adequate rail, road and water links.
Die EU-Erweiterung macht es dringend erforderlich, dieses Netz zu erweitern; genauer genommen, Verbindungen herzustellen bzw. wieder herzustellen, die es in Europa zum Teil vor 70 Jahren bereits gab, die aber in 70 Jahren der kommunistischen Herrschaft über Teile Osteuropas größtenteils zurückgebaut wurden.	The enlargement of the EU makes it a matter of urgent necessity that the network should be extended; to put it more precisely, what this means is establishing links or rather restoring those that Europe had, in some instances, 70 years ago, but most of which were shut down during the 70 years in which parts of Eastern Europe were under Communist rule.
Diese Lücken müssen wir jetzt mühselig wieder schließen.	We now have to expend a great deal of effort on closing these gaps.
Das betrifft im Besonderen eine Reihe von Verbindungen aus meinem Heimatland Österreich. Ich habe in dem Zusammenhang eine Reihe von kleineren Ergänzungsvorschlägen gemacht und darf ausdrücklich meinem Kollegen Jarzembowski widersprechen: Es war keine Zufallsmehrheit, sondern sie war gezielt und sehr bemüht, im Dienste der Sache, Lücken zu schließen.	I refer in particular to a number of links running from Austria, my home country, in relation to which I have proposed a number of minor additions, and will take this opportunity to contradict my colleague Mr Jarzembowski.
Besonders gilt das für die Frage der Bahnverbindung von Graz nach Spielfeld: hier wird der neue Mitgliedstaat Slowenien auch über die Bahn voll funktionsfähig angebunden. Es geht um die Frage, Linz - Prag und um die so genannte Summerauerbahn.	The majority was not fortuitous; it was deliberate and very determined, for the sake of the matter in hand, to close loopholes; we were concerned with, among other things, particularly the rail link between Graz and Spielfeld, which provides a functioning rail link with the new Member State of Slovenia, with the line from Linz to Prague and with what is known as Summerau line.
Hier geht es darum, auch die Republik Tschechien über eine vernünftige und funktionsfähige Bahnverbindung anzubinden.	It also mattered to us that the Czech Republic should be connected via a proper and functioning rail link.
Ich würde mich freuen, wenn es trotz der Widerstände, die nicht zuletzt aus meinem eigenen Land kommen, auch gelänge, die so genannte Südbahn und die Semmering-Verbindung in dieses Netz einzubringen.	I would rejoice if, despite the resistance with which this meets, not least from my own country, we could also succeed in incorporating what is called the Southern Railway and the Semmering link into this network.
Ganz wichtig erscheint mir im Zusammenhang mit unserer heutigen Diskussion und den weiteren Fortschritten, die wir hoffentlich erwarten können, das, was die Frau Vizepräsidentin vorhin ausdrücklich gesagt hat.	What the Vice-President stated earlier strikes me as being extremely important in the context of our present discussion and the further progress that we hope we can expect.
Es geht nicht darum, dass wir gezeichnete Linien brauchen.	It is not lines on a map that we need; they have to become reality.
Die gezeichneten Linien müssen Realität werden und deshalb müssen wir uns darum kümmern, dass die Projekte tatsächlich in Angriff genommen und realisiert werden und dass die Finanzierung dafür bereitgestellt wird.	It is for that reason that we have to make it our concern that a start really is made on these projects, that they are brought to completion, and that funding should be provided for them.
Wenn uns das gelingt, dann hätte das auch einen positiven Beschäftigungseffekt.	If we succeed in this, it can be expected to have a positive effect on employment.
Einiges von dem, was wir im Zusammenhang mit Lissabon immer fordern, könnten wir auf diese Art und Weise rasch und zweckmäßig umsetzen.	We would thereby be implementing some of what we constantly demand in connection with Lisbon.
