Herr Präsident, zuerst einmal möchte ich mich bei den beiden Berichterstattern bedanken.	Mr President, first of all I should like to thank the two rapporteurs.
Sie haben beide in dieser schwierigen Materie gute Arbeit geleistet.	This is a difficult subject and they have both done a fine job.
Also herzlichen Dank Kollege Chanterie und Kollege McMahon!	So thank you very much, Mr Chanterie and Mr McMahon!
Ich kann dem Kollegen van Velzen nur zustimmen.	I can only agree with Mr van Velzen.
Man kann Bereiche von solchen Regelungen nicht ausschließen, nur weil sie schwierig sind.	We cannot exclude sectors from legislation of this kind just because they are problematic.
Denn der eine Punkt ist die Gesundheit der Arbeitnehmer.	One reason for this is the health of the workers.
Wenn ich mir nun diese schwierigen Arbeitsplätze beim fahrenden Personal und bei den selbständigen Kraftfahren ansehe, dann kann ich bei der Gesundheitsgefährdung keinen Unterschied zwischen Arbeitnehmern und selbständigen Fahrern erkennen.	When I consider the demanding jobs done by mobile workers and self-employed drivers, I cannot see any difference between employees and self-employed drivers in terms of danger to health.
Ich meine, für beide muß ein Schutz vorgesehen werden.	I believe that protection needs to be provided for both groups.
Das gilt natürlich auch für die Seeleute an Bord von Schiffen, für offshore -Tätigkeiten, insbesondere auch für Ärzte, die ganz gewiß keinen einfachen Arbeitsplatz haben.	Of course this also applies to seafarers on board ships, offshore workers and in particular doctors, who certainly do not have an easy job.
Das ist die eine Seite, die Gesundheit der Arbeitnehmer.	That is one reason, the workers' health.
Die andere Seite ist natürlich die Sicherheit, und die betrifft leider auch die anderen, die nicht in diesen Bereichen tätig sind.	The other is of course safety, and unfortunately this also affects those who do not work in these sectors.
Denn wenn ich mit meinem Pkw von einem übermüdeten Lastwagenfahrer, obwohl ich ordentlich fahre, überrollt werde, ist das für mich sicherlich nicht gerade angenehm.	You see, if an overtired lorry driver runs into my car, although I am driving properly, that is certainly not exactly good for me.
Wenn ein mit Öl beladenes Schiff - das haben wir erlebt - wegen eines schlafenden Kapitäns strandet, dann ist die gesamte Umwelt gefährdet.	If a ship carrying oil - and this is something we have experienced - runs aground because the master is asleep, this puts the whole environment at risk.
So kann man diesen Bereich "Sicherheit" sehr wohl ausdehnen.	It is therefore very easy to see the wider implications of the safety issue.
Ich denke, schon allein deswegen ist das sehr, sehr wichtig.	I think that for this reason alone, this is very, very important.
Herr Kollege van Velzen, ich denke, wir sollten tatsächlich versuchen, innerhalb der beiden großen Fraktionen und vielleicht zusammen mit all den anderen, die bereit sind mitzuarbeiten, noch bei den Änderungsanträgen Kompromisse zu finden.	Mr van Velzen, I think that we should actually make renewed efforts within the two large groups - and perhaps with all the others who are willing to cooperate - to reach compromises on the amendments.
Ich würde das gerade in diesen beiden Bereichen für sehr wichtig halten.	I would see this as particularly important in these two areas.
Ich hoffe auch, daß wir im Bereich der Sonntagsruhe noch zu einer vernünftigen Regelung kommen, der sich auch die Kommission anschließen kann, ohne daß uns der Europäische Gerichtshof wieder Schwierigkeiten macht.	I also hope that we find a reasonable solution to the Sunday rest issue, one which the Commission is also able to endorse, without the European Court of Justice raising difficulties once again.
