Ich kann nicht ganz nachvollziehen, Herr Böge, was Sie mit fehlerhaften Berechnungsmethoden meinen.	Mr Böge, I cannot quite fathom what you mean by defective methods of calculation.
In Kopenhagen wurden Verhandlungen geführt und keine Berechnungen angestellt.	In Copenhagen, there were lengthy negotiations rather than calculations.
Für die internen Politikbereiche wurden, wie für die anderen Bereiche auch, die Zahlen festgelegt, wie viel zur Verfügung steht.	Figures were laid down for the internal policy areas as they were for the others, stating how much was allocated.
Ich darf auch noch einmal darauf hinweisen, dass es bei den internen Politikbereichen neue Programme geben wird, wie die Schengen-Fazilität.	Let me also reiterate that there will be new programmes in the internal policy areas, the Schengen facility being one example.
Vergleichbare hatten wir bisher in der EU der 15 nicht.	None of the programmes that we have had in the 15-Member EU can be compared with it.
Auch das spezifische Programm für die Unterstützung der Stillegung von Kernkraftwerken ist ein neues Programm.	Even the programme specifically for supporting the decommissioning of atomic power stations is a new one.
Für die existierenden Programme, an denen natürlich auch die neuen Mitgliedstaaten künftig alle voll teilnehmen werden - zum Teil tun sie dies ja schon -, steht dann für die Anpassung jährlich circa eine Milliarde Euro zur Verfügung.	In future, all the new Member States will of course be able to participate in the existing programmes - as indeed some of them already do - and approximately EUR 1 billion per annum has been allocated to the adaptation of these.
Hinsichtlich der Frage nach dem Vorgehen, wenn wir auf der einen Seite die Beschlüsse von Kopenhagen haben, dann die Beitrittsverträge und natürlich die interinstitutionelle Vereinbarung, die die Anpassung der Finanziellen Vorausschau als gemeinsame Entscheidung betont, ist die Kommission stets engagiert gewesen, dies gegenüber dem Rat zu betonen.	Further to your question about what is to be done in a situation where we have the Copenhagen resolutions on the one hand, the accession treaties on the other, and then, of course, the Inter-Institutional Agreement, which emphasises the need for a joint decision on the adjustment of the Financial Perspective, the Commission has constantly been committed to stressing this point to the Council.
In den Beschlüssen von Kopenhagen ist dies auch noch einmal so festgehalten.	This is again stated in the Copenhagen resolutions.
Dort hat der Europäische Rat gesagt, dass diese Tabelle, die dort das Verhandlungsergebnis zusammenfasst, von der Kommission in ihrem Vorschlag zu berücksichtigen ist.	At that time the European Council stated that the Commission, in its proposal, had to take into account the table summarising the outcome of negotiations.
Wir wissen nun, dass die Verhandlungsergebnisse nicht leicht zu erzielen waren.	We now know that the results of the negotiations were not easily achieved.
Die Erweiterungsstaaten haben ja auch sehr intensiv nicht nur über die Höhe, sondern auch über die Struktur der jeweiligen Ausgaben verhandelt.	The candidate countries, too, engaged in in-depth negotiations not only with regard to the amount to be spent, but also to the structure the expenditure should have.
Ich denke, dass man dies respektieren muss.	I think this is something we have to respect.
Aus diesem Grunde hat die Kommission beispielsweise hinsichtlich der Höhe der Strukturfonds im Vergleich zu den einmaligen Transfers diese Vorschläge bzw. Verhandlungsergebnisse übernommen.	It was for this reason, for example, that the Commission took on board these proposals and negotiation results as regards the amount of the Structural Funds in comparison with the lump sum transfers.
Ich denke, dass es sehr wichtig und sehr gut ist, dass wir schon in der nächste Woche die Möglichkeit haben, gemeinsam mit dem Rat das weitere Vorgehen zu besprechen.	I consider it very important, and as a very good thing, that we will, as early as next week, have the opportunity to join with the Council in discussing how we should take matters further.
