Herr Präsident, diese Waldbrände in Malaysia und Indonesien sind keine Naturkatastrophe.	Mr President, these forest fires in Malaysia and Indonesia are not a natural catastrophe.
Sie sind Ergebnis einer bestimmten Wirtschaftsweise, und sie geschehen auf Kosten der Natur.	They are the result of a particular method of agriculture, and they occur a the expense of nature.
Hier wird ein Großteil der ökologischen Lunge zerstört. Hier werden aber auch Menschen, die in den Wäldern leben, indigene Völker, umgebracht und zerstört.	A large part of the ecological lungs is being destroyed, but also people who live in the forests, indigenous races, are being killed and destroyed.
Nach Angaben des indonesischen Forstwirtschaftsministers sind 80 % der momentanen Waldbrände von Baumplantagen der großen Holzkonzerne ausgegangen.	According to information from the Indonesian Forestry Minister 80 % of the current fires originated on plantations belonging to the major timber companies.
Die größten Plantagenflächen gehören Firmen wie Finantara Intiga, einem gemeinsamen Unternehmen zweier indonesischer Firmen und des finnischen Konzerns ENZO FINLAND.	The largest plantations belong to companies such as Finantara Intiga, a joint venture by two Indonesian companies and the Finnish concern ENZO FINLAND.
Erst kürzlich einigten sich UPM-Kymmene Finnland und die von Singapur aus operierende asiatische Gruppe APRIL auf die Gründung neuer gemeinsamer Unternehmen zur Herstellung von Papier.	Only a short while ago UPM-Kymmene Finland and the Asian group APRIL, operating from Singapore, agreed on the establishment of a joint company for the manufacture of paper.
Der neue Konzern ist der größte Feinpapier-Produzent in Europa.	The new concern is the largest producer of high-grade paper in Europe.
In Asien werden Papiermühlen auf Sumatra, in Indonesien und in China ungefähr zwei Millionen Tonnen Papier und Zellstoff produzieren.	In Asia, paper mills in Sumatra, Indonesia and China will produce about two million tonnes of paper and cellulose.
Auch die Nordland Papier in Deutschland gehört zu UPM-Kymmene und ist am euroasiatischen Deal beteiligt.	Nordland Paper in Germany also belongs to UPM-Kymmene, and is involved in the Eurasian deal.
Europäische Konzerninteressen tragen dazu bei, daß in Indonesien Urwälder zu Plantagen werden.	European corporate interests are contributing to the formation of plantations out of primeval forests in Indonesia.
Dazu werden die betroffenen Gebiete häufig abgebrannt.	To do this the areas concerned are frequently burned off.
Außerdem gefährdet die Etablierung von Plantagen das Überleben der indigenen Völker in der Region, deren traditionelles Land oft enteignet wird und die damit ihre wirtschaftliche Grundlage verlieren.	In addition, the establishment of plantations endangers the existence of indigenous peoples in the region, whose original land is often commandeered, and who thus lose their economic base.
In unserer Entschließung des Europäischen Parlaments heißt es, daß die Ureinwohner im Inneren Indonesiens am schlimmsten durch die Waldbrände und die Luftverschmutzung betroffen seien, da ihr Zugang zu unverseuchtem Wasser begrenzt sei.	In the resolution of the European Parliament it says that indigenous residents in the Indonesian interior are hardest hit by the forest fires, because their access to unpolluted water is limited.
Außerdem leidet die indigene Bevölkerung in West Papua an akuter Nahrungsmittelknappheit, die durch eine Kombination von der momentan herrschenden Dürre und den Waldbränden verursacht wurde.	Furthermore, the indigenous population of West Papua is suffering acute food shortages caused by a combination of the current drought and forest fires.
Bis jetzt sind bereits rund 500 Menschen verhungert.	Some 500 people have died of starvation so far.
UN-Quellen schätzen, daß mindestens 90.000 Menschen von der Nahrungsmittelknappheit betroffen sein werden.	UN sources estimate that at least 90, 000 people will be affected by food shortages.
Die Waldbrände in Kalimantan treffen die dort lebenden indigenen Völker ebenfalls am härtesten, da ihr kulturelles und wirtschaftliches Überleben vom Erhalt der Waldressourcen abhängig ist.	The forest fires in Kalimantan also affect worst the indigenous peoples there, as their cultural and economic existence depends upon the maintenance of forest resources.
Wissenschaftler vor Ort sind der Meinung, daß die Plantagen mit ausschließlich schnellwüchsigen Baumarten und kurzen Umtriebszeiten zum Austrocknen der Wälder beitragen.	Scientists on the spot believe that plantations exclusively of fastgrowing trees with short harvesting periods will contribute to a drying out of the forests.
