Herr Präsident! Die EU muß für die Jugend da sein.	Mr President, the EU must be there for young people too.
Wenn die EU an der Jugend vorbeilebt, schafft man im besten Fall Gleichgültigkeit, im schlechtesten Fall Feindseligkeit.	If the EU ignores the needs of young people, the result - at best - will be indifference and, at worst, hostility.
Daher ist die Minimallösung bezüglich des Freiwilligendienstes von 47, 5 Mio ECU zwar weit unter dem Wunsch des EP geblieben, sie sichert aber immerhin eine Fortsetzung des Projekts.	The allocation of ECU 47.5 million to the European Voluntary Service for Young People is, it is true, the minimum required and much less than the European Parliament wanted, but at least it enables the project to continue.
Daher wird es zumindest einer kleinen Anzahl von Jugendlichen ermöglicht, auch ohne höhere Bildung Europa zu begreifen und zu erleben.	It means that at least a small number of young people without higher education will be able to understand and experience Europe for themselves.
In Zeiten hoher Jugendarbeitslosigkeit von ca. 15 bis 20 % der Gesamtzahl ist dies ohnehin nur ein Tropfen auf den heißen Stein.	At a time when youth unemployment has reached 15-20 %, this programme is just a drop in the ocean anyway.
In Österreich wird dieses Programm besonders gut angenommen.	In Austria, it has been implemented especially well.
Immerhin haben sich schon 100 Teilnehmer beteiligt, viele weitere warten darauf.	100 young people have already participated in the programme and many others are on the waiting lists.
Es ist ein Programm, das dem freiwilligen Sozialjahr keine Konkurrenz machen soll, das aber Jugendliche ansprechen soll, über den eigenen nationalen Schrebergartenzaun hinauszusehen.	The programme is not intended to conflict with the voluntary social service year, but is designed to appeal to young people and encourage them to look beyond their own immediate horizons.
Um es attraktiv zu gestalten, bedarf es nicht nur guter Projektangebote, sondern auch einer guten sozialen Absicherung.	In order to make the programme attractive, there must not only be a good range of projects but also good pastoral support.
Die Kritik, daß durch dieses Programm der Kollektivvertrag unterhöhlt wird, ist nicht berechtigt.	The criticism that this programme undermines collective agreements is unjustified.
Es sollen nicht Arbeitskräfte zum Billiglohn vermittelt werden, sondern Persönlichkeitsbildung, internationale Erfahrung und danach auch bessere Chancen im Leben ermöglicht werden.	The aim is not to provide cheap labour but to promote personal development and offer young people an opportunity to gain international experience and thus have better opportunities in life.
Dafür, daß dieses Programm Gewicht hat, ist es aber zu schmal bemessen.	However, the programme is too limited to have any real weight.
Man kann natürlich die Berechtigung von Projekten wie 'Frösche retten in der Provence' in Frage stellen.	We can of course question the justification of projects such as 'frog conservation in Provence' .
Wenn man bedenkt, daß 10 Millionen junger Menschen in Europa keinen Schulabschluß haben, wäre es sinnvoller, das LEONARDO-Programm um 100 % aufzustocken.	If we bear in mind that 10 million young people in Europe leave school without qualifications, it would be more sensible to increase the budget for the Leonardo programme by 100 %.
Dieses Geld kommt Lehrlingen und Berufsschülern zugute.	This money would benefit apprentices and young people in occupational training.
Bei Programmen wie dem Freiwilligendienst kann man sich des Eindrucks nicht erwehren, daß es trotz der guten Absicht ein Alibiprogramm bleibt.	One cannot help but think that despite all the good intentions, programmes like the European Voluntary Service for Young People smack of tokenism.
