Herr Präsident! Vielen Dank, Claude.	Mr President, many thanks to you, Claude.
Du hast ja zu diesem Thema sehr viele Sitzungen abgehalten.	You held a great many meetings on this topic.
Es ist ein sehr komplexes Thema, und ich möchte mich insbesondere bedanken, dass du bei diesen Verhandlungen immer sehr transparent agiert und es uns ermöglicht hast, die gesamte Dimension dieses Projekts darzustellen.	It is a very complex issue and I would like to thank you particularly for being so consistently transparent throughout these negotiations and for making it possible for us to look at the project from a holistic perspective.
Es ist weltweit die Herausforderung in diesen Tagen, über Effizienz nachzudenken - im Energieverbrauch, aber auch in der Produktion.	The challenge worldwide nowadays is to think about efficiency, in energy consumption, but also in production.
Das kann nicht nur in den großen Dimensionen sein, sondern für uns gilt hier immer der Spruch: think small first - denke zuerst an die kleine Einheit. Wenn es dort funktioniert, wird es auch in der großen Einheit entsprechend funktionieren.	However, this cannot only apply to the macro level; we must always be guided by the maxim 'think small first': look at the micro level first, and if it works there, it will work at the macro level too.
Wir müssen uns darauf konzentrieren, dass wir die weltweit bestverfügbare Technologie verwenden.	We must focus on ensuring that we apply the best available technology that exists globally.
Das kann eine einfache, klar strukturierte Technologie sein, das muss nicht nur Elektronik und Nanotechnologie sein.	This can be simple, clearly structured technology; it does not need to be electronics and nanotechnology.
Wir müssen versuchen, einfache, gut verständliche, bestverfügbare Technologien soweit wie möglich finanziell zu entlasten, damit es sich jeder leisten kann, diese auch zu verwenden.	We have to try and make this technology financially accessible, as far as possible, so that everyone can afford to use it.
Auf der anderen Seite müssen wir natürlich die Verbrauchssünder dieser Welt belasten.	On the other hand, of course, we also have to penalise those who squander our Earth's resources.
Das ist auch für unseren Kommissar eine ganz wichtige Herausforderung, dieses globale Gefüge in den Griff zu bekommen, dass man die Verbrauchssünder belastet und diejenigen entlastet, die mit den besten effizienten Technologien produzieren.	This is a major challenge for our Commissioner as well, to look at the global structures: punishing those who waste energy and rewarding those who operate using the best and most efficient technologies.
Das ist auch in der Klimapolitik einer der Kernsätze.	This is a core principle in climate policy as well.
Studien in der Europäischen Union zeigen, dass der Klimawandel dreistellige Milliardensummen kosten wird.	Studies in the European Union show that the costs of climate change will run into billions and billions of euro.
Deshalb sollte nicht nur für Länder außerhalb Europas etwas getan werden, sondern der Rat sollte sich überlegen, frisches Geld für Forschung und Entwicklung in der Effizienz zur Verfügung zu stellen, und dies insbesondere im neuen European Institute of Technology.	That is why it is essential not only to do something for countries outside Europe; the Council should also be thinking about providing new funding for research and development in the field of energy efficiency, especially in the new European Institute of Technology.
