Herr Präsident, in der Tat befindet sich die Weltwirtschaft in einer durchaus nennenswerten Krise.	Mr President, the world economy is undoubtedly caught up in a significant crisis.
Trotzdem sind die Daten der Europäischen Union extrem positiv.	Nevertheless, the data for the European Union are extremely encouraging.
Wir haben für die Teilnehmerländer der Währungsunion für 1998 eine durchschnittliche Inflationsrate von 1, 5 %, ein staatliches Haushaltsdefizit von 2 % und ein Wirtschaftswachstum von 3 % zu erwarten, makroökonomische Daten, wie wir sie lange nicht mehr gehabt haben.	This year's average inflation rate for the countries participating in monetary union is expected to work out at 1.5 %, their national budget deficits at 2 % and their economic growth at 3 %. It is a long time since such favourable economic statistics were last recorded.
Wir sollten bei aller Diskussion über die Krisen weltweit betonen, daß es die Europäische Union ist, die der Stabilitätshort in der Welt ist, nicht zuletzt wegen der Entscheidung zum Euro, Herr Kommissar de Silguy.	For all our discussion of the global crises, it is worth emphasising that the European Union is the bastion of stability in the world, not least because of the decision to introduce the euro, Commissioner de Silguy.
Das sind die Fakten, über die wir diskutieren müssen.	These are the facts we have to discuss.
Wir dürfen das nicht vergessen!	We must not forget that.
Der Bericht der Kollegin Randzio-Plath setzt viele positive Ansatzpunkte, aber in einigen Punkten können wir überhaupt nicht zustimmen.	Mrs Randzio-Plath's report contains many useful ideas, but there are some points to which we certainly cannot subscribe.
Ich will die in der Kürze der Zeit nennen, da ich nicht erwarte, soviel Überziehungszeit zu bekommen wie die Kollegen der anderen Seite.	I intend to enumerate these points in the short time at my disposal, since I do not expect to be given so much additional time as the honourable Members on the other side of the House.
Erstens: Die Frage der kurzfristigen Kapitalkontrollen bringt unserer Ansicht nach überhaupt nichts.	First of all, we do not believe that there is any benefit at all to be derived from short-term capital controls.
Zweitens: Die Einsetzung eines Sicherheitsrates für Wirtschaftsfragen unter der Schirmherrschaft der Vereinten Nationen, eine absolute Phantasterei!	Secondly, the establishment of a Security Council for Economic Affairs under the auspices of the United Nations is nothing but a pipe dream.
Drittens: Frau Randzio-Plath, Ihr Kompromißantrag Nr. 5, den Sie uns untergeschoben haben, im Hinblick auf die Nichtanrechnung der Investitionen zur 3 %-Grenze hinsichtlich des Haushaltsdefizits beim Stabilitäts- und Wachstumspakt.	Thirdly, Mrs Randzio-Plath, Amendment No 5, which you foisted on us by way of a compromise, seeks to omit investments from the calculation of the budget deficit under the stability and growth pact.
Einen solchen Diener vor Herrn Lafontaine hätten Sie überhaupt nicht machen müssen!	There was absolutely no need for you to defer to Mr Lafontaine in that way!
Trotzdem brauchen wir mehr Transparenz auf der Ebene.	Nevertheless, we do need transparency in the realm of finance.
Ich will die drei Punkte kurz nennen.	Let me briefly list the three things we need.
Erstens: Transparenz auf nationaler und internationaler Ebene, weil die Märkte sonst nicht funktionieren können.	Firstly, we need transparency at the national and international levels, because the markets could not function otherwise.
Zweitens: Wir brauchen eine multilaterale Überwachung, vor allen Dingen im Hinblick auf die Finanzpolitik.	Secondly, we need a multilateral monitoring system, especially in the domain of fiscal policy.
Drittens: Wir brauchen Reformen hinsichtlich der nationalen Finanzmärkte.	Thirdly, we need reforms in the context of the national finance markets.
Die Bandbreiten für die Währungen Yen, Dollar und Euro, wie sie Herr Lafontaine vorgeschlagen hat, bringen uns überhaupt nicht weiter, denn so etwas kann man nur fordern, wenn man es sich vorher durch eine solide Wirtschafts-, Finanz- und Geldpolitik verdient hat.	The fluctuation margins for the yen, euro and dollar proposed by Mr Lafontaine are unhelpful, because we can only earn the right to make such demands by pursuing sound economic, fiscal and monetary policies.
Dabei ist die Europäische Union auf dem richtigen Weg.	That is precisely the path which the European Union is following.
Deshalb begrüßen wir den Weg, den die Kommission vorgeschlagen hat.	We therefore welcome the approach proposed by the Commission.
