. Herr Präsident!	Mr President.
Der Berichterstatter hat in seinem Bericht zu Recht ausgeführt, dass die Änderungen in den vergangen Jahren durchaus positive Änderungen gewesen sind.	The rapporteur quite rightly stated in his report that the changes made in past years have all been in the right direction.
Unser Ausschuss hat sehr deutlich gemacht, was ich auch deutlich machen möchte: Basel II strebt zu Recht an, Banken robuster zu machen, und wenn wir wissen, welche Kosten mit Bankenkrisen verbunden sind, dann ist das in der Tat ein sehr löbliches Ziel von Basel II. Eine zentrale Voraussetzung für ein bestandssicheres Finanzsystem ist nämlich die risikogerechte Preisbildung bei Krediten.	Our committee has clearly said, as I would also like to do, that Basel II is right to aim to make banks more stable, and that aim of Basel II is a very laudable one in view of what we know about the costs associated with bank crises. The fact is that risk sensitive loan pricing is a key requirement for a stable financial system.
Basel II bleibt aber erörterungsbedürftig.	Basel II still needs to be discussed.
Die Debatte hat schon über vier Jahre gedauert, und ich muss sagen, es ist positiv, dass insbesondere in der ersten Säule die Risikogewichtungsfunktion abgesenkt wurde und deutlich flacher geworden ist.	The debate has already lasted more than four years and I must say that it is positive that, in particular under the first pillar, the risk weighting function has been lowered and made significantly shallower.
Dies verringert mögliche Kreditzugangsprobleme, vor allem bei kleinen und mittleren Betrieben, und darüber hinaus ist es auch gut, dass der Anreiz für kürzere Kreditlaufzeiten verringert worden ist.	This avoids possible problems relating to access to credit, above all for SMEs. Furthermore, it is also positive that the appeal of shorter loan periods has lessened.
Wichtig ist aus europäischer Perspektive sicherlich auch die Nichtdiskriminierung dinglicher Sicherheiten.	From a European perspective, it is also certainly important that there should be no discrimination against tangible collateral.
Sie müssen mit Finanzsicherheiten gleichbehandelt werden.	It must be dealt with in the same way as financial collateral.
Wir sollten aber endlich realisieren, dass Basel II nicht nur Auswirkungen auf die kleinen und mittleren Bankinstitute, sondern auch auf kleine und mittlere Unternehmen hat.	We should, however, finally realise, that Basel II will have an impact, not only on small and medium-sized banks, but also on SMEs.
Die sehr differenzierte, aber für die Betriebe unentbehrliche Förderstruktur in der EU muss erhalten bleiben.	The extremely varied funding framework in the EU, which is nonetheless indispensable for business, must be kept.
Ein nicht durch Risikoüberlegungen gedeckter Anstieg der Kapitalanforderungen an durch Förderinstitute und Selbsthilfeeinrichtungen der Wirtschaft gesicherte Kredite muss ausgeschlossen bleiben.	An increase in capital demands for loans secured by the economy's promotional bodies and self-help institutions that are not covered by risk considerations must be excluded.
Einige weitere Fragen: Es ist meines Erachtens begründungsbedürftig, weshalb in den USA nur 10 Banken obligatorisch Basel II und weitere 10 Institute Basel II fakultativ anwenden, in Europa aber alle Kreditinstitute die Modelle einsetzen müssen.	A few further questions: I believe that it should be justified why only ten banks in the USA have to use Basel II and a further ten institutions use Basel II on a voluntary basis, whilst in Europe all credit institutions must implement the models.
Es ist gewiss richtig, dass die kleinen europäischen Banken in keiner unmittelbaren Konkurrenz mit den von den Baseler Verpflichtungen ausgenommenen US-Instituten stehen, sehr wohl aber doch die Unternehmenskunden dieser Institute.	It is quite right that small European banks are not in direct competition with US institutions excluded from the Basel obligations, but instead with these institutions' corporate customers.
Daraus könnte eine mögliche wettbewerbliche Schlechterstellung europäischer Unternehmen am Weltmarkt folgen.	This could potentially mean that, in terms of competition, European businesses would be put at a disadvantage on the world market.
Ich halte das für klärungsbedürftig, und ich zähle sehr darauf, dass das von der Kommission in Auftrag gegebene Gutachten auch diesen Punkt erörtert, und zwar so rechtzeitig, dass Änderungen daraus abgeleitet werden können.	I think that this needs to be clarified and I also count on the opinion sought by the Commission discussing this point, and in sufficient time for it to give rise to some amendments.
Ich möchte noch unterstreichen, dass es auch sehr wichtig ist, dass kritische Punkte, die von der Forschergruppe um Charles Goodhart von der London School of Economics angesprochen wurden, auch geklärt werden, insbesondere im Hinblick auf die Prozyklizität von Basel II, was schon angesprochen wurde.	I would also like to emphasise that it is very important that the crucial points that have been brought up by Charles Goodhart's research group from the London School of Economics should also be clarified, in particular those referring to the procyclicality of Basel II, to which reference has already been made.
Ich möchte ausdrücklich Herrn Radwan in seiner Argumentation unterstützen, dass das Europäische Parlament rechtzeitig die Probleme der kleinen und mittleren Unternehmen und der Beschäftigten angegangen ist, dass wir dabei bleiben und dass wir vor allem auch darauf achten, dass die Stimme des Parlaments hier weiterhin Gewicht hat und am Ende auch gehört wird.	I would like to formally give my support to Mr Radwan in his reasoning that Parliament should tackle in good time the problems of SMEs and their employees, that we should continue to do so, and that above all we should also ensure that Parliament's voice continues to carry weight and will be heard at the end.
