Herr Präsident, diese Richtlinie hatte eine schwere Geburt.	Mr President, this directive had a difficult birth.
Ich möchte nachträglich allen danken, die sich konstruktiv an der Arbeit beteiligt haben, im Namen der Kolleginnen und Kollegen natürlich unserem Berichterstatter, Herrn White, aber auch der Kommission, die sich bewegt hat.	On behalf of our colleagues let me after the event thank all those who played a constructive part in the work, including of course our rapporteur, Mr White, but also the Commission, which has showed signs of flexibility.
Ich erwarte von der deutschen Präsidentschaft, daß sie die Arbeit des Parlaments sorgfältig prüft, sonst könnte es bei der zweiten Lesung im Europäischen Parlament eine böse Überraschung in Form einer Ablehnung geben.	I expect the German Presidency to scrutinise Parliament's work carefully, otherwise there could be a bad surprise in store for it at the second reading in the European Parliament, in the form of rejection.
Als Berichterstatterin für das Grundwasseraktionsprogramm, das keineswegs überflüssig ist, halte ich folgende Aspekte für unverzichtbar: Die Festschreibung eines umfassenden Grundwasserschutzes, das Verbot der direkten Einleitung schädlicher Stoffe und damit verbunden die Vermeidung der Festlegung von Grenzwerten für das Grundwasser, um den sogenannten Auffüllungseffekt unmöglich zu machen, schließlich die weitestmögliche Beseitigung und Verhinderung sogenannter indirekter Einleitungen in das Grundwasser und natürlich die Sanierung verschmutzten Grundwassers so umfassend wie unter technischen Gesichtspunkten möglich.	As rapporteur on the groundwater action programme, which is another extremely important area, I regard the following requirement as essential: to lay down comprehensive groundwater protection measures, ban direct discharges of harmful substances and, linked to that, not to lay down limit values for groundwater, to preempt what is called the watering down effect, and finally to remove and prevent where possible what are called indirect discharges into groundwater and of course to clean up polluted groundwater as far as possible by technical means.
Diesen Zielen dienen drei meiner Änderungsanträge.	Three of my amendments serve those goals.
Ich möchte noch einmal darauf hinweisen, daß mir der Änderungsantrag 77 sehr am Herzen liegt und ich mit dem Kompromißantrag nicht einverstanden bin.	Let me point out again that I am particularly concerned with Amendment No 77 and do not accept the compromise amendment.
Warnen möchte ich vor überzogenen, unrealistischen und unpraktikablen Forderungen.	I would warn against making exaggerated, unrealistic and impractical demands.
Auch wenn der Umweltschutz in vielen anderen Politikbereichen bisher zu kurz gekommen ist und zu wenig beachtet wurde, dürfen wir diesen Fehler nicht in umgekehrter Richtung wiederholen.	Even if environmental protection has in the past had a raw deal in many other policy areas and too little attention has been paid to it, we must not repeat the same mistake by going too far in the opposite direction.
Deshalb bin ich mit unserer Fraktion entschieden gegen einige Änderungsanträge, die zum Teil einfach nicht durchführbar sind, weder mit viel Geld noch mit allen uns zur Verfügung stehenden technischen Möglichkeiten.	That is why I and my group are firmly opposed to certain amendments, some of which are simply not feasible, either for financial reasons or because we do not have the available technical resources.
Eine Gesetzgebung, die solches fordert, ist unglaubwürdig.	Legislation that called for too much would not be credible.
Abschließend noch eine Frage an die Kommission: Was geschieht mit dem Richtlinienentwurf zur ökologischen Gewässerqualität?	Let me conclude with a question to the Commission. What is happening with the draft directive on ecological water quality?
Mir ist nicht bekannt, daß die Kommission diesen Vorschlag offiziell zurückgezogen hätte.	If the Commission has officially withdrawn that proposal, I am not aware of it.
