. Herr Präsident, meine Damen und Herren, Kolleginnen und Kollegen!	Mr President, ladies and gentlemen, fellow members, this report deals with a very complex issue.
Es handelt sich bei dem vorliegenden Bericht um eine sehr komplizierte Materie. Einer der Anträge behandelt Erwägungsgründe, die im Grunde genommen in Prosa ein ganz allgemeines Anliegen dieses Hauses behandeln - weil vom Rechtsausschuß mit breiter Mehrheit verabschiedet -, nämlich die Tatsache, daß nach wie vor dem rechtsuchenden Publikum in der Europäischen Union keine ausreichenden Rechtstexte in vertretbarer Zeit zur Verfügung gestellt werden, aber weder dem rechtsuchenden Publikum noch dem Fachpublikum oder dem juristisch gebildeten bzw. dem rechtsberatenden Publikum.	One of the proposed amendments relates to considerations which, basically, deal prosaically with a matter of general concern to the House - if the large majority in the Committee on Legal Affairs and the Internal Market is anything to go by -, namely the fact that the public seeking legal advice in the European Union is still not being provided with comprehensive legal texts as and when they are needed; and not just the public seeking legal advice, the specialist public or trained legal practitioners.
Deshalb wird in einem der Anträge insbesondere die Kommission aufgefordert, rechtzeitig Texte in geeigneter Form zur Verfügung zu stellen, die zeitgenau den jeweiligen juristischen Stand darstellen.	One proposed amendment therefore calls in particular for the Commission to promptly provide suitably worded texts reflecting the latest developments in the legal world.
Es handelt sich dabei gewissermaßen um ein ceterum censeo, das eigentlich bei allen Richtlinien Gegenstand der Beratungen dieses Hauses sein sollte.	What we are talking about here is, as it were, a ceterum censeo, which needs to be the subject of debate here in the House for all directives.
Zum zweiten geht es um ein Thema, das gewissermaßen vor die Klammer gezogen werden muß.	Secondly, it is an issue which needs to be taken out of brackets, as it were.
Für die italienischen Apotheker wird eine Sonderregelung verlängert. Anders als der Gemeinsame Standpunkt schlägt der Rechtsausschuß allerdings vor, daß diese Sonderregelung mit einem Verfalldatum versehen wird.	A derogation for Italian pharmacists has been extended although, contrary to the common position, the Committee on Legal Affairs proposes that a cut-off date be attached to the derogation.
Jeder, der vor dem Oktober 1990 mit einem Studium begonnen hat, soll von dieser Richtlinie geschützt sein. Aber es muß erwartet werden, daß das Studium in vertretbarerer Zeit abgeschlossen wird.	Anyone who began studying before October 1990 will be protected under this directive but must expect to complete their studies within a reasonable period of time.
Abgesehen von diesen allgemeinen Regelungen haben wir noch Anträge insbesondere zu den Richtlinien betreffend die Ärzte.	In addition to these general rules, we have also proposed amendments to the directives which apply to doctors.
Ärzte sind ein sehr sensibles Thema, die Gesundheit des Menschen ist ein sehr sensibles Thema.	Doctors are a sensitive issue, human health is a very sensitive issue.
Wenn ich einen Autounfall habe, kann ich den Schaden beziffern und beseitigen.	If I have a car accident, I can quantify and repair the damage.
Ich kenne niemanden aus meiner anwaltlichen Praxis, der - wenn er Schadenersatz bekommen hat für einen Körperschaden - nicht sagen würde, ich gäbe dieses Geld gerne wieder her, wenn ich dafür meinen körperlichen Schaden beseitigt bekäme. Deshalb bedarf dieses Thema der besonderen Aufmerksamkeit.	I know of no-one from my law practice who, having received compensation for physical injury, would not gladly give the money back in return for restored health, which is why this issue requires special attention.
Der Rechtsausschuß legt deshalb Wert auf folgende Feststellung: Erstens, daß Fachärzte im Rahmen ihrer spezifischen Ausbildung auch die allgemeine Medizin im Auge behalten sollen.	The Committee on Legal Affairs therefore sets great store by the following conclusion: first, that specialists should also keep up with general practice while training as specialists.
Die Differenzialdiagnostik verändert sich weiter, deshalb muß die Facharztausbildung auch die Allgemeinmedizin im Auge behalten.	Differential diagnostics continue to change, which is why specialist training must also include general practice.
