Herr Präsident! Wo bleibt Romano Prodi?	Mr President, how often, over recent months, have I asked myself, 'where is Romano Prodi?
Wie oft habe ich mir diese Frage in den letzten Monaten gestellt?	Where are the governments who will defend the Constitution?'
Wo bleiben die Regierungen, die die Verfassung verteidigen? Herr Ministerpräsident, heute habe ich Sie wieder gefunden!	Today, Prime Minister, I have found you once more; I have found Romano Prodi on the barricades.
Auf den Barrikaden habe ich Romano Prodi wieder gefunden - spät, aber doch.	I may have found him late in the day, but I have found him all the same.
Sie haben den Konsens beschworen, Sie sind herausgetreten aus der Riege der Regierungen, die die historische Verantwortung für Europa jeden Tag gegen Kleingeld wechseln.	I found him speaking up for consensus, stepping out from the ranks of the governments who, day in and day out, exchange their historic responsibility for Europe for petty cash.
Herr Ministerpräsident, Sie haben gesagt, wir müssen die Argumente der anderen respektieren. Da möchte ich Sie fragen: Wer sind die anderen?	Since you, Prime Minister, said that we have to respect the arguments of others, I would like to ask you which others you mean.
Wenn es die Bürgerinnen und Bürger Europas sind, auch die, die nein gesagt haben, dann habe ich keine Bange.	If you mean the members of the public, including those who voted 'no', then I am unperturbed.
Wir wissen, was sie wollen: mehr Demokratie, mehr Transparenz, mehr soziale Verantwortung, ein besseres Europa, eine überzeugendere Verfassung.	We know what they want; they want more democracy, more transparency, more social responsibility, a better Europe, a more convincing constitution.
Oder sind die anderen die Regierungen, die die Krise des Ratifikationsprozesses missbrauchen, um uns mit ihren alten Begehrlichkeiten zu traktieren, mit ihren alten Machtansprüchen, mit all dem, was wir ihnen im Konvent abgerungen haben, die die Unzufriedenheit der Bürger mit Absicht auf Europa lenken, um ihre Macht über Europa ohne europäische Demokratie, ohne soziale Dimension und ohne eine gemeinsame Rolle in der Welt zu behalten - denen es um die alten Machtkämpfe einer Fronde geht: das Europa der Staatskanzleien gegen das Europa der Bürger.	Or do you, by 'others', mean the governments who misuse the crisis around the ratification process to abuse us with their old demands, their old claims to power, with all the things we, in the Convention, extracted from those who deliberately deflect public dissatisfaction onto Europe in order to retain their power over a Europe without European democracy, without a social dimension, and without a shared role in the world - those whose interest is in the struggles of reactionaries for power, pitting the Europe of the corridors of power against the Europe of citizens?
Sie haben davon gesprochen, dass wir Kompromisse brauchen. Auch darin liegt eine sehr brisante Frage.	You spoke of our need for compromises, and that, too, throws up a very pertinent question.
Der Kompromiss, der in den 12 Fragen aufleuchtet, ist der Kompromiss als historische Lüge über Europa. Denn es gilt auch, Herr Ministerpräsident - und ich danke Ihnen besonders dafür, dass Sie das sichtbar gemacht haben -, nicht nur den Inhalt, sondern auch den Geist der Verfassung zu erhalten.	The compromise that shines out of the twelve questions is compromise as a historic lie about Europe, for what also needs to be done, Prime Minister - and I am particularly grateful to you for making it visible - is to retain not only the substance, but also the spirit of the Constitution.
Wenn wir sagen, Gesetze heißen nicht mehr Gesetze, sondern Verordnungen, dann nehmen wir den Menschen den Anspruch auf demokratische Legitimation, denn Gesetz bleibt es ja, materiell gesehen.	If we decide that laws are no longer to be called laws, but rather regulations, we are denying people the historic legitimacy to which they have a claim, for these things remain, as far as their substance is concerned, laws.
Wenn wir das Primat des europäischen Rechts leugnen, ist das falsch, denn es bleibt ja im Unterirdischen bestehen und der Außenminister bleibt das, was wir wollten.	Denial of the primacy of European law is false, for it continues to have a subterranean existence and the foreign minister is still what we wanted him to be.
Nein, der Kompromiss kann kein Bluff und keine Lüge sein.	No, indeed, the compromise can be neither a bluff nor a lie.
Wir haben auch um den Geist der Verfassung zu kämpfen!	It is for the spirit of the Constitution, too, that we have to fight.
(Beifall)	(Applause)
