im Namen der GUE/NGL-Fraktion. - Herr Präsident, sehr geehrter Herr Ratspräsident!	Mr President, Mr Orbán, I would like to make some brief remarks about the media law.
Ich will kurz etwas zum Mediengesetz sagen, denn das haben viele gesagt, ich muss aber nichts wiederholen.	Many speakers have mentioned this, but I will not repeat what they have said. I would just like to make one point.
Ich will nur einen Gedanken noch aussprechen: Es ist keine Einmischung in ungarische Angelegenheiten, sondern ich glaube - was ich in meinem Leben spät erkannt habe -, die Medien sind die öffentlichen Kontrolleure der Macht, der Wirtschaft.	This is not interference in Hungarian affairs. I believe, and I have only learnt this late in life, that the media are responsible for monitoring those in power and the economy.
Und das sollte so bleiben.	This situation must remain unchanged.
Deshalb dürfen die Medienkontrolleure nicht kontrolliert werden durch andere übergeordnete Institutionen, und das wäre mit einem solchen Medienrat möglich.	Therefore, the media must not be monitored themselves by other higher level bodies and a media authority of this kind would make this possible.
Deshalb ist dieser Medienrat in seiner Zusammensetzung für uns nicht beispielhaft.	For this reason, the composition of the media authority is, in our eyes, not ideal.
Sie haben Ihre Bereitschaft, das zu verändern, ja deutlich gemacht. Ich hoffe, Sie gehen in diese Richtung.	You have clearly stated that you are prepared to change this and I hope that you do move in this direction.
Ansonsten ist es eine Angelegenheit Ungarns, das will ich eindeutig sagen.	Otherwise, and I would like to make this quite clear, it is a Hungarian affair.
Es gibt natürlich auch Mitgliedstaaten, wo man auch über Mediengesetze sprechen könnte.	Of course, there are other Member States whose media legislation we could mention in this context.
Das betrifft nicht nur Ungarn.	This does not only relate to Hungary.
Zu Ihren Vorhaben in der Ratspräsidentschaft will ich ganz eindeutig sagen: Erstens begrüße ich, dass Sie die Förderung der kulturellen Vielfalt als eines Ihrer übergeordneten Ziele herausstellen.	I would like to say quite clearly with regard to your plans for the Council Presidency, firstly, that I welcome the fact that you have made promoting cultural diversity one of your overriding objectives.
Das halte ich für sehr wichtig.	I believe that this is very important.
Ich erwarte Ihre Initiativen zur besseren Integration - auch von Minderheiten -, und Sie haben selber auf Roma hingewiesen.	I look forward to your initiatives to improve integration, including the integration of minorities, and you yourself have referred to the Roma.
Eine europäische Strategie zur besseren Integration der Roma ist eine ganz wichtige Frage.	A European strategy to integrate the Roma more effectively is a very important issue.
Zweitens freue ich mich auf Ihr Engagement bei den Erweiterungsverhandlungen und der Politik der östlichen Nachbarschaft.	Secondly, I am pleased to see that you are committed to the enlargement negotiations and the policy with regard to our eastern neighbours.
Ein Mehr an osteuropäischer Kultur, Geschichtserfahrung und sozialer Erfahrung kann der Europäischen Union nur gut tun.	Bringing more Eastern European culture, together with the historical and social experience of the area, into the European Union can only be a good thing.
Noch ist die Europäische Union aus vielerlei Gründen, die ich hier nicht erörtern will, vorrangig eine westeuropäische Veranstaltung.	For many reasons which I do not want to go into here, the European Union is still primarily a Western European institution.
Da verspreche ich mir von Ihrer Ratspräsidentschaft etwas mehr an osteuropäischen Einflüssen.	I would like to see your Council Presidency exerting a greater Eastern European influence.
Drittens bin ich gespannt auf Ihr Gestaltungsgeschick bei der anstehenden Neuausrichtung der Agrar- und Kohäsionspolitik und der mehrjährigen Finanzplanung der Europäischen Union.	Thirdly, I will be interested to see how you handle the forthcoming reorganisation of agriculture and cohesion policy and the preparation of the European Union's multiannual budgetary perspective.
Meine Fraktion fordert Sie auf, dass Sie hierbei das Parlament voll beteiligen, und wir erwarten, dass Sie dabei Ihr Versprechen ernst nehmen, die kleinen und mittleren Unternehmen zu fördern sowie Umwelt-, Ressourcenschutz und Nahrungsmittelsicherheit zu verbessern.	My group calls on you to ensure that Parliament is fully involved in all of this and we expect you take seriously your promise to support small and medium-sized businesses and to improve environmental protection, the sustainable use of resources and food security.
