. – Herr Kommissar, Herr Präsident, meine Damen und Herren!	.
Ich möchte zuerst einmal die Berichterstatterin, Frau Piia-Noora Kauppi, entschuldigen. Es tut ihr Leid, dass sie aufgrund von Problemen bei der Anreise nicht pünktlich zur Aussprache über ihren eigenen Bericht kommen konnte.	Commissioner, Mr President, ladies and gentlemen, I would like to start by conveying to the House the apologies of the rapporteur, Mrs Kauppi, who regrets her inability, due to travel problems, to be here on time for the debate on her own report.
Das bedeutet nicht, dass sie sich von diesem Bericht verabschiedet hätte; vielmehr hat sie gute Arbeit geleistet, und ich möchte mich bei ihr recht herzlich bedanken!	That does not mean that she has washed her hands of it, far from it; she has done a fine job of work, and I would like to thank her warmly for it.
Worum geht es?	What is this about?
Der Kommissar hat im ersten Teil de facto den Berichtsentwurf vorgetragen – was zeigt, dass das Europäische Parlament sachlichen Begründungen gegenüber aufgeschlossen ist – und er hat im zweiten Teil darauf verwiesen, dass wir ein Problem miteinander haben, was die Komitologie betrifft.	In the first part of his speech, the Commissioner, in effect, presented the draft report – thus demonstrating that rational explanations find Parliament with an open mind and ready to listen – and went on, in the second part, to point out that we both have a problem with comitology.
Ich bin froh, dass Sie zum Schluss gesagt haben, wenn wir es so beschließen, wie vorgeschlagen – und wir werden es so beschließen, Herr Kommissar –, dann sind Sie auf unserer Seite.	I am glad that he concluded by saying that he is on our side if we adopt it as proposed – and I can tell him that we will.
Es ist gut, wenn Kommission und Parlament bei Fragen der parlamentarischen Grundrechte, der demokratischen Grundrechte, der Mitbestimmungsrechte an einem Strang ziehen, vor allem auch gegenüber dem Rat.	Where issues of this House’s fundamental rights, of democratic fundamental rights, and of right of codecision are concerned, it is good when Commission and Parliament pull together, especially in their dealing with the Council.
Das betrifft auch das Komitologieverfahren und die .	The same can be said about the comitology procedure and the sunset clause.
Darauf wird mein Kollege Alexander Radwan noch näher eingehen.	My colleague Mr Radwan will go into that in greater detail.
Worum geht es bei MiFID?	So what is MiFID – the Markets in Financial Instruments Directive – all about?
Das versteht ja nicht jeder.	Not everyone understands it.
Es geht erstens um die Änderung einer Richtlinie des Europäischen Parlaments und des Rates über Märkte für Finanzinstrumente.	Firstly, it is intended to amend a Parliament and Council directive on markets in financial instruments.
Es geht zweitens um die Verlängerung der Umsetzungsfristen.	Secondly, it has to do with extending the deadlines for transposition.
Warum wollen wir die Umsetzungsfristen verlängern?	Why do we want to extend them?
