Sehr geehrter Herr Präsident, herzlichen Dank für Ihre Arbeit!	Mr President, sincere thanks for your work.
Wir haben Fortschritte gemacht.	We have made progress.
Vielen Dank auch für den Brief, den Sie an die Abgeordneten geschickt haben, der manches klargestellt hat.	Thank you also for the letter that you sent to Members, which has clarified a lot of things.
Ich habe übrigens auch nicht vergessen, wie Sie mich 1998 in der Konferenz der Präsidenten unterstützt haben, als es darum ging, ob der Rechtsausschuss einen Entwurf für ein Statut ausarbeiten solle.	Incidentally, I have not forgotten how you supported me in the Conference of Presidents in 1998 over the question of whether the Committee on Legal Affairs should prepare a draft statute.
Damals waren Sie Fraktionsvorsitzender der liberalen Fraktion.	You were chairman of the Liberal Group at the time.
Lang ist's her!	That was a long time ago.
Mit der Entschließung wollen wir einen Anstoß für eine vertiefte Diskussion mit dem Rat über die noch offenen Fragen geben.	We intend the resolution as a spur to deeper discussion with the Council of the questions that remain open.
Wir reden von Stärkung der Demokratie und nicht nur über salary, wir reden von der Würde des Parlaments, dessen Abgeordnete 380 Millionen Bürgerinnen und Bürger in der Europäischen Union vertreten und nicht nur von reimbursement und allowances.	We talk about strengthening democracy and not just about salaries, we talk about the dignity of Parliament, whose Members represent 380 million citizens of the European Union, and not just about reimbursement and allowances.
Natürlich müssen diese Fragen geklärt werden.	Of course those questions need to be settled.
Das System der Kostenerstattung - ich bin überzeugt davon - wird vom Präsidium, das allein dafür zuständig ist, in einer Weise gelöst werden - davon bin ich überzeugt -, die für die Allgemeinheit verständlich und transparent ist.	I am convinced that the presidency, which is the only body competent to do so, will resolve the system of reimbursements in a way that is understandable and transparent for the general public.
Wer nur über das Geld redet, bringt nur seine tiefe Verachtung für dieses Parlament zum Ausdruck.	Those who speak only about money betray their deep contempt for this Parliament.
Das hier ist keine Bande von Abzockern, denen das Handwerk gelegt werden muss, das nicht! 1976, bei dem Akt zur Einführung der Direktwahl, hat es der Europäische Rat versäumt, die verfassungsmäßigen Rechte der Abgeordneten festzulegen.	We are not a gang of con men whose activities have to be stopped. When the European Council introduced direct elections in 1976, it failed to set out the constitutional rights of Members.
Der Rat kann doch von uns mehr als zwei Jahrzehnte nach der ersten Direktwahl nicht erwarten, dass wir darauf verzichten, diese verfassungsmäßigen Rechte der Abgeordneten zu definieren!	The Council cannot, more than two decades after the first direct elections, expect us to go without a definition of Members' constitutional rights.
Die Regeln über die Immunität stammen aus dem Jahre 1965, zugeschnitten auf die Delegierten, die damals von den nationalen Parlamenten in die Parlamentarische Versammlung entsandt wurden.	The rules on immunity date back to 1965 and were designed for delegates sent to the Parliamentary Assembly by the national parliaments.
Der Rat kann doch nicht erwarten, dass wir im Jahre 2003 an diesen Bestimmungen aus dem Jahre 1965 nichts ändern!	The Council cannot expect us not to change anything in those 1965 provisions in the year 2003.
Die rechtlichen Probleme sind mir wohl vertraut.	I am quite familiar with the legal problems.
Sie können mit einigermaßen gutem Willen von beiden Seiten gelöst werden.	With a measure of good will on both sides they can be solved.
Alles hat seine Zeit.	There is a time for everything.
Omnia tempus habet.	Omnia tempus habent.
Ich habe das Gefühl, dass die Zeit einer Entscheidung naht.	I have the feeling that the time for a decision is drawing near.
Es war der Europäische Rat, der uns 1999 aufgefordert hat - wir haben das zitiert - die Frage des Statuts der Abgeordneten dringend zum Abschluss zu bringen.	In 1999 the European Council itself called on us - we have quoted it - to bring the question of the Members' Statute to a conclusion as a matter of urgency.
Wir werden uns wohl im Frühjahr endgültig mit diesem Thema befassen.	We shall probably deal with the matter for good early next year.
Wir sind autorisiert, einen Bericht für das Plenum vorzulegen.	We are authorised to submit a report for the plenum.
Ich weiß, dass es mit dem Primärrecht noch Probleme gibt, aber sie können gelöst werden, und ich wäre sehr dankbar, wenn sich der Rat auf diese Frage konzentrieren würde und uns konkrete Hinweise für eine Lösung übermitteln könnte.	I know there are still problems with primary law, but they can be solved and I would be very grateful if the Council would concentrate on this question and send us concrete pointers for a solution.
Auf jeden Fall muss dieses Statut vor der Erweiterung verabschiedet werden.	In any case, the Statute must be adopted before enlargement.
Nachher wird es fast unmöglich sein!	It will be virtually impossible afterwards.
