. Herr Präsident! Ich begrüße diese Mitteilung der Kommission.	Mr President, I welcome the Commission communication.
Ich war zunächst allerdings etwas überrascht, dass man dadurch auch Länder wie Libyen und Weißrussland in einer Mitteilung zusammengefasst hat.	I confess that I was initially somewhat surprised that this paper bracketed together countries like Libya and Belarus in a single communication.
Diese beiden haben ebenso wie die anderen Länder am Südufer des Mittelmeeres bzw. in Ost- und Südosteuropa kaum etwas gemeinsam, abgesehen von der relativen geografischen Nähe zur Europäischen Union.	These two countries, like the other countries on the southern shore of the Mediterranean or in eastern and south-eastern Europe, have precious little in common apart from their relative geographical proximity to the European Union.
Ich freue mich daher, dass man sich jedes Land individuell vornehmen wird.	That is why I am pleased that each country is to be dealt with individually.
Der Ratsvorsitz hat das angekündigt und der Kommissar sprach von Aktionsplänen.	The Presidency has made an announcement to that effect and the Commissioner talked about action plans.
Da man sich dann praktisch zu allen Nachbarn äußert, hätte man der Vollständigkeit halber auch einen Satz zu Norwegen und der Schweiz sagen können, und sei es - bei Norwegen zumindest - als ein Beispiel dafür, was alles unterhalb der Mitgliedschaft möglich ist.	As something has therefore been said about practically all our neighbours, for the sake of completeness a sentence could have been added about Norway and Switzerland, as an example, at least in the case of Norway, of just what can be done without signing up to actual membership.
Etwas unscharf finde ich Formulierungen wie die Überschrift 'Unterschiedliche Länder, gleiche Interessen'.	I find wording such as the heading 'Different countries, common interests' somewhat unfocussed.
Die Tagesordnungen sind eigentlich zu unterschiedlich.	Their agendas really are too different.
Es ist gesagt worden, wir haben Länder mit Beitrittsperspektive und andere ohne.	It has been said that there are countries that have membership prospects and others that do not.
Von Nachbarn, die auch gleichzeitig Mitglied im Europarat sind, können wir zum Beispiel auch im Gegenzug zur Gewährung von Handelspräferenzen im Bereich der Menschenrechte viel mehr verlangen, wenn wir es denn wollen.	If we want to, we can demand a lot more from neighbours who also belong to the Council of Europe: for example, in return for granting trade preferences, we can make demands in the area of human rights.
Wir sollten aber nicht Angebote machen, die wir nicht einhalten können.	However, we should not make offers that we cannot honour.
Wir können nicht allen Nachbarstaaten die vier Freiheiten anbieten, wie es Punkt 3 der Mitteilung der Kommission tut, ich zitiere: 'die Aussicht auf Teilnahme am Binnenmarkt, auf weitere Integration und Liberalisierung zur Förderung der Freizügigkeit und des freien Waren-, Dienstleistungs- und Kapitalverkehrs'.	We cannot offer all neighbouring states the four freedoms as the Commission does in Section 3 of its communication, and I quote: 'the prospect of a stake in the EU's Internal Market and further integration and liberalisation to promote the free movement of persons, goods, services and capital'.
Der Kommissar hat glücklicherweise dieses Zitat aus der Mitteilung so nicht wiederholt.	Fortunately, the Commissioner did not repeat that quotation from the communication as such.
Aber die Mitteilung erweckt fast den Eindruck eines Europas à la carte, das wir anbieten.	However, the communication almost gives the impression that we are offering an 'à la carte' Europe.
Ich sehe aber keinen politischen Konsens, dass wir in einem politisch voraussehbaren Zeithorizont zum Beispiel Nordafrika und Russland Freizügigkeit einräumen.	I have to say that I cannot identify any political consensus for granting North Africa and Russia, for example, freedom of movement in any foreseeable political future.
Ich bitte daher die Kommission, pragmatisch realistische Aktionspläne auszuarbeiten, die weder falsche Erwartungen wecken noch die EU überfordern.	I therefore call on the Commission to draw up pragmatic and realistic action plans that neither raise false hopes nor over-commit the EU.
