Liebe Kolleginnen und Kollegen, Exzellenzen, meine sehr verehrten Damen und Herren!	Ladies and gentlemen, your Excellencies, ladies and gentlemen.
Heute ist nicht nur der Internationale Tag gegen die Todesstrafe.	Today is not just the International Day against the Death Penalty.
Der Europarat mit seinen 47 Mitgliedstaaten hat den 10. Oktober mit der Unterstützung des Europäischen Parlaments und der Europäischen Kommission ebenfalls zum Europäischen Tag gegen die Todesstrafe ausgerufen.	The Council of Europe, with its 47 Member States, and with the support of the European Parliament and the European Commission, has also declared 10 October the European Day against the Death Penalty.
Wir sind sehr froh, dass an diesem Tag die Krankenschwestern aus Bulgarien und die Ärzte unter uns sind, die vor kurzem der Todesstrafe in Libyen entronnen sind.	We are very happy that the nurses from Bulgaria and the doctors who escaped the death penalty in Libya a short time ago are with us on this day.
(Anhaltender Beifall)	(Sustained applause)
Ich möchte dies zum Anlass nehmen, die Krankenschwestern Frau Nasya Nenova, Frau Kristiyana Valcheva, Frau Snezhana Dimitrova, Frau Valya Chervenyashka, Frau Valya Siropulo und die Ärzte Herrn Ashraf Ahmed Gomma El Hagous und Herrn Zdravko Gueorguiev sehr herzlich im Namen des ganzen Hauses zu begrüßen.	I would like to take this opportunity to welcome very warmly on behalf of the entire House the nurses, Nasya Nenova, Kristiyana Valcheva, Snezhana Dimitrova, Valya Chervenyashka, Valya Siropulo, and the doctors, Ashraf Ahmed Gomma El Hagous and Zdravko Gueorguiev.
Sie mussten seit Februar 1999 acht Jahre in Untersuchungshaft in Libyen verbringen, nachdem sie fälschlicherweise beschuldigt wurden, hunderte von libyschen Kindern absichtlich mit HIV infiziert zu haben.	Since February 1999 they were forced to spend eight years in detention while awaiting trial in Libya, falsely accused of having deliberately infected hundreds of Libyan children with HIV.
Wir sind gegen die Todesstrafe.	We are opposed to the death penalty.
Daher haben wir die libyschen Behörden in der Vergangenheit wiederholt dazu aufgerufen, die bulgarischen Krankenschwestern und den palästinensischen Arzt freizulassen.	In the past we have therefore repeatedly called upon the Libyan authorities to release the Bulgarian nurses and the Palestinian doctors.
Die Todesstrafe ist eine schwere Verletzung der Menschenrechte und zuallererst des Rechts auf Leben.	The death penalty is a severe violation of human rights and first and foremost the right to life.
Im Namen des Europäischen Parlaments möchte ich an dieser Stelle daher unser unnachgiebiges Engagement im Kampf gegen die Todesstrafe betonen.	On behalf of the European Parliament, I would therefore like to emphasise our unflinching commitment here to the campaign against the death penalty.
Wir legen großen Wert darauf in den Beziehungen zu unseren Nachbarn und Partnern in der ganzen Welt.	We set great store by it in relations with our neighbours and partners throughout the world.
Wir danken jenen Staaten, die erst kürzlich die Todesstrafe abgeschafft haben, insbesondere Ruanda.	We thank those states which have just recently abolished the death penalty, particularly Rwanda.
Dieses Beispiel zeigt, dass sogar Staaten, deren Bürger die entsetzlichsten Verbrechen erlitten haben, auf die Todesstrafe als Mittel der Justiz verzichten.	This example shows that even states whose citizens have suffered the most appalling crimes have dispensed with the death penalty as a means of justice.
Eine weitere Gelegenheit, die Abschaffung der Todesstrafe weltweit voranzutreiben, sind die Olympischen Spiele, die kommendes Jahr in Peking stattfinden werden.	Another opportunity for promoting the worldwide abolition of the death penalty is the Olympic Games, taking place in Beijing this coming year.
Sie bieten die Möglichkeit, die Mauern des Schweigens zu durchbrechen, mit denen China die Ausübung der Todesstrafe umgibt.	They provide an opportunity to break through the walls of silence, with which China surrounds the exercise of the death penalty.
Die Europäische Union hat der Generalversammlung der Vereinten Nationen einen Resolutionsentwurf zur Todesstrafe vorgelegt.	The European Union has submitted a draft resolution on the death penalty to the United Nations General Assembly.
Diese Initiative, die vom Europäischen Parlament vielfach gerühmt wurde, ist ein wichtiger Schritt auf dem Weg zur Abschaffung der Todesstrafe, und wir appellieren in diesem Zusammenhang an die portugiesische Ratspräsidentschaft, dieses Thema auch in New York bei den Vereinten Nationen aktiv voranzutreiben.	This initiative, praised on numerous occasions by the European Parliament, is an important step towards the abolition of the death penalty and we appeal in this respect to the Portuguese Presidency of the Council to promote this subject actively at the United Nations in New York.
