Herr Präsident! Meine Kolleginnen und Kollegen haben ja schon gesagt, worum es heute geht.	Mr President, my colleagues have already explained what is at stake today.
Wir stehen im Wort, das zu erfüllen, was wir als Europäisches Parlament bei der Auflegung der Programme eingebracht haben, nämlich die ganz normale Öffnung für die mittel- und osteuropäischen Länder.	We are dutybound to carry through what we, the European Parliament, called for when these programmes were launched, namely to open them up to the countries of Central and Eastern Europe, as is only natural.
Wir als europäische Abgeordnete haben dies eingebracht, nicht der Rat, nicht die Kommission!	We MEPs introduced this, not the Council or the Commission!
Wir stehen zu unserem Wort.	We have kept our word.
Der Rat redet darüber, aber er steht nicht zu seinem Wort.	The Council has discussed the matter but has not kept its word.
Denn wenn er dies täte, müßte er uns Geld für diese Sache geben.	If it had, it would have given us the funds for this venture.
Er gibt es uns nicht.	It has not done so.
Wir haben dieses Programm für 12 Staaten auferlegt. Wir sollen uns jetzt öffnen, wahrscheinlich bis zu 25. Dazu sind wir nicht in der Lage.	We launched this programme for 12 countries; now we are supposed to open it up, perhaps to as many as 25.
Das ist das Problem.	We are not in a position to do so, that is the problem.
Das Problem besteht jetzt darin, daß wir zur gleichen Zeit mit dem Rat über die Erhöhung der Mittel verhandeln.	The problem now is that at the same time we are negotiating with the Council about an increase in funding.
Der Rat hat uns vor 14 Tagen mitteilen lassen, er werde nur 25 Millionen mehr für die nächsten zwei Jahre bewilligen.	The Council informed us two weeks ago that it would grant only ECU 25 million more for the next two years.
Wir haben 100 Millionen mehr für die nächsten zwei Jahre gefordert.	We had asked for an extra ECU 100 m for the next two years.
Eigentlich bräuchten wir 163 Millionen für die nächsten zwei Jahre, um nur das zu erfüllen, was im ERASMUS-Teil enthalten ist.	In fact, we would need ECU 163 m for the next two years just to carry out the Erasmus part.
Es gibt ja noch viele andere Dinge, z.B. die Schulpartnerschaften, die Weiterbildung - all dies wird von diesen wenigen Mitteln überhaupt nicht abgedeckt.	There are many other sectors too, such as school partnerships and further training, none of which will be covered at all by these meagre resources.
Nun sollen wir den Sonntagsreden des Rates folgen, dies erweitern, ohne daß wir Geld in der Tasche haben.	And now we are meant to go along with the Council's fine words and extend the programme, without having the money in our pockets.
Ich weiß nicht, wie wir das machen sollen.	I do not know how we can be expected to do so.
Das ist eine reine Mogelpackung.	We are simply being fobbed off.
Wer das Märchen "Des Kaisers neue Kleider" kennt, der muß sagen, dieser Kaiser ist nackt!	Anyone who knows the story of the emperor's new clothes is bound to say that the emperor is quite naked!
Deswegen brauchen wir wirklich mehr Geld.	That is why we really do need more resources.
Ich möchte an eines erinnern: Der Rat ist so unverschämt, uns in diesem Augenblick auch noch mit einer Dringlichkeit aufzufordern, diese Programme auf Zypern auszuweiten.	Let me make one point: the Council is so impertinent as to choose now, of all times, to call upon us urgently to extend this programme to Cyprus.
Wir sollen im September noch ganz schnell Zypern mit reinnehmen.	We are expected to whisk Cyprus on board in September.
Ich weigere mich, das zu tun, und ich hoffe, daß der Haushaltsausschuß, Herr Kollege Samland, mit uns dagegen ist, daß wir dieser Dringlichkeit folgen.	I refuse to do so, and I hope - Mr Samland - that the Committee on Budgets will stand with us in rejecting this request for urgency.
Ich kann dem Rat nur sagen: Dringlich wäre, daß er uns endlich das Geld gibt, damit wir diese Aufgabe erfüllen.	All I can say to the Council is this: what really is urgent is for you finally to give us the money to carry out this task.
Das Ganze ist Augenwischerei!	The wool is being pulled over our eyes!
Das, was der Rat hier macht, ist eine Geste, aber eine Geste ohne irgendwelche tatkräftigen Maßnahmen.	What the Council is doing here is making a gesture, but a gesture not backed by anything of substance.
Sie kostet den Rat nichts außer Sonntagsreden!	It is costing the Council nothing but fine words!
Das ist unanständig! Ich beteilige mich daran nicht!	This is shameful, and I refuse to go along with it!
Ich bin für die Öffnung dieser Programme, ich bin aber dafür, daß wir dort nicht mehr Frustration schaffen als bereits in unseren Ländern vorhanden ist.	I am all in favour of opening up these programmes, but I am not in favour of creating even more frustration elsewhere than already exists in our own countries.
Herr Präsident, ich hoffe, daß wir dies in den nächsten Wochen und Monaten genauso verfolgen...	I hope, Mr President, that in the weeks and months ahead we shall continue...
Es geht gegen den Rat, der uns als Geisel nimmt und von uns erwartet, daß wir die mittel- und osteuropäischen Länder als Geiseln nehmen.	... it is directed at the Council, which is holding us hostage and expects us to take the CEECs hostage.
Das tun wir nicht!	We will not do so!
Wir wollen das zurückgeben an den Rat.	We shall put the ball back in the Council's court.
