Herr Präsident, liebe Kolleginnen und Kollegen!	Mr President, ladies and gentlemen.
Ich vertrete heute Herrn Gargani, der aus verständlichen Gründen in Italien weilt.	I am standing in today for Mr Gargani, who is staying in Italy for reasons you will understand.
Wir haben in dieser großen bildungspolitischen Debatte eine Anfrage an Kommission und Rat - der Rat kann heute leider nicht hier sein - angefügt, weil wir glauben, dass jetzt, wo alle Welt plötzlich über einen europäischen Bildungsraum redet, das Europäische Parlament, das immer davon geredet und dafür gestritten hat, das aber immer vom Ministerrat abgeblockt wurde, nicht einfach zusehen kann, wie an ihm, dem gewählten Vertreter der Bürgerinnen und Bürger, vorbei Dinge gemacht werden, die zwar sehr wichtig sind, die aber von uns schon lange angeregt wurden.	In this major debate on education we have added a question to the Commission and the Council - unfortunately the Council is unable to be present - because we believe that now, when everyone is suddenly talking about a European educational area, the European Parliament that has always talked about it and fought for it, but which has always been blocked by the Council of Ministers, cannot simply look on while it, the elected representative of the citizens, is bypassed in matters which are very important and which we have been advocating for a long time.
Ich glaube, dass es unanständig war - das ist vielleicht ein bisschen zu hoch gegriffen -, dass es nicht seriös war, das Parlament am 8. Februar um eine Stellungnahme zu den künftigen Zielen der Systeme der allgemeinen beruflichen Bildung zu ersuchen, die dem Rat genau vier Wochen später vorgelegt wurde.	I think it was indecent - perhaps that is too strong a word - improper to ask Parliament on 8 February for an opinion on the future objectives of general vocational training systems that was presented to the Council just four weeks later.
So kann es nicht weitergehen!	Things cannot be allowed to continue that way!
Darum haben wir diese Debatte angeregt und bitten, dass wir zukünftig seriös in die Diskussion einbezogen werden.	That is why we called for this debate and why we are asking to be properly included in the discussion in future.
Wir vertreten alle die Ansicht, dass dieser Bericht zur allgemeinen beruflichen Bildung in der Europäischen Union nach dem Rat von Lissabon einen großen Schritt vorwärts darstellt, weil darin konkrete Ziele festgelegt werden und die künftige Rolle der allgemeinen beruflichen Bildung definiert wird.	We are all of the opinion that this report on general vocational training in the European Union is a major step forward after the Lisbon Council because it sets concrete objectives and defines the future role of general vocational training.
Dies ist ein Problemkreis, der die Gesamtheit der europäischen Bürger betrifft.	This is an issue that affects all Europe' s citizens.
Ich wiederhole noch einmal, dass es sich dabei um etwas handelt, das wir immer schon gesagt haben.	I repeat once again, this is something we have said all along.
Als Berichterstatterin von SOKRATES habe ich dafür mit meinen Kollegen - letztendlich ohne Erfolg - gekämpft.	As Socrates rapporteur, I fought for this together with my colleagues, ultimately without success.
Wenn sich der Erfolg jetzt verspätet einstellt, bin ich dankbar.	If success is coming at this late stage, I am grateful.
Aber wir müssen immer darauf achten, dass es hier nicht um einen Politikbereich geht, den man ohne die Unterstützung der Mitgliedstaaten durchsetzen kann.	We must, however, always bear in mind that this is an area of policy that we cannot carry through without the support of the Member States.
Hier geht es um Dinge, die nur im Rahmen der Subsidiarität angegangen werden können.	It involves matters that can be tackled only in the context of subsidiarity.
Wir können Beispiele geben, wir können eine Synopse machen, wie es in dem einen oder anderen Land aussieht.	We can give examples, we can make a synopsis of how things look in one country or another.
Vielleicht können die Mitgliedstaaten voneinander lernen.	Perhaps the Member States can learn from each other.
Das Rad muss nicht immer neu erfunden werden.	There is no need to keep reinventing the wheel.
Aber sehr viel mehr können wir in diesen Bereichen nicht tun.	We cannot, however, do very much more in these fields.
Wir möchten betonen, dass die vom Europäischen Rat auf seiner Tagung in Lissabon ins Leben gerufene offene Methode der Koordinierung, in deren Rahmen dieser Bericht erstellt wurde, nicht dazu führen darf, dass die Rolle der in den Verträgen vorgesehenen Organe nicht gewahrt wird.	We should like to stress that the open method of coordination that the European Council called into being at its Lisbon meeting and in whose context this report was prepared must not be allowed to prevent the institutions provided for in the Treaties from fulfilling their roles.
Wir vertreten die Auffassung, dass die allgemeinen Überlegungen über die künftige Rolle der allgemeinen beruflichen Bildung im Rahmen der offenen Methode der Koordinierung nicht nur den Beitrag der Mitgliedstaaten, sondern vor allen Dingen auch den Beitrag des Europäischen Parlaments und der Kommission unter Wahrung des Subsidiaritätsprinzips berücksichtigen müssen.	In our opinion, the general consideration of the future role of general vocational training in the context of the open method of coordination must have regard not only for the contributions of the Member States, but also, and, above all, for the contributions of the European Parliament and the Commission, while safeguarding the principle of subsidiarity.
Wir bekräftigen, dass die Schlussfolgerungen, die der Europäische Rat von Stockholm gezogen hat, und die festgelegten strategischen Ziele, die formuliert wurden, die Grundlage für ein Arbeitsprogramm für das kommende Jahrzehnt sein können.	We reiterate that the conclusions drawn by the Stockholm European Council and the strategic objectives that were formulated can form the basis for a working programme for the coming decade.
Aber so etwas kostet Geld.	These things cost money, however.
Ich möchte die Herrschaften daran erinnern, dass man nicht nur immer schöne Worte machen, große Abschlusserklärungen abgeben und die Kommission auffordern kann, zu arbeiten.	I should like to remind you, ladies and gentlemen, that we cannot always confine ourselves to fine words, making grand final communiques and calling on the Commission to act.
Am Ende stehen wir alle da und sagen, die Worte höre ich wohl, allein mir fehlt der Glaube, weil das Geld für all die Dinge, die wir in Gang bringen wollen, fehlt.	At the end of the day, we all stand there and say: I hear the words, but I have no faith in them because the money for all the things we want to do is not there.
Hoffentlich führt also die Einsicht bei den Regierungschefs, dass Bildung in der Europäischen Union ungeheuer wichtig ist, viel wichtiger, als manche es immer noch glauben, auch dazu, dass mehr Geld dafür ausgegeben wird.	So I hope that the Heads of Government, having realised that education is tremendously important in the European Union, far more important than many still think, will spend more money on it.
Ich möchte die Kommission und den Rat darauf aufmerksam machen, dass wir darauf bestehen, dass das Europäische Parlament im Geiste der interinstitutionellen Zusammenarbeit zwischen Rat, Parlament und Kommission an der Ausarbeitung des Folgeberichts sowie aller sich daraus ergebenden Maßnahmen, die im Rahmen des langfristigen Arbeitsprogramms ergriffen werden, beteiligt wird.	I should like to point out to the Commission and the Council that we insist that, in the spirit of inter-institutional cooperation between Council, Parliament and Commission, the European Parliament must be involved in producing the follow-up report and in all the measures arising out of it as part of the long-term working programme.
Ich bin sicher, dass die Frau Kommissarin dies tun wird.	I am sure that the Commissioner will do that.
Ich hoffe nur, dass dies dem Rat weitergegeben wird und er genauso in die Fußstapfen von Frau Reding tritt.	I only hope that this will be passed on to the Council and that it will likewise follow in Mrs Reding' s footsteps.
