Herr Präsident! Wie sagte Karl Marx?	Mr President, what was it that Karl Marx said?
"Religion ist der Seufzer der bedrängten Kreatur, das Gemüt einer herzlosen Welt wie sie der Geist geistloser Zustände ist.	"Religion is the sigh of the oppressed creature, the heart of a heartless world and the soul of soulless conditions.
Sie ist das Opium des Volkes."	It is the opium of the people."
Der Marxismus-Leninismus hat abgewirtschaftet. Andere Ideologien aber existieren noch.	Marxism-Leninism is in terminal decline, but other ideologies have survived.
China ist weit davon entfernt, Meinungs- oder gar Religionsfreiheit zuzulassen für Tibeter, Mongolen, christliche Kirchen oder muslimische Gemeinden.	China is far from permitting freedom of expression, let alone freedom of religious observance, for Tibetans, Mongolians and members of Christian churches or Muslim communities.
Die Tibeter werden verfolgt.	The Tibetans are persecuted.
Bilder des Dalai Lama dürfen nicht gezeigt werden.	It is an offence to display pictures of the Dalai Lama.
Langjährige Haftstrafen drohen.	Those who stand up for their beliefs face the threat of lengthy prison sentences.
Ich erinnere an die Initiative der Tibet-Intergroupe des Europäischen Parlaments, die Nonne Ngawang Sangdrol, die seit neun Jahren im Gefängnis ist, für den diesjährigen Sacharow-Preis vorzuschlagen.	I recall the initiative of the Tibet intergroup of the European Parliament to propose the nun Ngawang Sangdrol, who has spent the last nine years in prison, for this year' s Sakharov Prize.
Der elfjährige Panchen Lama, zweithöchste Autorität des tibetischen Buddhismus, wurde entführt und ist seitdem von der Außenwelt abgeschirmt.	The eleven-year-old Panchen Lama, the second-highest authority in Tibetan Buddhism, has been abducted and has since been cut off from the outside world.
Er dürfte nicht einmal von der hohen UN-Kommissarin für Menschenrechte, Mary Robinson, empfangen werden.	He was not even allowed to meet with Mary Robinson, the UN High Commissioner for Human Rights.
Die EVP-ED-Fraktion wartet darauf, dass China als künftiges WTO-Mitglied und global player sich endlich der Verantwortung bewusst wird, die internationalen Vereinbarungen über bürgerliche und politische Rechte ebenso zu ratifizieren und umzusetzen wie jene über wirtschaftliche, soziale und kulturelle Rechte.	The PPE-DE Group expects China, as a future WTO member and a global player, to assume its responsibility at long last and to ratify and implement the international agreements on civil and political rights as well as those on economic, social and cultural rights.
Wir fordern die EU-Mitgliedstaaten auf, die Chance bei der Tagung der Menschenrechtskommission in Genf zu nutzen.	We call on the EU Member States to take the opportunity presented by the meeting of the Human Rights Commission in Geneva.
Machen Sie die Verhinderung der Religionsfreiheit, machen Sie die massiven Verstöße gegen Menschenrechte in China zu einem prioritären Thema!	Put the obstruction of freedom of religion and the gross violations of human rights in China at the top of the agenda.
Und denken wir daran, dass in der Charta der Grundrechte - einem der wenigen Erfolge des Gipfels von Nizza - im zweiten Kapitel die Freiheit der Religion, des Gewissens, der Meinung und der Information steht!	And let us remember that, in the Charter of Fundamental Rights, one of the few successes of the Nice Summit, the Member States enshrined freedom of religion, conscience, expression and information in the second chapter.
Ich hoffe auch auf die Initiativkraft unserer Europäischen Kommission.	I hope that our European Commission will show the same powers of initiative.
Tashi delek!	Tashi delek!
