im Namen der PPE-DE-Fraktion. - Herr Präsident! Es geht also um diese beiden Veränderungen.	on behalf of the PPE-DE Group. - Mr President, we are therefore looking at these two amendments.
Was spricht für die Veränderung bei den Quästoren?	What are the reasons for the change in the number of Quaestors?
Wir hatten zu Zeiten, als das Parlament 500 Mitglieder umfasste, 5 Quästoren, also praktisch einen Quästor je 100 Abgeordnete.	When Parliament had 500 Members, we had five Quaestors, in other words, virtually one for every 100 MEPs.
Wenn wir bei diesem Verhältnis bei den vorgesehenen 780 Mitgliedern blieben, kämen wir zu einer sehr hohen Zahl.	If we stuck with that ratio with the proposed 780 Members, we would have a very high number.
Wenn wir, wie vom Ausschuss vorgeschlagen wurde, die Zahl der Quästoren auf 6 erhöhen, dann entspräche dies einem Quästor pro 130 Mitglieder des Hauses, also immer noch einer größeren Zahl, als es jahrelang der Fall war.	If, as the Committee has suggested, we increase the number of Quaestors to six, that would be one Quaestor for every 130 Members of the House, still a larger number than was for many years the case.
Ich bin der Meinung, dass die Komplexität der Entwicklungen und der Probleme, die innerhalb des Hauses bei 25 Sprachen entstehen - ich rechne jetzt z. B. Katalanisch und Irisch hinzu -, dass diese Komplexität also, die Ablauf und Entscheidungen betrifft, eine Erhöhung dieser Zahl für eine gewisse Zeit von 5 auf 6 rechtfertigt.	I believe that the complexity of developments and of the problems that will arise in the House with 25 languages - I am now including Catalan and Irish, for example - that this complexity affecting the conduct of business and decisions justifies increasing that number from five to six for a time.
Ähnliches gilt für die Erhöhung der Zahl der Ausschussstellvertreter.	The same applies to the increase in the number of committee vice-chairmen.
Wir haben nun einmal - das ist ein unbestreitbares Faktum - nach menschlichem Ermessen von Januar 2007 bis Mitte 2009 die höchste Zahl an Abgeordneten, die dieses Parlament laut Plan je haben wird.	It is an indisputable fact that, so far as anyone can judge, we will now from January 2007 to the middle of 2009 have the largest number of Members this Parliament is ever planned to have.
Diese außergewöhnlich hohe Zahl an Abgeordneten lässt erwarten bzw. ist der Grund dafür, dass für diesen selben Zeitraum eine höhere Zahl an Mandatsträgern in die Ausschüsse berufen wird.	This unusually large number of MEPs suggests that, or is the reason why, a larger number of elected representatives will be appointed to the committees for the same period.
Natürlich hat das nicht nur mit dem Ablauf zu tun, sondern auch damit, dass Kollegen jetzt eine solche Position innehaben und nun die neuen bulgarischen und rumänischen Kollegen kommen, die selbstverständlich ebenfalls Anspruch auf solche Positionen haben.	It is of course not only to do with the conduct of business but also with the fact that people are already in these posts and the new Bulgarian and Romanian Members are now coming, who are of course also entitled to such positions.
Man müsste also sozusagen einigen Kollegen diese Position wegnehmen und sie den neuen Kollegen geben.	We would have to take them away from existing Members and give them to new ones.
Formaljuristisch ist das natürlich möglich, aber es dient nicht der - sagen wir einmal - engagierten innerparlamentarischen Arbeit.	From a formal, legal point of view that is of course possible, but it would not be conducive to, let us say, committed internal parliamentary work.
Es gäbe Frustration und Enttäuschungen, die man mit dieser Dimension vermeiden kann.	There would be frustrations and disappointments, which can be avoided by taking this approach.
Ich räume ein, dass eines vielleicht nicht optimal gelaufen ist.	I grant that one thing has perhaps not gone as well as it might.
Wir hätten diesen Aspekt bereits ein halbes Jahr früher erkennen können und vielleicht auch erkennen sollen.	We could and perhaps should have recognised this six months earlier.
Das wäre adäquater gewesen, um mit allen Gruppierungen des Hauses diese Dinge in aller Ruhe durchzudiskutieren.	That would have made it easier to talk these things through quietly with all the parliamentary groups.
Dadurch, dass den Verantwortlichen diese Idee leider erst sehr spät gekommen ist, entstand der Anschein, als müsse am Montag eine Sitzung abgehalten und am Donnerstag darüber abgestimmt werden.	The fact that this idea unfortunately occurred to those responsible only very late in the day made it look as though a sitting had to be held on Monday and a vote taken on it on Thursday.
Ich bitte dafür um Verständnis.	I ask for your forbearance.
Im politischen Leben kann es eben vorkommen, dass man auf eine adäquate Idee später kommt, als dem Ablauf angemessen wäre.	It can happen in political life that you hit upon a good idea later than events really require.
Dafür bitte ich um Verständnis und räume gerne ein, dass dieses Faktum für manche Kollegen etwas unverständlich war.	I ask for your understanding for that and readily admit that many honourable Members found this fact rather hard to understand.
Es stand aber keine böse Absicht dahinter, auch keine besonderes hintergründige Analyse, sondern man hat erst beim klaren Definieren der neuen Situation plötzlich festgestellt: Hier entsteht ein neues, bisher nicht gekanntes Problem.	There was no ill intent behind it, no funny business; only when the new situation became clear did we suddenly find there was a new problem we had not seen before.
Wenn ich alles zusammenfasse, dann halte ich diesen Kompromiss, für eine begrenzte Zeit an zwei Stellen die Positionen zu erhöhen, aber festzulegen, dass am Ende der Periode wieder der Normalfall eintritt, für einen adäquaten, dem parlamentarischen Ablauf zuträglichen Vorschlag, für den ich um Zustimmung und Verständnis bitte.	To sum up, I believe this compromise of creating an extra post in two areas for a limited period while making clear that we will return to normal at the end of that period is a reasonable proposal that will be good for the conduct of parliamentary business and I ask for your agreement and understanding.
