Frau Präsidentin! Ich befürworte den Solidaritätsfonds.	Madam President, I am in favour of the solidarity fund.
Ich glaube nicht, dass Kritik am Internationalen Währungsfonds oder ähnlichen Institutionen verboten ist und diese sakrosankt sind.	To my knowledge there is no ban on criticising the International Monetary Fund or similar institutions and I do not regard them as sacrosanct.
Ich halte es auch für gut, was Kommissar Patten gesagt hat, dass gewisse Einfuhrquoten auf dem Agrarsektor erhöht wurden bzw. werden.	I was also pleased to hear Commissioner Patten say that certain import quotas in the agricultural sector have been or are being increased.
Aber ich glaube, dass selbst wenn wir alle diese Maßnahmen verdoppeln und verdreifachen, wir die Problematik nicht von der Wurzel her lösen würden.	I think, however, that even if we doubled or tripled all of these measures, we would not get to the root of the problem.
Mercosur hat alles, was er braucht.	Mercosur has everything it needs.
Er hat Öl, Gas, alle wichtigen Rohstoffe, Agrarprodukte, mit denen er nicht nur ganz Lateinamerika, sondern zusätzlich auch noch Europa ernähren könnte.	It has oil, gas, all the important raw materials, and enough agricultural products to feed not only the whole of Latin America but Europe as well.
Er hat tüchtige Menschen, er hat eine vielfältige Industrie.	It has a competent workforce and it has a diverse industry.
Ich möchte an das anknüpfen, was der Kollege Linkohr gesagt hat: Die Ursachen dieser Krise liegen tiefer, und es sind nicht nur Wirtschaftsreformen, sondern politische Reformen notwendig.	I should like to take up something that Mr Linkohr said: the causes of this crisis run deeper, and not only economic reforms but also political reforms are necessary.
Gerade die wichtigsten Mercosur-Staaten haben tiefgreifende politische Probleme.	It is precisely the most important Mercosur States that have far-reaching political problems.
Sie haben ineffiziente, zum Teil korrupte, politische Systeme.	They have inefficient and, in some cases, corrupt political systems.
Wer in einem reichen blühenden Land wie Argentinien war und dort die Verzweiflungsdemonstrationen von Menschen aller politischen Richtungen vor der Casa Rosada in Buenos Aires gesehen hat, die den Rücktritt aller Politiker aller Parteien fordern, weil sie überhaupt niemanden mehr akzeptieren, der sieht ganz deutlich: Hier ist nicht nur eine vorübergehende Krise, hier ist eine grundsätzliche Krise der Demokratie und des politischen Systems gegeben.	Anyone who has been to a rich, thriving country like Argentina and seen the desperate demonstrations by people from the entire political spectrum outside the Casa Rosada in Buenos Aires, calling for the resignation of all politicians in all parties, because they will not accept anyone anymore, can see quite clearly that this crisis is not a passing phase; it is democracy and the political system that is undergoing a fundamental crisis.
Deshalb müssen wir natürlich einzelne Schritte machen, aber ohne eine grundlegende Reform des politischen Systems in Argentinien, aber auch teilweise in Brasilien wird dieser Kontinent nicht aus seiner Krise herauskommen.	That is why we obviously want to take individual steps, but without a thorough reform of the political system in Argentina, but also to some extent in Brazil, this continent will not shake off the crisis.
Mercosur hat bisher, und das muss man auch einmal positiv sehen, als Markt das Schlimmste verhindert, die Hinkenden haben sich gegenseitig gestützt, aber auf die Dauer muss es wirklich zu einer Gesundung der politischen Systeme kommen.	So far, it must be seen in a positive light that, as a market, Mercosur has had the effect of preventing the worst - they have limped along by supporting each other - but in the long term the political system really needs to make a full recovery.
