Frau Präsidentin, es ist ein schwieriger Text.	Madam President, this is a difficult text.
Viele haben mich im Laufe der letzten eineinhalb Jahre gefragt: 'Warum macht ihr das eigentlich, Elektronikschrott in Europa?	Over the last 18 months a lot of people have asked me, 'What is all this that you are doing in Europe with electronic waste?
Was macht das für einen Sinn?'	What is the point of it?'
Der Sinn liegt einfach darin, dass wir in der Europäischen Union vor einigen Jahren beschlossen haben, dass wir eine nachhaltige Politik in den Bereichen Wirtschaft, Umwelt und Soziales betreiben wollen.	The point is quite simply that a few years ago we in the European Union decided that we wanted to operate a sustainable policy in the economic, environmental and social fields.
In sechs Millionen Tonnen Elektronikschrott jedes Jahr ist eine riesengroße Menge an wertvollen Bestandteilen enthalten, die wir in Zukunft wiederverwenden wollen.	Six million tonnes of electronic waste every year contain an enormous quantity of valuable materials that we want to reuse in future.
Deswegen diese Richtlinie.	That is the reason for this directive.
Ich möchte mich sehr herzlich bei den Kollegen vom Vermittlungsausschuss bedanken, auch bei der Kommissarin und bei den Mitgliedern des Rates, die, wie ich finde, mit diesem Elektronikschrottbericht eine kleine Erfolgsgeschichte geschrieben haben.	I would like to extend my sincere thanks to the members of the Conciliation Committee, and also to the Commissioner and the members of the Council who, I think, have scored a minor victory with this report on electronic waste.
Wir waren uns nachher in schwierigen Punkten einig.	They enabled us to reach agreement on difficult points.
So konnten wir feststellen, dass die Verbraucher ab dem Jahr 2005 mehr oder weniger durch ihre Mitgliedstaaten angehalten werden - ich hätte das zwar lieber als einen Zwang gesehen - die Geräte in Zukunft nicht mehr in den Mülleimer zu werfen, sondern separat zu sammeln.	We were, for example, able to state that from 2005 consumers will be more or less enjoined by their Member States - I would have preferred it to have been compulsory - not to throw appliances in the dustbin in future, but to collect them separately.
Wir haben verbindliche Ziele festgelegt.	We have set binding targets.
Leider glänzt Europa ja immer dadurch, dass man unbegrenzt undefinierte Rechtsbegriffe benutzt.	Unfortunately, Europe is always outstanding in its unlimited use of undefined legal terms.
Heute, in dieser Richtlinie haben wir zwar nicht sehr hohe Hürden, aber immerhin definierte und verbindliche Hürden festgeschrieben.	The hurdles we have set in this directive today are not very high, but they are nevertheless defined and binding.
Ich glaube, das ist ein guter Erfolg.	I think that can be called a success.
Bei der Frage, wie wir solche Materialien in Zukunft behandeln, sind wir leider etwas vage geblieben, haben dennoch aber die bestverfügbare Technik benutzt.	Unfortunately, we are still rather vague about how such materials will be treated in future, but we have used the best available technology.
Nur weiß ich zu genau, dass in meinem Land der Begriff 'bestverfügbare Technik' sechzehnmal unterschiedlich definiert wird, da wir 16 Bundesländer haben.	I know only too well that in my country the term 'best available technology' is interpreted in 16 different ways, because Germany has 16 federal states.
Da gibt es sicher noch Schlupflöcher, aber immerhin sind wir auch im Bereich der Recyclingquoten ein gutes Stück vorangekommen.	There are bound to still be loopholes, but we have nevertheless made real progress in the field of recycling quotas, too.
Ich glaube, dass die Quoten für die Industrie erreichbar sind, so dass eigentlich niemand sagen kann, wir hätten sie überfordert.	I believe the quotas for industry are achievable and no one can say we are asking too much.
Der Bürger hat im Jahre 2005 die Möglichkeit, seine Produkte kostenlos an einer Sammelstelle abzuliefern, es sei denn, der Mitgliedstaat geht noch einen Schritt weiter.	In 2005, citizens will be able to take their products to a collection point free of charge, unless the Member State goes a step further.
Das kann dann individuell in den Mitgliedstaaten entschieden werden.	The Member States can decide that individually.
Ein großer Erfolg, finde ich, ist, dass wir zur 'Individuellen Kostenverteilung' gekommen sind.	I think our agreement on 'individual financing' was a great success.
Das ist ein Schritt in die Zukunft, weil wir gerne ein Lenkungsinstrument haben wollen und demjenigen, der heute einen Computer baut, der gut recyclingfähig ist - wie dieser zum Beispiel - auch belohnt werden soll und derjenige, der ein langweiliges und altmodisches Gerät auch in Zukunft weiter produzieren will, durch die hohen Entsorgungskosten auch zur Kasse gebeten werden muss.	It is a step forward because we would like to have a guidance instrument and those who today are building computers that lend themselves to recycling - like this one, for example - should also be rewarded and those who want to continue producing boring old-fashioned ones in the future should be asked to contribute to the high costs of disposal.
Da gab es tatsächlich Länder, die diesen Ansatzpunkt nicht wollten.	There were actually countries that did not want to take this approach.
