Herr Abgeordneter!	. Mr Hatzidakis, I quite agree with you.
Mir geht es wie Ihnen auch: Es ist im Augenblick noch nicht zu erkennen, ob die direkten Gespräche in Zypern über die Lösung des Konflikts das erwünschte Ergebnis haben werden.	At present it is impossible to judge if the direct discussions in Cyprus about the resolution of the conflict will have the desired outcome.
Die Kommission unterstützt in vollem Umfang die direkten Gespräche zwischen den Führern der beiden Gemeinschaften und deren angekündigte Absicht, bis Ende Juni dieses Jahres eine Lösung zu finden.	The Commission fully supports the direct discussions between the leaders of the two communities and their declared intention of finding a solution by the end of June 2002.
Die türkischen Zyprer sind eingeladen, im Rahmen der zyprischen Delegation an den Beitrittsverhandlungen teilzunehmen.	The Turkish Cypriots have been invited to take part in the accession negotiations as part of the Cypriot delegation.
Diese Einladung besteht seit dem Jahre 1998. Die türkischen Zyprioten haben diese Einladung leider bisher nicht akzeptiert.	This invitation has been on the table since 1998, but the Turkish Cypriots have so far unfortunately not accepted it.
Am vorgesehenen Fahrplan für die Erweiterung ändert die derzeitige Lage in Zypern nichts.	The present situation in Cyprus in no way alters the planned timetable for expansion.
Die Helsinki-Strategie ist unverändert gültig.	The Helsinki Strategy remains equally valid.
Die Lösung des Konflikts ist die erwünschte Option, aber keine Vorbedingung für den Beitritt Zyperns.	The desired outcome is to solve the conflict, but that is not a prerequisite for Cyprus's accession.
Die endgültige Entscheidung wird der Rat unter Berücksichtigung aller relevanten Faktoren treffen.	The Council will make the final decision taking account of all relevant factors.
Die Kommission hat nicht die Absicht, dem Führer der türkischen Zyprioten, Rauf Denktasch, eine Note zu schicken.	The Commission does not intend to send a note to the leader of the Turkish Cypriots, Rauf Denktash.
Die Kommission ist jedoch bereit, das Gespräch mit Herrn Denktasch fortzusetzen.	However, the Commission is willing to continue the dialogue with Mr Denktash.
Ich selber habe in meiner Amtszeit drei ausführliche Gespräche mit Herrn Denktasch gehabt.	I myself have had three detailed discussions with Mr Denktash during my period of office.
Im Rahmen dieser Gesprächskontakte sind alle wichtigen politischen Fragen im Zusammenhang mit dem EU-Beitritt Zyperns und der Lösung des Konflikts erörtert worden.	These discussions covered all the key political issues around Cyprus's accession to the EU and the resolution of the conflict.
