Der Verkauf unter Selbstkosten ist ein in den vergangenen Monaten viel diskutiertes Thema.	. Below cost selling has been a much-discussed issue over the past months.
Die Kommission würde das Verbot dieser Praxis in verschiedenen Ländern am liebsten durch die Verordnung aufheben.	The Commission would prefer to use this regulation to lift the ban on this practice in various countries.
Die Folgen einer solchen Verpflichtung wären für die kleineren Produzenten wie jene des Agrar- oder Weinsektors katastrophal.	Such a commitment would have catastrophic consequences for smaller producers, such as those in the agricultural and viticultural sectors.
Im Unterschied zu großen Supermarktketten verkaufen sie oft nur ein Produkt und können die Verluste des Verkaufs unter Selbstkosten nicht auf andere Produkte abwälzen.	Unlike the major supermarket chains, they often sell only one product and cannot pass onto other products the losses involved in below cost selling.
Sie würden somit jede Konkurrenzfähigkeit verlieren. Um dem entgegen zu wirken, sähen viele Produzenten sich gezwungen, billigere und somit qualitativ schlechtere Zutaten zu verwenden.	They would therefore lose all their capacity to compete, and, in order to counteract that, many producers would feel themselves constrained to use ingredients that were cheaper and thus of poorer quality.
Der Leidtragende wäre trotz billigerem Preis immer noch der Verbraucher.	Lower prices would not alter the fact that it would still be the consumer who lost out in all this.
Ich konnte mit Genugtuung feststellen, dass der kompetente Ausschuss den Text meines entsprechenden Änderungsantrages angenommen hat und ein für fast alle befriedigender Kompromiss gefunden wurde.	It was with some satisfaction that I noted that the committee with competence in these matters has adopted the text of my amendment on the subject and managed to reach a compromise that satisfies almost everybody.
Im Rechtsausschuss zielten andere Änderungsanträge darauf ab, jedwede Verkaufsförderung auf alkoholische Getränke wie Wein, Bier oder Spirituosen zu verbieten.	In the Legal Affairs Committee, other amendments sought to prohibit any sales promotion whatever of alcoholic drinks such as wine, beer or spirits.
Dass übertriebener Alkoholkonsum durch eine frühzeitige angemessene Erziehung unterbunden werden muss, steht außer Frage.	There is no doubt that excessive consumption of alcohol needs to be stopped by means of appropriate education at an early stage.
Des Weiteren sehen alle Mitgliedstaaten ein Mindestalter für Alkoholkonsum in der Öffentlichkeit vor.	Moreover, all the Member States stipulate a minimum age for the public consumption of alcohol.
Jedwede Verkaufsförderung zu verbieten ist jedoch disproportioniert, da dadurch nicht nur die kleine Minderheit der dem Alkohol verfallenen und somit behandlungsdürftigen, sondern alle Verbraucher geschädigt würden.	Prohibiting any sales promotion whatever is, however, disproportionate, harming as it does all consumers rather than only the small minority who are addicted to alcohol and therefore need treatment.
Die Mehrheit des Rechtsausschusses hat die Absurdität dieser Maßnahme eingesehen und die erwähnten Änderungsanträge abgelehnt.	A majority on the Legal Affairs Committee realised the absurdity of this step and rejected the amendments to which I have referred.
(Gemäß Artikel 137Absatz 1 GO gekürzte Erklärung zur Abstimmung)	(Explanation of vote abbreviated in accordance with Rule 137(1) of the Rules of Procedure)
