Herr Präsident, liebe Kolleginnen und Kollegen! Ich möchte zwei Erklärungen abgeben.	– Mr President, ladies and gentlemen, there are two things I want to say.
Wir haben uns gestern sehr lange mit dem Bericht Boogerd-Quaak zu den Medien befasst und da gibt es kontroverse Positionen.	We spent a great deal of time yesterday considering the Boogerd-Quaak report on the media, which has been a matter of some controversy.
Ich möchte doch sagen, dass wir die Entscheidung des Parlamentspräsidenten, die Änderungsanträge nicht zuzulassen, für juristisch nicht gerechtfertigt halten und deswegen dieser Entscheidung des Präsidenten widersprechen.	I would like to say that we regard the refusal by the President of Parliament to permit the amendments as lacking any legal justification and we are therefore contesting his decision.
Wir werden uns auch eine rechtliche Prüfung vorbehalten, ob hier so die Rechte von Abgeordneten des Parlaments außer Kraft gesetzt werden können, indem man alle Änderungsanträge gleichsam vom Tisch wischt.	We will also be considering legal action to test whether the rights of Members of this House can be set aside by sweeping aside all the amendments, as was done in this instance.
Weil wir dieses für einen sehr schwerwiegenden Vorgang halten, wird sich unsere Fraktion heute an der Abstimmung über den Bericht Boogerd-Quaak über die Medien nicht beteiligen, um unseren Protest zum Ausdruck zu bringen, dass wir diese Entscheidung nicht akzeptieren können.	It is because we regard this as a very serious course of action that our group will not be taking part in today’s vote on the Boogerd-Quaak report on the media, thereby recording our protest and our inability to accept this decision.
Ich möchte einen zweiten Aspekt ansprechen, und das betrifft Äußerungen des Kollegen Barón Crespo gestern hier im Plenum.	There is a second matter that I would like to address, and it has to do with what Mr Barón Crespo said in the plenary yesterday.
Es muss zunächst die Frage geklärt werden, woher der Kollege Barón Crespo die Behauptung nimmt, dass Papiere im Ausschuss für die Freiheiten und Rechte der Bürger verschwunden sein sollen. Denn wenn das zutrifft, könnte das natürlich auch alle prozeduralen Fragen im Zusammenhang mit dem Bericht Boogerd-Quaak betreffen.	The first question that has to be dealt with has to do with the background to Mr Barón Crespo’s assertion that documents had disappeared from the Committee on Citizens’ Freedoms and Rights, Justice and Home Affairs, for, if that is indeed the case, then it follows that it could affect all the procedural issues connected with the Boogerd-Quaak report.
Aber ich möchte den Kollegen Barón Crespo doch bitten, seine Äußerungen zurückzunehmen, die er gestern hier im Plenum gemacht hat, die sich leider im Protokoll des Parlamentes nicht wiederfinden.	I would, however, ask Mr Barón Crespo to withdraw the allegations he made in the plenary yesterday, which are, unfortunately, not recorded in the Minutes.
Ich habe gestern die Bemerkungen des Kollegen Barón Crespo gehört, die er hier an die Adresse des Kollegen Antonio Tajani gerichtet hat, und auf dem Band, dem offiziellen Band des Europäischen Parlamentes sind diese Bemerkungen verzeichnet, aber sie finden sich nicht im Protokoll.	Yesterday, I heard the remarks that Mr Barón Crespo addressed to Mr Tajani, and they are recorded on the House’s official tapes, but not in the Minutes.
Der Kollege Barón Crespo hat gestern gesagt an die Adresse unseres sehr geschätzten Kollegen Antonio Tajani: „“. In meine Sprache übersetzt heißt das: Halt die Klappe, du Unwürdiger!	Yesterday, Mr Barón Crespo said to Mr Tajani, for whom we all have high regard: ‘, which, when translated, means ‘shut up, you wretch!’
Ich halte es für unwürdig, dass ein Mitglied des Europäischen Parlaments ein Mitglied des Europäischen Parlaments in dieser Weise kennzeichnet, und ich bitte Enrique Barón Crespo, dies zurückzunehmen.	I think it unworthy for one Member of this House to describe another in these terms, and I ask Mr Barón Crespo to withdraw this remark.
Es hat eine weitere Äußerung gegeben und ich bedauere das.	Something else was said, and I regret that.
Ich hätte niemals gedacht, dass ich so etwas hier vortragen muss.	I had never thought I would have to say something like this in this House.
Aber, liebe Kolleginnen und Kollegen, es gibt etwas, was uns bei allem Streit verbindet, und das ist der Respekt voreinander.	There is, though, something that binds us together no matter what disputes we may have with each other, and that is our mutual respect.
Dafür steht jedenfalls unsere Fraktion und niemand darf so bezeichnet werden.	That is something that our group, at any rate, stands for, and such language should not be used to anyone.
Der Kollege Barón Crespo hat im Übrigen gesagt, ich lese das vor, wie man es mir vom Band abgeschrieben hat. Ich sage es auf Spanisch.	I will add that Mr Barón Crespo also said something that I will read out, which was taken down for me from the tape.
Ich kann leider kein Spanisch und bitte um Nachsicht, wenn ich es nicht ganz richtig sage: „pediría a los jabalíes que andan sueltos por ahí que tengan tranquilidad“...Das heißt in meine Sprache übersetzt: Ich würde den Wildschweinen, die hier herumlaufen, empfehlen, ganz ruhig zu bleiben.	I am reading it in Spanish, a language that I, unfortunately, do not speak, and so I apologise if I am not getting it quite right: ‘’ Translated, that means: ‘I would ask the wild boar running loose in this Chamber to calm themselves!’
Liebe Kolleginnen und Kollegen, das ist nicht die Sprache, wie sie hier im Europäischen Parlament gesprochen werden sollte, und ich bitte den Kollegen Baron Crespo, hier eine Korrektur seiner gestrigen Äußerungen vorzunehmen.	Such, ladies and gentlemen, is not the language that should be used here in the European Parliament, and I ask Mr Barón Crespo to put right the remarks he made yesterday.
