amtierender Ratspräsident.	President-in-Office of the Council.
Ich kann die letzte Feststellung nicht teilen.	I cannot agree with the last statement.
Ich habe vorhin zum Ausdruck gebracht, dass es angesichts der Konflikte und der Probleme auch für die Zivilbevölkerung notwendig ist, dass beide Teile in die Lösung des Konflikts einbezogen werden.	As I said before, in view of the conflicts and the problems they also bring for the civilian population, it is necessary for both parties to be involved in resolving the conflict.
Die Europäische Union hat deshalb keiner der Parteien, auch nicht der Regierungspartei, mehr Vertrauen geschenkt.	For that reason, the European Union has not placed greater confidence in any of the parties, not even the government.
Es muss im Maßnahmenkatalog der EU und anderer Institutionen, die dort aktiv sind, vorgesehen sein, dass der Konflikt dauerhaft beigelegt wird.	The EU's measures, and those of other organisations active there, must be geared to a permanent end to the conflict.
Zu der ersten Frage kann ich persönlich keine Bewertung vornehmen. Das lasse ich aber auch noch einmal prüfen.	I cannot comment personally on the first question, but I will have it examined again.
Betrifft: Ökologische Auswirkungen der Nordpipeline	Subject: Ecological consequences of the northern oil pipeline
Im Rahmen der neuen Politik der Nördlichen Dimension, zu deren Bestandteilen die Ostseestrategie zählt, richtet sich das Hauptaugenmerk auf den Umweltschutz und den Klimawandel.	The Northern Dimension policy, of which the Baltic Sea Strategy is a constituent part, places particular emphasis on the environment and climate change.
Die Ostsee ist eines der am stärksten verschmutzten Meere der Welt.	The Baltic Sea is one of the world's most contaminated seas.
Außerdem lagern auf ihrem Grund aus der Zeit des Zweiten Weltkriegs 282 000 Tonnen gefährlicher Waffen.	Furthermore, 282 000 tonnes of dangerous weapons have lain on its bed since the Second World War.
Eine aktive Wirtschaftstätigkeit in der Ostsee und insbesondere der geplante Bau der Nordpipeline können eine ökologische Katastrophe auslösen, deren Folgen schwer vorhersehbar sind.	Economic activities, and in particular the planned construction of the northern oil pipeline, may lead to an ecological disaster whose consequences are difficult to predict.
Ist das den Vorsitz innehabende Land, das an dem Projekt beteiligt ist, nicht der Ansicht, dass die EU, bevor mit der Durchführung solcher Projekte begonnen wird, ein unabhängiges Sachverständigengutachten über die möglichen ökologischen Auswirkungen des Baus einer Gasleitung einholen müsste?	Does not the country that holds the Presidency and which is a participant in the project consider that, before it starts to implement projects of this kind, the EU should obtain independent expertise on the possible ecological consequences of the construction of a gas pipeline?
Die Gutachten der Projektautoren, bei denen es um ihre eigenen Interessen geht, werden die Bürger der Gemeinschaft sicher nicht von der Sicherheit des Projekts überzeugen.	Clearly, expertise provided by the authors of the project and relating to their own interests will not convince the Community's citizens of the safety of the project.
