amtierender Ratspräsident.	President-in-Office of the Council.
Sehr geehrter Herr Kollege Posselt! Der Beschluss des Europäischen Rates vom 15. und 16. Dezember 2005, der Ehemaligen Jugoslawischen Republik Mazedonien den Status eines Bewerberlandes zu verleihen, stellt eine Anerkennung der Reformergebnisse des Landes dar.	Mr Posselt, the European Council's decision of 15 and 16 December 2005 to give the Former Yugoslav Republic of Macedonia the status of a candidate country stands in recognition of the country's reform effort so far.
Der Europäische Rat betonte, dass je nach Erfüllung der in den Schlussfolgerungen festgelegten Bedingungen und Anforderungen weitere Schritte zur Annäherung an die EU erwogen werden.	The European Council stressed that further steps to bring Macedonia closer to the EU will be considered if the conditions and requirements laid down in the Conclusions are satisfied.
Die Kommission wird in ihren Fortschrittsberichten über diese Entwicklungen informieren.	The Commission will keep you informed of these developments in its progress reports.
Auf seiner Tagung vom 11. und 12. Dezember letzten Jahres sprach der Rat nach Prüfung der Entwicklungen in der Ehemaligen Jugoslawischen Republik Mazedonien anhand der Fortschrittsberichte der Kommission sein Bedauern über das Nachlassen des Reformtempos im Jahr 2006 aus.	After examining the developments in the Former Yugoslav Republic of Macedonia as set out in the Commission's progress reports, at its meeting on 11 and 12 December last year the Council expressed its regret at the slowing of the pace of reform in 2006.
Der Europäische Rat bekräftigte am 14. und 15. Dezember letzten Jahres, dass das Vorankommen der einzelnen Länder auf dem Weg in die Europäische Union von ihren jeweiligen Bemühungen abhängt, die Kopenhagener Kriterien und die Bedingungen des Stabilisierungs- und Assoziierungsprozesses zu erfüllen.	On 14 and 15 December last year, the European Council reiterated that the individual countries' progress along the road to the European Union depends on the efforts each of them makes to satisfy the Copenhagen Criteria and the conditions of the stabilisation and association process.
Was die Ehemalige Jugoslawische Republik Mazedonien anbelangt, so forderte er das Land auf, das Reformtempo in den zentralen Bereichen zu erhöhen und die in der europäischen Partnerschaft festgelegten Prioritäten umzusetzen, um im Beitrittsprozess weiter voranzukommen.	So far as the Former Yugoslav Republic of Macedonia is concerned, it urged the country to step up the pace of reform in the key areas and to implement the priorities laid down in the European partnership in order to make further progress in the accession process.
Die Regierung des Landes steht vor großen Herausforderungen, insbesondere was die Polizei- und Justizreform und den Kampf gegen Korruption betrifft.	The country's government faces great challenges, especially in the areas of police and judicial reform and the fight against corruption.
Wie ich bereits im März an dieser Stelle in der Beantwortung einer Anfrage des Abgeordneten Ryszard Czarnecki betont habe, sollen nun die offenen Fragen rasch angegangen werden.	As I stressed here back in March in answer to a question from Ryszard Czarnecki, the questions that remain open must now be tackled quickly.
Das Tempo des Beitrittsprozesses hängt somit in erster Linie von den Bemühungen und Leistungen der Ehemaligen Jugoslawischen Republik Mazedonien selbst ab.	The pace of the accession process therefore depends primarily on the efforts and achievements of the Former Yugoslav Republic of Macedonia itself.
Der nächste Fortschrittsbericht der Kommission wird darüber Aufschluss geben.	The Commission's next progress report will shed light on this.
Die Union wird das Land auch weiterhin aktiv bei der Verwirklichung dieses Ziels unterstützen.	The European Union will continue to actively support the country in making this objective a reality.
