Herr Präsident!	.
Ich bin den beiden Berichterstattern sehr dankbar für ihren Bericht.	Mr President, I am very grateful to both the rapporteurs for their report.
Ich weiß, dass die Fragestellung, die Kollege Brok zuletzt angesprochen hat, zu vielen Diskussionen, auch innerhalb der Fraktionen, geführt hat. Es spricht vieles für beide Positionen.	I know that the issues that Mr Brok has just raised have prompted a great deal of debate, not least within the political groupings in this House, and there is much to be said for both positions.
Vielleicht ist die Frage zu früh gestellt. Vielleicht müssen wir mit dem anfangen, was wir möglicherweise ein bisschen vernachlässigt haben, nämlich die inhaltliche Dimension.	Perhaps we have to begin with the issues of substance, which we may well have neglected to some degree; how, for example, can we persuade the public that Europe needs a constitution of the kind that has been drafted?
Wie können wir die Bürgerinnen und Bürger davon überzeugen, dass wir in Europa eine Verfassung, wie sie erarbeitet worden ist, brauchen? In meiner Stellungnahme, die ich für den Ausschuss für Industrie, Forschung und Energie ausarbeiten konnte, habe ich einige Beispiele angeführt.	I gave a number of examples in the opinion I drafted on behalf of the Committee on Industry, Research and Energy, and perhaps I can adduce one that did not yet count for much at the time I was writing, but has acquired significance over the past few days in this House.
Vielleicht kann ich das Beispiel nennen, das damals noch nicht viel Gewicht hatte, in den letzten Tagen in diesem Parlament aber Gewicht bekommen hat: die Energiefrage!	I refer, of course, to the issue of energy.
Es war schon überraschend und erstaunlich, dass sich viele Abgeordnete, die vielleicht bis vor kurzem der europäischen Energiepolitik mit einer gewissen Skepsis gegenüberstanden, jetzt sehr massiv für eine gemeinsame Energiepolitik ausgesprochen haben. Ich habe sehr begrüßt, was Herr Saryusz-Wolski gesagt hat.	It was pretty surprising, indeed pretty astonishing, to see how many Members of this House who had, until recently, perhaps taken a rather sceptical view of such things, are now forthright advocates of a common energy policy; I was delighted to hear what Mr Saryusz-Wolski had to say on the subject.
Der Herr Bundeskanzler als Ratspräsident, der immer wieder die Subsidiarität betont, hat sich heute deutlich für eine gemeinsame Energiepolitik ausgesprochen.	The Federal Chancellor is a constant advocate of subsidiarity; today, as President of the Council, he argued strongly in favour of a common energy policy.
Dies ist nur ein Beispiel, um zu zeigen, wie wichtig es ist, dass die Zuständigkeiten, die wir auf europäischer Ebene - gerade auch in der Verfassung - verankert haben, auch wirklich voll genutzt werden.	This is just one example showing how important it is that the powers and prerogatives that we, particularly in the Constitution, have accorded to the European level be used to the utmost.
Ich glaube, das ist der Weg, den wir gehen müssen.	I see this as the road down which we must go.
Ich könnte jetzt beispielsweise die Frage der Raumfahrtpolitik erwähnen, über die wir hier auch gesprochen haben und wo es nicht darum geht, Europäer in den Weltraum zu schicken, sondern um die Frage der Kontrolle der Umwelt oder die Frage, Tsunami-Warnungen rechtzeitig zur Verfügung zu stellen.	I could, at this point, for example, talk about space policy, which has been another topic for debate in this place, and which is not about sending Europeans into space, but rather about monitoring the environment or giving warnings of tsunamis in good time.
Viele andere Dinge sind realistisch, machbar und gegenüber dem Bürger erklärbar, wenn wir uns nicht auf die institutionellen Fragen konzentrieren, sondern auf die inhaltlichen Fragen.	There are plenty of other things that are realistic and feasible and capable of being explained to the public if we focus on matters of substance rather than the institutional issues.
Herr Ratspräsident! Wir in diesem Parlament erwarten natürlich diese oder diese Skizze, wie es weitergehen soll.	What we in this House expect, of course, is a road map or sketch of how things are to progress.
Ich bitte Sie inständig, dass Sie bei all dem, was Sie in den nächsten Wochen und Monaten der Ratspräsidentschaft inhaltlich zu tun haben, darauf hinweisen, wie viel besser wir es tun könnten, wenn wir eine europäische Verfassung hätten.	I beg you, Mr President-in-Office of the Council, in all the weighty matters with which you will have to deal over the coming weeks and months of this Presidency, to highlight how much better we could handle them if we had a European constitution.
Das ist ein ganz wichtiger Aspekt.	That is absolutely vital.
