Frau Präsidentin! Im Zentrum steht das Wohl des Patienten.	Madam President, the wellbeing of patients is key here.
Um sich richtig abzusichern, nehmen Pharmakonzerne oft jede geringe Nebenwirkung in Packungsbeilagen auf, was natürlich die Sache sehr kompliziert.	In order to cover themselves, pharmaceutical companies often include every minor side effect in package leaflets, which, of course, complicates matters greatly.
Komplizierte Patienten neigen dazu, die Dosis eigenmächtig zu ändern und auch die Medikamente abzusetzen.	Confused patients tend to change the dose on their own initiative or to discontinue the medication.
Auch die Flut von mehr oder weniger seriösen Informationen über das Internet trägt maßgeblich zur Verwirrung und Verunsicherung bei.	Moreover, the flood of information via the Internet, some of which is reliable and some not, adds greatly to the confusion and uncertainty.
Zertifizierte Websites sind ein Schritt in die richtige Richtung, aber noch nicht ausreichend.	Certified websites are a step in the right direction, but are not yet enough.
Vorrangig ist zudem die Verständlichkeit der Information, auch ohne Medizin- und Pharmastudium.	A further priority is to make the information comprehensible even to those without medical or pharmaceutical qualifications.
Die Beilage muss erkennbar und lesbar sein.	The package leaflet must be unmistakable and legible.
Vor allem für ältere Menschen sollte die Schriftgröße erhöht werden.	The font size should be increased, particularly for older people.
Leider muss man sagen, dass das hohe Schutzniveau des europäischen Arzneimittelsektors in Drittländern ausgehebelt wird.	I regret to say that there are third countries that are profiting from the high level of protection in the European pharmaceutical sector.
So findet man Originale aber auch Fälschungen in türkischen Bazars in Mengen, und sie sind frei erhältlich.	Both original and fake medicines are thus freely available in large quantities in Turkish bazaars.
Das ist natürlich auch eine Forderung, dass man diese Drittländer in die Pflicht nimmt, um diesen Schwarzhandel gänzlich zu unterbinden.	We therefore also need to impose obligations on these third countries in order to put an end to this black market entirely.
