Herr Präsident! Vielen Dank an Herrn Kommissar Kovács für seine exzellente Arbeit.	Mr President, thank you Commissioner Kovács for your excellent work.
Die administrative Zusammenarbeit der EU-Mitgliedstaaten - mein Thema - im Bereich der Besteuerung ist ein ehrgeiziges Projekt.	Administrative cooperation between EU Member States in tax matters, which is my remit, is an ambitious project.
Sie ist notwendig, denn Steuerhinterziehung ist kein Kavaliersdelikt.	It is necessary because tax evasion is no mere peccadillo.
Sie macht auch vor Landesgrenzen nicht halt.	It affects countries across borders.
Wir müssen gemeinsam gegen Betrügereien im Steuerwesen und gegen dubiose Steueroasen vorgehen.	We have to work together to fight tax fraud and dubious tax havens.
Die Ansichten der Mitgliedstaaten, das alles nicht auf europäischer Ebene lösen zu können, sind völlig verkehrt.	The view of the Member States that not everything can be solved at European level is a blatant error.
Die rechtlich problematische Möglichkeit des Kaufs illegal erworbener Daten von Steuersündern, wie wir es gerade in Deutschland erleben - vermutlich ist dieser Kauf notwendig -, darf nicht die einzige Aktion sein!	Exploring the possibility of purchasing illicitly acquired data on fraudsters, which is legally problematic and an issue which we in Germany have been grappling with, should not be our only course of action. It may well be though that such purchase is necessary.
In der Richtlinie begrüße ich erstens den geplanten automatischen Informationsaustausch zwischen den Behörden, zweitens die verstärkte gegenseitige Personalentsendung zwischen den Verwaltungen und drittens die dringend notwendige Lockerung des Bankgeheimnisses weit über die Europäische Union hinaus.	In this directive, I welcome, firstly, the planned automatic exchange of information between tax authorities; secondly, the enhanced procedure for the mutual exchange of staff between administrations; and thirdly, the urgently needed measure to relax bank secrecy laws far beyond the EU.
Freilich gilt es einige Baustellen zu beheben, insbesondere den Konflikt zwischen dem Datenaustausch auf der einen Seite und der Wahrung des Datenschutzes auf der anderen Seite.	Admittedly, we need to remove some obstacles, particularly the clash between data exchange, on the one hand, and data protection, on the other.
Beide müssen in das Gleichgewicht kommen, keine Seite darf sich gegen die andere Seite ausspielen lassen.	We need to strike a balance between the two and not allow one interest to prevail over the other.
Darüber hinaus gehört die grenzüberschreitende Doppelbesteuerung stärker in den Mittelpunkt.	Furthermore, cross-border dual taxation should be a subject of greater focus.
Ich habe mit vielen kleinen und mittelständischen Unternehmen gesprochen, die gleichzeitig in verschiedenen Mitgliedstaaten tätig sind.	I have spoken to a series of small and medium-sized enterprises operating simultaneously in different Member States.
Diese sagen, es gibt so viel Unübersichtlichkeit, so wenig Transparenz, so wenige Erfahrungen, dass Investitionsentscheidungen negativ beeinflusst werden.	They say that the situation is far too complicated and that there is not enough transparency and experience, which is why they find themselves unable to take the right investment decisions.
Das muss man bedenken.	We have to consider that.
Also brauchen wir weniger bürokratische Belastungen und mehr Notwendigkeiten, damit die Verwaltungen uns helfen, enger zusammenzuarbeiten und dann Vereinfachungen zu erzielen.	We also need to reduce red tape and pay greater attention to what is actually necessary, so that tax administrations can help us work more closely together and simplify our procedures.
Wenn wir das erreicht haben, wenn diese Vereinfachungen im Geschäftsalltag spürbar sind, dann sind wir deutliche Schritte vorangekommen.	If we can achieve that, if we can embed such simplified procedures into the everyday lives of businessmen, we will be making clear progress.
Dafür ist das ein ganz wesentliches Signal.	This directive is an essential statement of our intention to do that.
