Herr Präsident! Ich spreche hier nicht als Frau, sondern als Vertreterin der Fraktion.	Mr President, I am speaking not as a woman, but as my group's representative.
Auch Sie, Herr Graefe zu Baringdorf, haben ja als Vorsitzender des Ausschusses für Landwirtschaft und ländliche Entwicklung gesprochen.	You too, Mr Graefe zu Baringdorf, spoke as chairman of the Committee on Agriculture and Rural Development.
Von den 15 Millionen Personen, die in der EU in der Landwirtschaft tätig sind, sind ungefähr 40 % Frauen. Jeder fünfte Betrieb wird von einer Frau geleitet - immerhin rund 1,3 Millionen -, und das sind überwiegend kleine und mittlere Betrieben, nur 3 % Großbetriebe.	Women make up some 40% of the fifteen million people who work in agriculture in the EU, and run one in every five farms - around 1.3 million - which, apart from a mere 3% larger ones, are small and medium-sized operations.
Detaillierte Auskunft darüber gibt der Bericht von Frau Kratsa-Tsagaropoulou.	Mrs Kratsa-Tsagaropoulou's report gives more detailed information on this.
Aber obwohl wir in der Agrarpolitik die am weitesten entwickelte Gemeinschaftspolitik haben, bleibt der Bereich Gender Mainstreaming sträflich vernachlässigt.	Although, of all the Community's policies, the CAP is far and away the most highly developed, there is still a positively criminal neglect of gender mainstreaming.
Die Konsequenz ist: Gleichstellung und Rechte der Frauen im ländlichen Raum sind fast nicht sichtbar.	The consequence of this is that there is scarcely any visible sign of women in rural areas enjoying equal status and equal rights.
Es wurden zwar einige Instrumente entwickelt, doch ein sichtbarer Durchbruch steht auch mit der Gemeinsamen Agrarpolitik noch in den Sternen.	Although a number of instruments have been devised, any visible breakthrough in the CAP is still a long way in the future.
Ich denke, die Reform der Agrarpolitik war ein Schlachtfeld der Lobbyisten, aber hier macht sich das Manko der Frauen ganz deutlich bemerkbar, die es nicht durchsetzen konnten, dass die systematische Förderung von Landwirtinnen vorangetrieben wurde.	Even though, in my view, the reform of agricultural policy left the fields strewn with dead lobbyists, it does have a very apparent shortcoming in that women have not managed to get the systematic promotion of women in agriculture accepted.
Das ist besonders schmerzlich, aber vor allem in der Umstrukturierung des ländlichen Raumes in den Beitrittsländern Mittel- und Osteuropas wird sich das noch schmerzhafter niederschlagen.	Especially painful though that is, it is primarily in the restructuring of rural areas in the candidate countries in Central and Eastern Europe that even greater pain will be felt.
Wir denken an neue Beschäftigungsformen, die entwickelt werden müssen.	What is on our minds is the new working arrangements that have to be devised.
Wir denken an Einrichtungen, die die Vereinbarkeit von Beruf und Familie verbessern, sowie an Kinderbetreuungseinrichtungen, Betreuung für Behinderte und ältere Menschen.	We are thinking about facilities that improve the balance between working life and family life, as well as about childcare facilities, and the provision of care for disabled and older people.
Wir denken daran, dass der Tourismus auf dem Lande weiter entwickelt werden muss, alternative Energien, regionale Vermarktungskreisläufe gefördert werden können.	We are thinking about the need to further develop rural tourism, and about how to promote alternative energies, and regional marketing cycles.
Das sind immer nur punktuelle Ansätze, die auch das kulturelle Angebot erweitert haben.	These may be only ad hoc approaches, but they have added to the range of culture on offer.
Letztendlich haben die Frauen da eine kleine Nische gefunden, eine Chance ergriffen, aber wenn ich in mein eigenes Bundesland sehe, Bayern - der Herr Präsident kennt es sehr gut -, dort wurden im Jahr 2002 17 Millionen Euro aus dem Programm der ländlichen Entwicklung nicht gebunden, d. h. insgesamt rund 34 Millionen Euro konnten nicht ausgegeben werden, rechnet man die Kofinanzierung hinzu, die für gezielte Projekte auch für Frauen hätten verwendet werden können.	Women have eventually found a small niche in all this and seized an opportunity, but I think of the state of Bavaria, from which I come and which the President knows well - there, in 2002, EUR 17 million from the rural development programme were not allocated, which - if we add in the co-financed sums that could have been used for specific projects, including for women - means that a total of EUR 34 million could not be paid out.
Es gibt noch viele Ressourcen, wo wir auf die Mitgliedstaaten Druck ausüben müssen. Daher bitte ich die Kommission, bei ihrer Überprüfung der operationellen Programme sehr viel stärker darauf zu achten, dass Gender Mainstreaming auch angewendet wird und nicht nur in den Sonntagsreden betont wird.	As regards many of the available resources, we still have to exert pressure on the Member States, and so I ask the Commission, when monitoring the programmes' operation, to pay much closer attention to the way in which gender mainstreaming is actually implemented, so that it does not remain merely a topic for pious utterances.
Meine Fraktion hat den Bericht von Frau Kratsa-Tsagaropoulou unterstützt.	My group has endorsed Mrs Kratsa-Tsagaropoulou's report.
Wir haben durch Änderungsanträge auch auf eine Erweiterung auf den Fischereisektor hingewirkt, weil da auch sehr viele Frauen beschäftigt sind.	We have tabled amendments in the hope of extending it to cover the fisheries sector, in which a very large number of women work.
Ich bitte, auch im Namen der Berichterstatterin, dieses Anliegen zu unterstützen, und appelliere an die Kommission, diesen Aspekt einzubeziehen.	I speak also on behalf of the rapporteur when I ask the House to support us in seeking this, and I appeal to the Commission to include this dimension.
