Wovon reden wir?	What are we talking about?
Wir reden davon, dass wir etwas über Chemikalien erfahren, was wir heute nicht wissen.	We are talking about learning something about chemicals of which we are at present ignorant.
Wir reden davon, dass wir die Natur schützen wollen, vor allen Dingen aber die Gesundheit der Menschen, die als Verbraucher oder als Arbeitnehmerinnen und Arbeitnehmer mit Chemikalien umgehen.	We are talking about our desire to protect nature, and, above all, the health of those people who use chemicals, whether as consumers or as workers with them.
Dafür ist der Kompromiss gut.	With that end in mind, the compromise is a good one.
Ein Kompromiss bleibt aber natürlich immer ein Kompromiss.	A compromise remains, of course, a compromise and nothing more.
Wenn am Ende niemand wirklich glücklich ist, dann ist das wahrscheinlich der beste Beweis dafür, dass es ein guter Kompromiss ist.	The best proof of its being a good one is probably that nobody ends up being really satisfied.
Guido Sacconi ist sicherlich nicht hundertprozentig glücklich, wir sind es auch nicht allesamt. Und doch bin ich davon überzeugt, dass es das Beste ist, was wir erreichen konnten.	Mr Sacconi is certainly not one hundred percent happy with it, and nor, as a whole, are we, but, even so, I am persuaded that this is the best that we could have achieved.
Es ist jedenfalls besser als viele andere Vorschläge, die ich gesehen habe. Deshalb werde ich am Mittwoch auch zustimmen und werde dies auch überzeugt tun.	It is, at any rate, better than many other proposals that I have had sight of, and so, on Wednesday, I too shall be voting in favour and will be doing so out of conviction.
Aber was haben wir denn auf dem Papier?	What, though, do we have here in black and white?
Viele sagen, es sei ein Monster.	Many describe it as a monster.
Ein Monster ist es natürlich nicht.	Of course, it is not one.
Ein Monster waren die vierzig Gesetzgebungen, die wir davor hatten.	The description of 'monstrous' is far better applied to the forty pieces of legislation that we had before.
Es handelt sich um ein zusammengefasstes Paket, das nicht für jeden leicht zu lesen ist. Aber derjenige, der sich Mühe gibt, kann es lesen.	This is a compact package, and not one that is easily read by all, but those who make the effort can manage it.
Es ist auch gut, dass wir gesagt haben, in fünf Jahren überprüfen wir den Anwendungsbereich. Was wird denn mit Medizingeräten oder anderen einzelnen Produkten geschehen.	It is also a good thing that we have agreed to review its scope in five years' time, but what will happen to medical apparatus or other individual products then?
Müssen sie im Anwendungsbereich enthalten sein oder nehmen wir sie besser raus?	Does this have to cover them, or would we be better advised to exclude them?
Das ist vernünftig. Es ist auch richtig, dass wir Verbesserungen im Datenschutz erzielt haben.	That would make sense; it is also right that we have made improvements where the protection of data is concerned.
Daten müssen - bei allem Anspruch auf Transparenz und Information - geschützt sein. Auch müssen wir sicherstellen, dass Forschungsbelange aktiv unterstützt werden und dass Menschen noch in der Lage sind, an Universitäten und anderen Einrichtungen zu forschen.	Whatever the demands of transparency and people's entitlement to information, data must be protected; we also have to ensure that there is active support for research projects and that research can still be carried out at universities and other facilities.
Das alles ist gut.	All these things are good.
Was ist nicht gut? Nicht gut ist, wie es dem Mittelstand gehen wird.	So what is not good?
Herr Verheugen hat es gesagt, und ich bin ihm dafür dankbar. Diejenigen, die die "Zeche" für unsere ehrgeizige Gesetzgebung zahlen könnten, sind - wenn wir nicht aufpassen - die kleinen und mittleren Unternehmen.	What is not good is what is going to happen to small and medium-sized businesses.
An sie gilt es jetzt zu denken. Ich fordere Sie auf, Herr Dimas und Herr Verheugen, ändern Sie die Definition für kleine und mittlere Unternehmen.	Commissioner Verheugen said so, and I am grateful to him for so doing; if we are not watchful, it is the small and medium-sized enterprises who could end up picking up the tab for our ambitious legislation, and it is time we gave some thought to them.
Das ist längst überfällig und wird einigen von ihnen helfen. Aber ich fordere Sie auch auf, einen Schalter einzurichten, der hilft, der übersetzt und der tatsächlich dafür sorgt, dass den kleinen Unternehmen geholfen wird, denn diejenigen, die es betrifft, wissen nicht, welche Übergangszeit für sie gilt, wann sie was registrieren müssen und wann etwas für sie zutreffend ist.	What I urge Commissioners Dimas and Verheugen to do is to amend the definition for small and medium-sized businesses; that is long overdue and will help some of them, but I also urge them to set up a helpdesk that will help such firms, translate for them, and actually ensure that they get help, for the ones this legislation will affect do not know to which transition period they are subject, when - and for what - they have to register, or when this or that will start to apply to them.
Zum Schluss lassen Sie mich noch sagen: Wenn wir es Ernst meinen - und das sage ich zu Frau Oomen Ruiyten wie zu allen anderen -, dann sorgen wir dafür, dass wir schnell eine gute und schlagkräftige Agentur bekommen, Wenn.	Let me conclude by saying that, if we are serious about this - and to Mrs Oomen-Ruijten as much as to anyone else, I emphasise the 'if' - then we will make sure that a good and effective agency is in place without delay.
Das bedeutet Geld.	That will involve money.
Sie, werte Ratspräsidentschaft, nehmen Sie die Sache in die Hand. Sagen Sie den Kolleginnen und Kollegen, dass wir dafür Geld brauchen.	That is something that the Council Presidency will have to deal with; let it tell the Council's members that that is what we need the money for.
Wir im Parlament müssen das ebenfalls tun.	We in this House must do likewise.
Entschuldigen Sie mich bitte, Herr Ouzký, normalerweise bleibe ich bis zum Ende einer Debatte, wenn ich gesprochen habe. Aber ich gehe jetzt ins Präsidium des Parlaments.	My apologies to Mr Ouzký; normally I stay until the end of any debate in which I have spoken, but I now have a meeting of this House's Bureau to go to.
