Herr Präsident, viel wurde heute schon zur Türkei gesagt.	Mr President, much has already been said about Turkey today.
Dies ist überhaupt nicht verwunderlich, denn dieses Parlament ist ein Spiegelbild der Bevölkerung der Europäischen Union, und unsere Bürgerinnen und Bürger zu Hause beschäftigen sich sehr stark mit diesem Thema.	That is not at all surprising since this Parliament is a reflection of the population of the European Union and this topic is very much on the minds of our citizens at home.
Es verstärken sich die Indizien, dass man der Türkei im Dezember in Kopenhagen einen Termin für die Aufnahme von Beitrittsverhandlungen nennen will.	There are growing signs that in Copenhagen in December it is intended to give Turkey a date for the start of accession negotiations.
War die Äußerung des Ratsvertreters heute nicht sehr eindeutig?	Were the Council representative's words today not very clear?
Aber wir sind doch überhaupt nicht im Zugzwang.	But we are not under any pressure to move.
Die Kopenhagener Kriterien sind nicht erfüllt, und sie sind nicht verhandelbar.	The Copenhagen criteria have not been met and they are not negotiable.
In diesem Zusammenhang mein Dank an Herrn Verheugen, dass er sich heute so eindeutig zu dem Thema Türkei geäußert hat.	In this connection I would like to thank Mr Verheugen for speaking so clearly on the subject of Turkey.
So wichtig die Türkei für uns ist, darf es doch keine politischen Rabatte etwa wegen der Zypernfrage oder wegen der geostrategischen Rolle der Türkei geben!	Important as Turkey is for us, there can be no political discounts for the Cyprus question or for Turkey's geostrategic role.
Dieses Land wollte ja immer schon eigene Beitrittsregeln aufstellen, unter dem Motto 'Wir sind kein Kandidat wie jeder andere.'	Turkey has always wanted to set its own rules for accession under the slogan 'We are not like other candidates'.
Man hat immer von Seiten der Türkei versucht, uns unter Druck zu setzen, aber so geht es nicht!	Turkey has always tried to put pressure on us, but that is not the way forward.
Das wäre schließlich auch ein Affront gegenüber den hier anwesenden Vertretern der Beitrittskandidatenländer.	It would, after all, be an affront to the representatives of the candidate countries present here today.
Und trotzdem wird zum Beispiel auch jemand wie der deutsche Bundeskanzler nicht müde anzukündigen, dass er für eine Terminierung im Sinne der Türkei eintreten wird.	Nevertheless, people like the German Federal Chancellor, for example, never tire of saying they will support Turkey's demand for a date to be set.
Dies ist nicht nur ein Zeichen für schwere europapolitische Inkompetenz.	That is not just a sign of severe incompetence in European policy.
Dieser Kanzler, der sein eigenes Volk belogen und betrogen hat, will seine Wahlkampffehler ausbügeln.	This chancellor, who has lied to and deceived his own people, is trying to make good the mistakes of his election campaign.
Nun soll auf Kosten der gesamten Europäischen Union das deutsch-amerikanische Verhältnis wieder verbessert werden.	Now relations between Germany and America are to be improved again at the expense of the European Union as a whole.
Ist das nicht purer Opportunismus?	Is that not pure opportunism?
Ist das nicht unglaubwürdig?	Is it not beyond belief?
Es ist in nicht erträglichem Maß unehrlich!	It is intolerably dishonest.
Es ist besonders unehrlich gegenüber dem türkischen Volk.	It is particularly dishonest to the Turkish people.
Ist es nicht ehrlicher, der Türkei zu sagen, dass da noch Probleme sind, und dass wir diese Probleme doch in ihrem eigenen Interesse ansprechen müssen, weil man sie sonst nicht lösen kann?	Is it not more honest to say to Turkey that there are still problems there and that we must address those problems in their own interest, because otherwise they cannot be solved?
Ehrlich ist, zu sagen, dass die Annäherung der Türkei an die Europäische Union, wenn überhaupt, nur in kleinen, stetigen Schritten geht.	The honest thing is to say that rapprochement between Turkey and the European Union can only come about in small, steady steps, if at all.
Dieser Weg ist noch immer nicht leicht.	The road is still not an easy one.
Wir hoffen, dass die Türkei, diese große stolze Nation, ihren Weg beharrlich in ihrem ureigenen Interesse weiterverfolgt und dass sie sich irgendwann einmal überlegt, ob sie wirklich so viele Souveränitätsrechte an die Europäische Union im Zuge eines Beitritts abtreten will, oder ob sie nicht auf anderer Ebene mit uns zusammenarbeiten will.	We hope that Turkey, this great and proud nation, will pursue its road steadfastly in its own real interest and that it will at some point consider whether it really wants to cede so many sovereign rights to the European Union in accession or whether it would not rather cooperate with us on another level.
Dieses Angebot machen wir schon jetzt.	We are making this offer even now.
