Frau Präsidentin! Die Hedgefonds-Regelung ist keine Folge der Krise.	Madam President, the hedge fund regulation is not a consequence of the crisis.
Die Hedgefonds-Regelung schließt eine Regelungslücke.	It fills a legislative gap.
Wir setzen mit ihr einen weiteren Schritt zur Europäisierung des Finanzbinnenmarktes.	It will take us a step further towards the Europeanisation of the internal market for financial products.
Worum geht es?	What is it all about?
Wir registrieren und autorisieren alle Fonds.	We will register and authorise all funds.
Wir schaffen eine Mindestkapitalanforderung von 125 000 EUR.	We will establish a minimum capital requirement of EUR 125 000.
Die Europäische Finanzmarktaufsicht ist das Kontrollorgan.	The European Securities and Markets Authority will be the supervisory body.
Unser Grundsatz der Transparenz wird auf die Anlagestrategie, die Investmentpolitik, die Auszahlungsmodalitäten und die Delegationen angewendet.	Our principle of transparency will be applied to the investment strategy, investment policy, payment methods and the delegations.
Der Binnenmarktgedanke wird durch den Pass umgesetzt.	The concept of the single market will be put into practice by means of the passport.
Es gibt keinen EU-Pass für Fonds, die mehr als 30 % außerhalb der EU investieren.	There will be no EU passport for funds having more than 30% of investments outside the EU.
Die Boni-Regelung, die wir für die Bankmanager eingeführt haben, wird auch auf die Hedgefondsmanager übertragen, um hier für Nachhaltigkeit zu sorgen und das Risiko zu minimieren.	The bonus regulation that we have introduced for bank managers will also be extended to hedge fund managers in order to ensure sustainability here and to minimise the risk.
Ein gutes Ergebnis!	This is a good result.
