Frau Präsidentin! Wir sind in der zweiten Lesung!	Madam President, we are at second reading!
Das Parlament hat in erster Lesung mit überwältigender Mehrheit fast einstimmig die Reparaturklausel gebilligt.	At first reading, Parliament was almost unanimous in approving the repair clause.
Die Kommission hat diese Position des Parlaments unterstützt, und der Rat hat sich um eine Entscheidung gedrückt.	The Commission supported Parliament in this and the Council avoided making any decision.
In der entscheidenden Frage, nämlich was machen wir mit den Ersatzteilen - das war ja der Sinn der Richtlinie -,hat der Rat sich gedrückt.	On the crucial point, namely what we do about the spare parts sector - which was after all the point of the directive - the Council avoided the issue.
Jetzt geht die Sache in die zweite Lesung des Parlaments, und wir sagen, das haben wir alles nicht so ernst gemeint.	Now the matter is going through second reading in Parliament and we say that we did not mean to take things quite so seriously.
So kann man natürlich das Parlament schwächen.	This sort of thing only undermines Parliament.
Künftig wird keine Kommission und kein Rat mehr die Position des Parlaments in erster Lesung - auch wenn sie fast einstimmig getroffen wurde - noch besonders ernst nehmen.	In future the Commission and the Council will not take Parliament's first reading seriously - even if there is unanimity in the House.
Es gibt zwei höchstrichterliche Entscheidungen, nämlich des House of Lords und des Italienischen Verfassungsgerichts, die besagen: Der Geschmacksmusterschutz schützt nur das Modell, aber nicht die Komponenten, die es konstituieren.	There have been two high court decisions, namely in the House of Lords and the Italian Constitutional Court, which state that the legal protection of designs only protects the design and not the components which constitute it.
Immerhin zwei höchstrichterliche Entscheidungen!	All the same, these are just high court decisions!
Nun wird gesagt, Arbeitsplätze sind in Gefahr.	We are now being told that jobs are under threat.
Die Reparaturklausel entzieht der Automobilindustrie nicht ihren Marktanteil an Ersatzteilen, sondern setzt ihn nur dem Wettbewerb aus.	The repair clause does not deprive the car industry of its market share of the spare parts trade but merely opens it up to competition.
Die Automobilhersteller haben bei den Ersatzteilen derzeit einen Marktanteil von 88 %!	Car manufacturers currently control 88 % of the spares market!
Sie verfügen über ein effektives Händler- und Vertriebsnetz, und zudem wird es immer viele Kunden geben, die auf Originalersatzteile Wert legen.	They operate an effective dealer and sales network and there will always be plenty of customers who prefer to use factory-produced components.
Ein Rückgang dieses Marktanteils ist deshalb ganz unrealistisch.	To talk of a decline in this market share is therefore totally unrealistic.
Es geht darum, ob der freie Markt auch in Zukunft bei den Ersatzteilen einen Marktanteil von 12 % wird behaupten können oder nicht.	The question is whether or not the free market will in future be able to maintain a 12 % share of the spares business.
Die Hersteller wollen ein Monopol auf diesem Markt, das ist alles, und das ist nicht wünschenswert.	Manufacturers quite simply want to have a monopoly of this market, and that is not desirable.
