Herr Präsident, meine Damen und Herren! Ich möchte die Fragen gerne beantworten.	Mr President, ladies and gentlemen, I would be happy to answer the questions.
Ich habe mir 83 Fragen notiert.	I have noted down 83 questions.
Habe ich 83 Minuten Zeit?	Do I have 83 minutes' speaking time?
Nein.	No.
Deshalb muß ich versuchen, die wesentlichen Komplexe zusammenzufassen, eine zusammenfassende Antwort zu geben.	So I will have to try to summarise the main subject areas and give combined answers.
Zunächst: Alle Fragen, die sich auf angebliche Ergebnisse beziehen, sind gegenstandslos.	First, all the questions relating to supposed results are pointless.
Es gibt bisher keine, außer den beiden, die ich genannt habe.	So far there are none except for the two I mentioned.
Es gibt eine Einigung in der Frage der Effizienzreserve und eine Einigung in der Frage der Kohärenz von nationalen Fördergebieten und EU-Fördergebieten.	There is agreement on the efficiency reserve and there is agreement on the question of the consistency of national aid regions and EU aid regions.
Auch diese beiden Einigungen sind abhängig von der Gesamteinigung.	But these two agreements are also conditional on an overall agreement being reached.
Ich sage Ihnen voraus: Es wird vor der Tagung des Europäischen Rats in Berlin in all den Fragen, die Sie hier aufgeworfen haben, keine Vorabergebnisse geben, und zwar deshalb nicht, weil das Gesamtpaket zusammengesetzt werden muß aus vielen, vielen Elementen. Elemente, die den einzelnen Mitgliedstaaten Vorteile und Nachteile bringen.	Let me tell you at the outset: before the European Council meeting in Berlin there will be no advance agreements on any of the questions you have raised here, simply because the global package has to be made up of many, many components, components that will bring the individual Member States advantages and disadvantages.
Die Zustimmung der Mitglieder wird immer von der Gesamtbalance abhängen, die das Paket für den einzelnen Mitgliedstaat bringt.	The Member States' assent is bound to depend on the overall balance the package produces for each Member State.
Wir reden hier über sehr viel Geld für die einzelnen Staaten.	We are talking about a lot of money for the individual states.
Da spielt leider auch überhaupt keine Rolle, wie die Mehrheitsverhältnisse nach politischer Orientierung im Rat sind.	Unfortunately, the political majorities in the Council play no part at all here.
Jedes Land verfolgt bei dieser Beratung ganz natürlich die Bedürfnisse und Interessen der Menschen des eigenen Landes und versucht, sie in Übereinstimmung zu bringen mit unseren gemeinsamen europäische Zielen.	During the deliberations each country naturally looks to the needs and interests of its own people and tries to reconcile them with our common European objectives.
Ich rechne nicht damit, daß wir schon vor Berlin in wichtigen Einzelfragen zu Vorabergebnissen kommen können, weil das Gesamtpaket eines sein muß, das ausbalanciert ist.	I am not counting on us being able to obtain advance results on important individual issues before Berlin because the global package has to balance out the different interests.
Die meisten Fragen bezogen sich ja eben darauf, daß es angeblich schon Einigung oder Pläne gibt.	Most of the questions in fact suggested that agreement or plans already exist on these issues.
Die deutsche Präsidentschaft hat auch überhaupt noch keinen Kompromißvorschlag gemacht.	Nor has the German Presidency made any compromise proposal at all at this stage.
Es ist ja unsere Aufgabe als Präsidentschaft, nicht das mit aller Kraft durchsetzen zu wollen, was unseren deutschen Vorstellungen entspricht, sondern unsere Aufgabe als Präsidentschaft ist es, zunächst einmal auszuloten, wo wir einen Kompromiß in den Umrissen erkennen können, und dann, wenn die Zeit dafür gekommen ist, einen solchen Kompromiß vorzuschlagen.	After all, our duty as the presidency is not to put all our efforts into pushing through the German point of view; our duty as the presidency is first of all to sound out where the broad lines of a compromise are emerging and then, when the time is ripe, to propose that compromise.
Wir werden das auch tun.	And that is what we will do.
Aber wir arbeiten jetzt noch daran, die Optionen einzuengen.	But at present we are still trying to narrow the options.
Ich habe Ihnen ein paar Beispiele genannt, wo wir bereits erkennen können, wie sich Mehrheiten und schließlich vielleicht auch Konsens zu bilden beginnt.	I gave you a few examples of areas where we can already see majorities and perhaps also consensus beginning to emerge.
Es ist aber noch in keiner einzigen wesentlichen Frage abgeschlossen.	But this process is not complete yet on any single important issue.
Ein Mitglied des Hauses hat auf die öffentliche Meinung in den Mitgliedstaaten hingewiesen.	One Member of this Parliament referred to public opinion in the Member States.
Das ist etwas, was ich sehr ernst nehme und auch die deutsche Präsidentschaft sehr ernst nimmt.	That is something I take very seriously and which the German Presidency also takes very seriously.
Ich muß Sie nur darauf hinweisen, daß es in diesen Fragen keine einheitliche öffentliche Meinung in Europa gibt.	Let me just point out to you that public opinion in Europe is not united on these questions.
Ich kenne sehr wohl die öffentliche Meinung in Spanien.	I am well aware of public opinion in Spain.
Aber die öffentliche Meinung in Deutschland zum Beispiel ist zu dem, was in Spanien gesagt wird, eine völlig gegensätzliche.	But public opinion in Germany, for example, is quite the opposite of what it is in Spain.
Dasselbe gilt auch für andere Bereiche.	The same applies elsewhere.
Darum hat es keinen Sinn, einer Präsidentschaft mit der öffentlichen Meinung in irgendeinem Land kommen zu wollen.	So there is no point in telling the presidency about public opinion in a particular country.
Wir müssen uns darauf konzentrieren, etwas zu finden, was für alle akzeptabel ist und was unseren europäischen Zielsetzungen entspricht.	We have to concentrate on finding a solution that is acceptable to all and consistent with our European objectives.
Hier möchte ich klar und eindeutig bestätigen, daß eine der Zielsetzungen der Agenda 2000 - und so behandeln wir sie auch - ist, die europäischen Möglichkeiten stärker auf das Ziel der Bekämpfung von Arbeitslosigkeit zu konzentrieren.	Let me confirm quite specifically that one of the objectives of Agenda 2000 - and we treat it as such - is to concentrate available European resources more emphatically on the objective of combating unemployment.
Das ist ein ganz wesentliches Ziel der gesamten Operation.	That is one of the key objectives of the whole operation.
Arbeitslosigkeit wird von den Menschen in Europa als die große Herausforderung empfunden, und sie erwarten von uns, daß wir unsere Möglichkeiten einsetzen, um wirkungsvoll gegen Arbeitslosigkeit zu kämpfen.	The people of Europe see unemployment as the main challenge and expect us to do everything possible to combat it effectively.
Die Agenda kann dazu eine Menge beitragen.	Agenda 2000 can make a major contribution towards that.
Ebenfalls bestätige ich ausdrücklich, daß die Agenda einen unmittelbaren Zusammenhang hat mit der Frage der Erweiterung.	I also confirm specifically that the Agenda is directly linked to the question of enlargement.
Ich glaube nicht, daß die Frage des Datums im Augenblick wirklich wichtig ist.	I do not believe that the question of dates is really important at this moment.
Es hat übrigens niemals ein festgelegtes Datum für den Erweiterungsprozeß gegeben.	In any case there has never been a fixed date for the enlargement process.
