Herr Präsident, geschätzte Kollegen und Kolleginnen, sehr geehrter Herr Kommissar!	Mr President, Commissioner, firstly I too would like to wish you a speedy recovery from your cold.
Zuerst einmal wünsche auch ich Ihnen baldige Besserung, auf daß Sie Ihren Schnupfen bald loswerden. Sie haben heute gesagt - zunächst auch danke für Ihre Ausführungen -, daß Atomkraftwerke politisch und wirtschaftlich betrachtet werden müssen und daß man nicht verlangen kann, daß von heute auf morgen abgeschaltet wird.	I would also like to thank you for your earlier comments that nuclear power stations must be treated politically and economically, that we cannot expect them to be taken out of operation overnight and that we need an exit plan and time to implement it.
Man braucht doch ein Ausstiegskonzept und Zeit dafür.	I think that Bohunice had sufficient time.
Ich denke, Bohunice hatte genug Zeit dafür. Ich darf an das Hermes-Abkommen erinnern, in dem es hieß, daß Bohunice spätestens im Jahr 2000 vom Netz gehen werde.	I must remind you of the Hermes Agreement under which Bohunice was to be removed from the network by the year 2000 at the latest.
Daher war ich sehr erstaunt über Ihre lobende Anerkennung der neuen Schließungsdaten von Bohunice im Jahr 2006 und 2008.	In the light of this, I was extremely surprised by your laudatory acceptance of the new shutdown dates for Bohunice in 2006 and 2008.
Ich komme zu meiner Frage, Herr Kommissar.	I shall now come to my question, Commissioner.
Seit Sommer existiert eine Studie des Wiener Instituts für Risikoforschung.	A study by the Vienna Institute for Risk Research has been available since the summer.
Sie ist mittlerweile in einer Schublade der Frau Konsumentenschutzministerin Prammer ein wenig verstaubt, doch dank der guten Zusammenarbeit mit den Umwelt-NGO haben wir Kenntnis von dieser Studie und konnten uns seit vergangenem Donnerstag genauestens mit dem Material auseinandersetzen.	Although it has become somewhat dusty sitting in the drawer of the Minister for Consumer Protection, Mrs Prammer, thanks to good cooperation with the environmental non-governmental organisations we became aware of this study and since last Thursday have had the opportunity to examine its contents in detail.
Über die Sicherheitsmängel in Bohunice müssen wir nicht diskutieren, ich darf vielleicht nur drei der wichtigsten Punkte hervorheben: Es gibt nach wie vor keinen Ersatz für den fehlenden Stahlbeton, keinen Druckabbau oder andere Sicherheitssysteme. Seismologisch ist die Nachrüstung nicht ausreichend. Der Reaktordruckbehälter ist dermaßen spröde, daß ein Bersten nicht ausgeschlossen werden kann.	We need not discuss the safety defects in Bohunice, although perhaps I may raise just three of the most important points: as before, there is no replacement for the missing reinforced concrete and no pressure suppression system or other safety systems; the upgrading is inadequate seismologically; and the reactor pressure container is so brittle that the possibility of bursting cannot be excluded.
Jetzt komme ich zur Pikanterie: Die UJD, die slowakische Atomaufsichtsbehörde, erteilt seit dem Jahr 1995 nicht mehr die übliche mehrjährige Betriebsbewilligung, sondern nur noch eine provisorische einjährige Verlängerung, um die Betreiber zu notwendigen Nachrüstungen zu zwingen.	Now for something funny: in 1995 the UJD, the Slovak Nuclear Supervisory Authority, stopped issuing the standard multiannual operating licence and has been issuing provisional one-year extensions in order to compel the operators to carry out the necessary upgrading.
Angeblich vergeblich!	In vain it would seem!
Und nun die Schlußpointe: Das derzeit laufende Sicherheitszertifikat für Bohunice läuft im Jahr 2000 aus.	The currently valid safety certificate for Bohunice expires in the year 2000.
Wir in Österreich sagen, Bohunice hat ab 2000 kein Pickerl mehr!	In Austria, we say that from the year 2000, Bohunice will be spotless!
Diese Studie wurde Anfang September der slowakischen Regierung übermittelt, Ihnen jedoch nicht, Herr Kommissar.	This study was submitted to the Slovak government at the beginning of September, but not to you, Commissioner.
Diese Unterlassung ist nicht nur ein österreichisches politisches Problem, es ist auch ein Problem innerhalb der EU.	This sort of neglect is not unique to Austrian politics; it also exists within the EU.
Gleichzeitig heißt es aber aus dem Büro der Frau Ministerin Prammer, sie hätte Sie über noch offene Sicherheitsfragen betreffend Bohunice V1 informiert.	At the same time, however, Mrs Prammer' s office assures me that she did inform you of the unresolved safety issues relating to Bohunice V1.
Nun frage ich Sie, Herr Kommissar: Haben Sie von dieser Studie gewußt?	So I ask you, Commissioner: were you aware of this study?
Wenn ja, so ist das Verhalten der Kommission skandalös!	If you were, the behaviour of the Commission is scandalous!
Wenn nicht, ersuche ich Sie dringend, diese ganzen Fakten noch einmal zu überdenken.	If you were not, I would urge you to reconsider the facts.
Falls Sie die Unterlagen immer noch nicht haben sollten, ich habe sie aus Wien mitgebracht.	If you still do not have the documents, I have brought them with me from Vienna.
Sie selber - ich darf Sie zitieren - haben gesagt: Das letzte Wort ist noch nicht gesprochen.	You yourself have said, if I may quote you, that the final words have not yet been spoken.
Vielleicht könnte die Kommission auch mit der slowakischen Atomaufsichtsbehörde ein Wort wechseln.	Perhaps the Commission could also exchange words with the Slovak Nuclear Supervisory Authority.
Wir fordern frühere und bindende Schließungsdaten für Bohunice und auch klare Ausstiegskonzepthilfen.	We demand earlier and binding shutdown dates for Bohunice as well as clear assistance with the exit plan.
