. – Herr Präsident!	.
Herr Kommissar, verehrte Kollegen! Die Gesundheitspolitik liegt im Wesentlichen in der Zuständigkeit der Mitgliedstaaten.	Mr President, Commissioner, ladies and gentlemen, health policy falls essentially within the competence of the Member States.
Das hat einen guten Grund.	There is a good reason for that.
Die Gesundheitssysteme sind beitrags- und steuerfinanziert und die jeweiligen Systeme auf die spezifischen Bedürfnisse ausgerichtet.	Health systems are paid for out of contributions and taxes, and the various systems are geared to specific needs.
Darüber hinaus ist für den Bereich der Gesundheitsdienste und der medizinischen Versorgung das Subsidiaritätsprinzip geltend.	Moreover, the principle of subsidiarity applies for the field of health services and medical care.
Die Mitgliedstaaten sind nach Artikel 152 des EU-Vertrags verpflichtet, ein hohes Maß an Gesundheitsschutz zu gewährleisten.	Article 152 of the EU Treaty requires Member States to ensure a high level of health protection.
Die EU kann darüber hinaus Maßnahmen ergreifen, die die Politiken der Mitgliedstaaten unterstützen.	The EU can also take measures in support of Member States’ policies.
Zuweilen bekomme ich den Eindruck, dass die Kommission und auch einige der Kollegen am liebsten den nationalen Gesundheitspolitiken Konkurrenz machen würden.	I sometimes get the impression that the Commission and some of our fellow Members, too, would prefer to compete with national policies on health.
Wir haben bei der Gesundheitspolitik das Problem, das auch in anderen Bereichen immer wiederkehrt: Europa krankt daran, dass es das Wichtige, worauf es sich besinnen sollte, nicht machen kann.	We have the same problem with health policy as also constantly recurs in other fields: Europe is suffering from being unable to do the important things it ought to be concerned with.
Im Ergebnis umklammert die EU viele Politikbereiche, die im Zweifel besser von den Mitgliedstaaten geregelt werden sollten, und regiert fleißig in deren Angelegenheiten hinein.	The upshot is that the EU embraces many areas of policy which, if in doubt, would be better dealt with by the Member States and interferes assiduously in their affairs.
Das heißt natürlich nicht, dass Europa die Finger von der Gesundheitspolitik lassen soll.	That does not of course mean that Europe should keep its hands off health policy.
Die EU muss sich vielmehr auf Dinge konzentrieren, die einen echten europäischen Mehrwert haben, und hier kann ich direkt an das anknüpfen, was meine Vorrednerin gesagt hat: Europa sollte vor allem in grenzüberschreitenden Fragen, die ein Mitgliedstaat nicht allein bewältigen kann, tätig werden.	Rather, the EU must concentrate on things that have real European added value, and here I can pick up directly what the previous speaker was saying: Europe should take action primarily on cross-border questions that one Member State is unable to deal with alone.
Ein verbesserter Austausch von Informationen und die engere Zusammenarbeit bei der Koordination im Bereich der Bekämpfung von Seuchen und ansteckenden Krankheiten muss höchste Priorität haben.	Top priority must be given to improving the exchange of information and to closer cooperation in coordinating the fight against epidemics and infectious diseases.
Die gesundheitlichen Risiken, die von der Vogelgrippe ausgehen, zeigen, wie dringend nötig eine grenzüberschreitende Koordination der Maßnahmen ist.	The health risks resulting from bird flu show the urgency of cross-border coordination of measures.
Das gilt auch für HIV und Aids, ein großes Problem vor allem in den neuen Mitgliedstaaten, das bei steigenden Ansteckungsraten zunehmend in Vergessenheit gerät und vernachlässigt wird.	The same goes for HIV and Aids, a major problem in the new Member States in particular, and one which is increasingly being forgotten and neglected even though infection rates are rising.
Die EU sollte bei der Bekämpfung von Krankheiten stärkere Prioritäten setzen.	The EU should set stronger priorities for fighting disease.
Meine Fraktion hat dazu Änderungsanträge eingereicht, für deren Zustimmung ich nochmals werben möchte.	My group has tabled amendments on this, for which I would again like to canvas your support.
Der Schwerpunkt sollte auf die wichtigsten Volkskrankheiten wie Diabetes, Krebs und Herz-Kreislauf-Krankheiten gesetzt werden, auf die sich die Maßnahmen und knappen Mittel der EU konzentrieren müssen.	The focus should be on the most important widespread diseases, such as diabetes, cancer and cardiovascular diseases; that is where the EU’s measures and scarce resources must be concentrated.
Wir sollten es uns nicht zur Aufgabe machen, eine Shoppingliste zu erstellen.	We should not take it upon ourselves to make a shopping list.
Wir haben im Ausschuss viel darüber diskutiert, welchen Krankheiten und welcher Krankheitsbekämpfung das Aktionsprogramm Priorität einräumen soll.	In Committee, we discussed at length what diseases and what preventive measures should have priority in the action programme.
Lassen Sie uns hier in unserer Forderung konsistent bleiben.	Let us be consistent in our demands here.
Die Entschließung des Parlaments vom Dezember 2005 zum Arbeitsprogramm fordert explizit Maßnahmen zur Bekämpfung von Diabetes, Krebs und Herz-Kreislauf-Krankheiten.	Parliament’s December 2005 resolution on the work programme calls explicitly for measures to combat diabetes, cancer and cardiovascular diseases.
Der Vorschlag für das Aktionsprogramm der Kommission war zu allgemein, zu breit angelegt.	The terms of the proposal for the Commission action programme were too general, too broad.
Es ist an der Zeit, dass wir politische Prioritäten setzen und uns auf die am weitesten verbreiteten Krankheiten konzentrieren.	It is time for us to set political priorities and concentrate on the most widespread diseases.
Ich möchte kurz noch auf den Haushalt und die Finanzierung der NGOs eingehen.	I would also like to say a few words about the budget and the funding of NGOs.
