Herr Präsident! Der Kontrast ist ja augenfällig!	Mr President, the contrast is striking!
Die Revolution, der Wandel in der arabischen Welt fasziniert uns alle.	The revolution, the change taking place in the Arab world is fascinating for all of us.
Wir versuchen zu helfen.	We are trying to help.
Wir haben heute über Libyen debattiert, wir haben in den letzten Tagen und Wochen über Ägypten und Tunesien debattiert.	We have discussed Libya today. In recent days and weeks, we have discussed Egypt and Tunisia.
Und gleichzeitig haben wir einen Stillstand im Friedensprozess?	Yet, at the same time, we have a standstill in the peace process.
Vor diesem Hintergrund muss man hier sehr deutlich sagen, liebe Baronin Ashton, es war eine Leistung von Ihnen, dass sie das Quartett zu einem Treffen bewegen konnten.	Against this backdrop, we must say quite clearly here, Baroness Ashton, that you did us a service when you managed to convene a meeting of the Quartet.
Bewegung zu erzeugen jetzt in dieser Phase tiefer Verunsicherung in der Region, auch tiefer Verunsicherung in Israel, war eine sehr positive Leistung.	To produce movement now, at this period of profound insecurity in the region, and profound insecurity in Israel, was an extremely positive service.
Ich erkenne das ausdrücklich an!	I should like to make this very clear.
Sie müssen sich aus diesem Haus ja auch gelegentlich Kritik anhören.	You occasionally have to endure criticism from this House, too.
Deswegen ist ein Lob vielleicht auch einmal angebracht.	For this reason, some praise is perhaps also in order.
Was den Inhalt angeht - ich will es hier deutlich sagen: Ich glaube nicht, dass Israel der Demokratie in den arabischen Ländern gegenüber skeptisch eingestellt ist.	As far as the contents are concerned, I should like to make it clear that I do not believe that Israel is sceptically disposed towards democracy in Arab countries.
Nur, dieser Wandel ist noch nicht zu Ende.	It is merely that these changes have not yet come to an end.
Und wenn dann Demokratien da sind - da stimme ich Herrn Pöttering und auch Ihnen, Herr Swoboda, völlig zu -, dann ist das ganz klar eine große Chance, endlich auch den Nahost-Friedensprozess in Gang zu bringen.	When and if there are democracies there, I agree completely with Mr Pöttering and with you too, Mr Swoboda, then there will clearly be a great opportunity finally to get the Middle East peace process going too.
Der Siedlungsbau muss aufhören, das ist ebenfalls klar, das ist hier fraktionsübergreifend Konsens, ebenfalls die Rabulistik, mit der er verteidigt wird.	Settlement building must stop, that is clear in any case, as must the sophistry with which it is defended. There is a consensus among all groups in this House on that point.
Im Zusammenhang mit den Revolten in der arabischen Welt haben wir auch Proteste gegen das Regime der Hamas im Gazastreifen erlebt.	Connected to the uprising in the Arab world, we also have experienced protests against the Hamas regime in the Gaza Strip.
Die Situation in den palästinensischen Gebieten ist keineswegs einfach.	The situation in the Palestinian Territories is in no way simple.
Auch hier muss eine Demokratisierung erfolgen!	Democratisation must succeed here too.
In der Westbank haben wir im Moment glücklicherweise einen moderaten und konservativen Partner, aber im Gazastreifen haben wir das absolut nicht.	For the time being, we fortunately have a moderate and conservative partner in the West Bank, but that is absolutely not the case in the Gaza Strip.
