Herr Präsident!	.
Zur Frage des Abgeordneten Mulder: Natürlich wird es auch im Jahr 2003 wieder eine starke Beanspruchung des Haushalts für Außenpolitik geben, weil auch die Anforderungen an die europäische Politik steigen.	Mr President, I will reply to Mr Mulder's question by saying that 2003 will of course also see a great deal of the foreign policy budget being taken up, because European policy is being faced with ever greater demands.
Wir werden die für Afghanistan notwendigen Mittel, wie sie bei der Geberkonferenz in Tokio zugesagt wurden, aus dem Budget für Außenpolitik finanzieren können.	We will be able to raise the funds needed for Afghanistan, as promised at the Tokyo donor conference, from the foreign policy budget.
Wir werden aber eventuell auch beispielsweise neue Anforderungen für Zypern haben.	New things may also, for example, be required of us in respect of Cyprus.
Wenn es gelingt, wirklich zu einem politischen Prozess zu kommen, der dazu führt, dass Zypern im Jahr 2004 der Union beitritt, heißt das auch, dass wir im Jahr 2003 Vorbereitungsmittel zur Verfügung stellen müssen.	If the successful outcome is actually achieved, with a political process leading to Cyprus's accession to the EU in 2004, this will mean that we will have to make preparatory funds available in 2003.
Das wird also - hoffentlich, sage ich dazu - eine neue Anforderung sein.	That, then, will be a new requirement - and let me add that I hope this will be so.
Im Rahmen der gemeinsamen Außen- und Sicherheitspolitik hat der Rat beschlossen, ab dem 1.1.2003 eine Polizeitruppe in Bosnien einzusetzen, und auch hier kommen Anforderungen auf den europäischen Haushalt zu.	The Council has decided, within the framework of the common foreign and security policy, to send a police task force into Bosnia from 1 January 2003 onwards, and this too will make demands on the European budget.
Ich glaube, wir sollten gemeinsam daran arbeiten, wir sollten sagen: Ja, wir wollen auch eine gemeinsame Finanzierung von Teilen dieses Einsatzes haben, denn es ist eine gemeinsame Aktion, und das sollten wir auch deutlich machen!	I believe that we should work together on this, affirming that we also want part of this mission, being a joint action, to be jointly financed, and that is something we have to make clear.
Herr Mulder, wir hatten gestern die Gelegenheit, darüber zu reden.	Mr Mulder, we had the opportunity to talk about this yesterday.
Die Kommission hat ja für Kriseneinsätze ein neues Finanzierungsinstrument vorgeschlagen, und ich freue mich darüber, dass es aus dem Europäischen Parlament viele unterstützende Aussagen hierzu gab.	The Commission has proposed a new financial instrument for crisis operations, and I am gladdened by the many expressions of support there have been for this in Parliament.
Vielleicht können wir gemeinsam auch den Rat davon überzeugen, dass eine Gemeinschaftsfinanzierung solcher Kriseninstrumente die richtige Antwort wäre.	Together, perhaps, we can convince the Council that the right response would be to fund such emergency measures on a Community-wide basis.
