. – Herr Präsident, meine Damen und Herren!	.
Der Bericht von Herrn Eurlings ist in jeder Hinsicht differenzierter als die Rede von Herrn Poettering. Das ist der positive Teil, mit dem ich beginnen kann.	Mr President, ladies and gentlemen, I am able to start my speech by saying something positive: Mr Eurlings’ report is in every respect more nuanced than Mr Poettering’s speech.
Der Berichterstatter hat sich im Ausschuss für auswärtige Angelegenheiten, das sage ich im Namen meiner Kolleginnen und Kollegen, die mit Ihnen zusammengearbeitet haben, sehr viel Mühe gegeben, zu einem breiten Konsens zu kommen. Das ist Ihnen gelungen.	Let me say on behalf of those of my colleagues who have worked with him in the Committee on Foreign Affairs that the rapporteur has taken a great deal of trouble to achieve a broad consensus, and in that he has succeeded.
Ich denke, das Abstimmungsergebnis im Ausschuss für auswärtige Angelegenheiten hat gezeigt, dass die Linie, die Sie in diesem Bericht vorgegeben haben und die um Elemente aus unserer Fraktion erweitert worden ist, zu einem breiten Konsens geführt hat, der auch die Basis für einen breiten Konsens hier im Plenum sein kann. Und dabei sind drei Elemente von Bedeutung, bei denen sich unsere Fraktion in der Tat energisch gegen das abgrenzt, was Herr Poettering hier gesagt hat.	I see the outcome of the vote in the Committee on Foreign Affairs as having showed that the line he took in this report – with the addition of elements contributed by our group – has resulted in a broad consensus which can also serve as the basis for a similarly broad consensus here in the plenary, and in that there are three significant points on which our group vigorously dissociates itself from what Mr Poettering has said today.
Erstens: Warum kann die These von Herrn Poettering so einfach in den Raum gestellt werden, die EU bekäme einen anderen Charakter, wenn die Türkei ihr beiträte?	Firstly, why is it so simple for Mr Poettering to float his theory that the EU would undergo a change in its nature if Turkey were to join it?
Wenn die Türkei dieser EU beitritt, dann muss sie sich dem gesamten Rechtsbestand der EU unterwerfen.	If Turkey were to join the EU as it is, it would have to make itself subject to the EU’s as a whole.
Wenn die Türkei der EU beitritt, dann muss sie, weil wir alle die Verfassung wollen, sobald sie ratifiziert ist, diese Verfassung zur Grundlage ihrer Innenpolitik machen.	If Turkey joins the EU, then, because we all want the Constitution, it would have to make it the basis of its internal policies as soon as it has been ratified.
Dann wird die europäische Grundrechtecharta rechtsverbindliches Verfassungsrecht in einem Mitgliedsland Türkei.	The European Charter of Fundamental Rights will then become constitutional law and binding in a Member State, namely Turkey.
Dann wird bewiesen, dass die Werte, die in dieser Charta definiert sind, und die die Wertegrundlage unserer Union sind, von einem Land akzeptiert werden, das zu 99 % oder 98 % von Muslimen bewohnt ist.	It will then be demonstrated that the values defined in that Charter, which are the fundamental values of our Union, can be accepted by a country of whose population 99% or 98% are Muslims.
Die These des islamistischen Fundamentalismus, dass sich die westliche, also unsere Werteordnung und der Islam gegenseitig ausschließen, diese These wäre nachdrücklich widerlegt, wenn es gelingt, dieses Land in die Europäische Union zu integrieren, weil dann der Beweis angetreten ist, dass die Grundwerte, für die wir einstehen, Grundwerte für alle Menschen sind, ob sie Juden, Moslems oder Christen sind oder keinen Glauben haben.	If we succeed in integrating Turkey into the European Union, then it will effectively demolish the Islamic fundamentalists’ theory that Western – that is, our – values and Islam are mutually exclusive, for it would then provide the proof that the fundamental values for which we contend are fundamental values for all people, whether they be Jews, Muslims, Christians or unbelievers.
Allein dieser Fortschritt, Herr Poettering, zwingt uns dazu, diese Verhandlungen aufzunehmen.	It is this advance, Mr Poettering, pure and simple, that compels us to commence these negotiations.
