Verfasser. - Herr Präsident! Wenn man jemanden liebt, dann hat man besondere Ansprüche an ihn.	Mr President, when you love someone, you have certain expectations of them.
So ist es auch in der Beziehung zwischen Staaten.	It is the same when it comes to relationships between states.
Staaten, mit denen wir besonders eng verbunden sind, fallen nicht unter dieselbe Kategorie wie irgendwelche fürchterliche Diktaturen auf anderen Kontinenten.	States with whom we have a particularly close relationship do not fall into the same category as some terrible dictatorships on other continents.
Malaysia ist ein wertvoller und enger Partner der Europäischen Union.	Malaysia is a valued close partner of the European Union.
Seine Verfassung ist in manchem Vorbild für eine europäische Verfassung.	Its constitution is, in some respects, an example for a European constitution.
Deshalb nehmen wir besonders ernst, was in Malaysia passiert.	That is why we view what is going on in Malaysia so seriously.
Lieber Herr Kollege Tannock, die Prügelstrafe in Malaysia wurde nicht durch die Scharia eingeführt, sondern von der seinerzeitigen britischen Kolonialmacht.	Mr Tannock, caning in Malaysia was not introduced by Sharia law, but is a carryover from British colonial times.
So wie es die britische Kolonialmacht nicht mehr gibt und Großbritannien sich gewandelt hat, so muss sich natürlich auch Malaysia wandeln und versuchen, diese antiquierte und barbarische Strafe, die gegen das Völkerrecht und gegen die Menschenrechte verstößt, abzuschaffen.	Just as British colonial power no longer exists and Great Britain has changed in the meantime, Malaysia must also change and try to abolish this antiquated and barbaric punishment, which violates international law and human rights.
Ich muss es ganz klar sagen: Malaysia ist seit Jahrzehnten ein Land der Toleranz zwischen den verschiedenen Volksgruppen und Religionsgemeinschaften.	I want to be very clear on this. For decades, Malaysia has been a country characterised by tolerance between the various ethnic groups and religious communities.
Auf diesem Weg sollte es bleiben, auf diesem Weg wird es bleiben als ein besonders enger Partner der Europäischen Union, dem es gelingen sollte, diese barbarische Form der Strafe zu überwinden.	The country should stick to this path and it will do so as a particularly close partner of the European Union, which we hope will succeed in banning this barbaric form of punishment.
(Der Redner ist damit einverstanden, eine Frage nach dem Verfahren der "blauen Karte" zu beantworten (Artikel 149 Absatz 8 GO).)	(The speaker agreed to take a blue card question under Rule 149(8))
