Herr Präsident! Ein Mensch, der nicht neugierig ist, begibt sich auf den Weg des Alterns.	Mr President, a lack of curiosity is an indication that a person is growing old.
Eine Gesellschaft, die nicht organisiert forscht, begibt sich auf den Weg des Rückschritts.	And a society which does not engage in organized research is on the way to decline.
Allerdings kommt es natürlich auch darauf an, worauf man neugierig ist, woran man forscht, und ich brauche Ihre Phantasie nicht sehr zu bemühen, damit Sie sich Menschen vorstellen können, die neugierig sind auf ganz zerstörerische Sachen, auch selbstzerstörerische Sachen, und das ist leider eine Analogie für unsere europäischen Gesellschaften.	But obviously, one also has to ask what people are curious about, and what is being researched. It requires no great leap of the imagination to envisage people who are curious about extremely destructive - even self-destructive - things, and unfortunately that is an analogy which applies to our European societies.
Wenn wir uns ansehen, was wirklich in dem Paket drin ist, dann habe ich einmal ausgerechnet, Luft- und Raumfahrt, Fingerabdrucktechnologien, Fertigungsorganisation unter Berücksichtigung des Wasserverbrauchs, das sind allein schon 60 Millionen ECU.	If we look at what the package actually contains, there is aeronautics, fingerprint technologies and industrial engineering with a view to economizing on water use: that accounts for ECU 60 million already, by my calculations.
Die gesamte BSE-Forschung sind 34, 5 Millionen ECU, und da ist, wenn man sich das genauer ansieht, vor allem an Tierversuche gedacht, die den Erwartungen zufolge in etwa 10 Jahren Resultate produzieren sollen.	BSE research as a whole accounts for ECU 34.5 m, and a closer look reveals that this is intended mainly for animal experiments which are expected to yield results in about ten years' time.
Dabei ist das nicht das Problem, sondern das Problem ist eine Änderung unserer Agrarpolitik, die Abschaffung der Verfütterung von Tiermehl an Tiere.	That is not where the BSE problem lies: the problem is that we need to change our agricultural policy and stop feeding animals on animalbased meal.
Auch wenn man sich ansieht, woran im Hinblick auf die Informationsgesellschaft geforscht wird, so hat man manchmal den Eindruck, als ob das die Vorbereitung der Flucht in die virtuelle Realität sei, statt an der Schnittstelle von gesellschaftlichen Prozessen und technologischen Veränderungen zu forschen, auch mit den Optionen und den verschiedenen Zielsetzungen, die dort möglich sind.	Looking too at the research that is to be undertaken into information and communication technologies, one sometimes gains the impression that it is all about preparing for escape into virtual reality, as opposed to investigating the interface between social processes and technological change, and all the possible options and objectives which this entails.
In einer Gesellschaft, die sich in einem tiefen gesellschaftlichen und ökologischen Wandel befindet, umfaßt die sozioökonomische Schwerpunktforschung im Gesamtprogramm 147 Millionen ECU.	In the programme as a whole, ECU 147 m is devoted to research on socio-economic issues, and this in a society which is undergoing radical social and environmental change.
Hier gibt es eine schwere Schieflage.	Something is seriously amiss here.
Angesichts der Probleme, die wir haben, sind die Schwerpunkte nicht richtig gesetzt.	Considering the problems that confront us, the priorities are wrong.
Herr Linkohr hat ein paar Korrekturen angebracht; insbesondere die 33 Millionen ECU für nichtnukleare Energie sind natürlich positiv, aber das reicht nicht, uns von diesem Konzept hier zu überzeugen.	Mr Linkohr has made a few adjustments: in particular, the ECU 33 m for non-nuclear energy is clearly a positive change, but it is not enough to convince us of the value of the concept.
Es ist in der Tat trotzdem ein Rückschritt gegenüber der ersten Lesung, und was immer beschworen wird, nämlich der Verlust an Wettbewerbsfähigkeit in Europa, die wissentlich abgegeben würde, bezieht sich in der Tat darauf, eine Neugierde zu entfalten bezogen auf die Probleme, vor denen wir stehen, die gesellschaftlichen, die technologischen und die wissenschaftlichen.	After all, this is a retreat from the position at first reading, and the situation that we are forever bemoaning - the fact that Europe has lost or deliberately given away its competitive edge - is actually connected with the need to develop a sense of curiosity about the social, technological and scientific problems that we face.
Das ist aber hier noch nicht der Fall.	So far, that is not what we are talking about here.
Wir werden uns enthalten.	We shall abstain.
