Frau Präsidentin! Ich muß natürlich meinem Vorredner, Herrn Swoboda, schon etwas vorwerfen.	Madam President, of course I must take issue with the previous speaker, Mr Swoboda.
Wir reden hier vom letzten großen Kolonialreich auf dieser Welt.	We are referring here to the last great colonial power on Earth.
Wir reden von einem Land, das drei riesige Kolonien hat, nämlich Tibet, Ost-Turkestan und die Mongolei.	We are talking about a country with three huge colonies, Tibet, East Turkestan and Mongolia.
Wenn wir hier nicht völlig klar machen, wofür wir stehen, wofür wir einstehen, daß wir für das Selbstbestimmungsrecht der Völker sind, daß wir für die Achtung der Menschenrechte in den verschiedenen Kolonien Chinas sind, dann haben wir, glaube ich, unser Ziel und unseren Einsatz tatsächlich verfehlt.	If we do not make it absolutely clear what we stand for, what we accept, that we stand for the right of races to self-determination, that we stand for respect of human rights in China's various colonies, then we shall, in my view, have indeed missed our target and our purpose.
Wir sehen ja, daß in allen drei Teilbereichen tatsächlich dieselben Mittel angewandt werden.	We can certainly see that in all three parts of the area the same means are being used.
Es werden Leute deportiert von dort, es gibt Zwangssterilisationen, es gibt Zwangsabtreibungen, es werden Chinesen hingebracht mit unglaublichen Versprechungen, man gesteht ihnen zu, daß sie dort mehr Kinder haben können als in China, wo sie nur ein Kind haben können.	People are deported, there is forced sterilisation, there is forced abortion. Chinese immigrants are moved in with unbelievable promises: they are told they can have more children than in China, where they are allowed only one.
Was ist denn das für ein Zustand!	What sort of conditions are those?
Man macht alles mögliche, man verändert völlig die Bevölkerungsstruktur in diesen Teilbereichen, und wir sollen praktisch in diesen verschiedenen Kolonien, die unterschiedliche Bereiche repräsentieren, unsere Augen davor verschließen.	They get up to all kinds of tricks, the population structure in the sub-areas is completely altered, and in these colonies, representing different areas, we are supposed for all practical purposes to close our eyes to it.
Das kann nicht im Interesse unseres Parlaments sein.	That cannot be in the interests of our Parliament.
Ich glaube, wir sind absolut gefordert, uns hier klar auszusprechen, wofür wir stehen.	I believe it is absolutely essential for us to express clearly what we stand for in this.
Wir haben in der Europäischen Union eine ganze Gruppe von Mongolen, die bei uns leben, die jahrelang im Gefängnis in Peking und in anderen Orten in KZs gesessen haben, die nur durch den Druck des Westens tatsächlich herausgekommen sind.	In the European Union we have a whole group of Mongolians who live amongst us, who have spent years in gaol in Beijing and in concentration camps in other places, and have only got out because of pressure from the West.
Viele davon sind meine Freunde, und ich kenne ihre Situation sehr gut.	Many of them are my friends and I know their circumstances very well.
Die Mongolen sind in einer besonders schwierigen Situation, weil sie ja in einem starken Maße an den verschiedenen Aktionen, vor allem den Aktionen auf dem Platz des Himmlischen Friedens, beteiligt waren.	The Mongolians are in a particularly difficult position, because large numbers of them have been involved in various demonstrations - particularly the demonstration in Tienanmen Square.
Viele kamen dort ums Leben und in der Folge ums Leben, viele konnten sich gerade noch absetzen und sind heute außer Landes und haben keine Chance, in ihre Heimat zurückzukehren.	Many died there, or in the aftermath to it. Many were just able to escape and are now exiles without a chance of returning to their homeland.
Ich glaube, wir müssen uns auch in dem Fall ganz klar sein, wovon wir sprechen, daß wir für das Selbstbestimmungsrecht der Völker eintreten, und zwar überall dort, wo es verletzt wird.	I think we must also be quite clear in this case what we are talking about: that we represent the self-determination of peoples, particularly in all those places where this is being violated.
Nur weil wir vom größten Land der Erde sprechen, dürfen wir es dort nicht aussparen.	We must not shirk this, just because we are talking about the largest country on Earth.
Wir müssen von den Menschenrechten sprechen, wir müssen dafür einstehen, d.h. wir müssen auch als Europäische Union und als Europäisches Parlament ganz klare Konsequenzen daraus ziehen. Das ist unsere Aufgabe.	We must speak of human rights, we must stand up for them; in other words, we must accept the consequences of being the European Union and the European Parliament.
