Herr Präsident Trichet, Herr Kommissar Almunia, liebe Kollegen!	.
Der Euro und die Europäische Zentralbank sind zweifelsohne eine Erfolgsgeschichte. Trotz politischer Turbulenzen zeigt sich der Euro relativ stabil.	Mr Trichet, Commissioner Almunia, ladies and gentlemen, the story of the euro and of the European Central Bank is one of undoubted success.
Er mausert sich zunehmend zu einer großen Reservewährung. Und wir haben es gehört: Die neuen EU-Mitgliedstaaten haben Interesse an einer sehr schnellen Einführung im eigenen Land.	Despite political upheavals, the euro is proving itself to be quite stable, is becoming more and more a major reserve currency, and, as we have heard, the EU’s new Member States are keen to introduce it at home without delay.
Die EZB hat sich von Anfang an professionell und unabhängig verhalten – und das, obwohl unterschiedliche wirtschaftliche Entwicklungen im Euroraum und politischer Druck ihre Arbeit nicht gerade erleichtert haben.	The ECB’s work has not exactly been made any easier by various economic developments in the eurozone and by political pressure, but it has nonetheless, from the very outset, maintained its independence and behaved in a professional manner.
Ich ermuntere die Europäische Zentralbank, ihrer Unabhängigkeitsverpflichtung treu zu bleiben und nach wie vor die Stabilität des Euro als Hauptziel ihrer Arbeit zu betrachten.	I would encourage the European Central Bank to maintain its commitment to independence and continue to regard the defence of the euro’s stability as its primary function.
Sie sehen, hier gibt es einen tiefen Riss zwischen den Parlamentsfraktionen. Ich stimme hier mit meinem Kollegen dos Santos nicht überein.	This, as you can see, is where there is a great gulf between the groups in this House, and Mr dos Santos and I are not of one mind.
Die Rahmenbedingungen für die EZB sind auch deshalb schwierig, weil mit der Reform des Stabilitätspaktes die zweite Stabilitätssäule für den Euro weitgehend weggefallen ist und somit die gesamte Verantwortung für eine stabile Währung vor allem bei der EZB liegt.	One reason why the conditions under which the ECB operates are problematic is that the reform of the Stability Pact largely did away with the second pillar of the euro’s stability, leaving the ECB with principal responsibility for currency stability.
Der Rat hat sämtliche Verbesserungsvorschläge des Europäischen Parlaments zur praktischen Umsetzung der Reform außer Acht gelassen. Das deutet darauf hin, dass die Finanzminister eine Aufweichung des Paktes vielleicht zwar nicht wünschen, so zumindest doch billigend in Kauf nehmen.	This House has proposed various ways of improving the implementation of the reform in practice, all of which the Council has disregarded, thereby indicating that, although the finance ministers may well not see the relaxation of the Pact as desirable, they do at any rate acquiesce in it with a degree of approval.
Das erklärt sich nicht zuletzt daraus, dass die großen Länder der Eurozone wie Deutschland, Frankreich und Italien seit Jahren gegen die Kriterien des Paktes verstoßen und nicht zur Rechenschaft gezogen werden sollen.	Why this should be so is explained not least by the fact that the big countries in the eurozone – Germany, France and Italy – have been breaching the terms of the Pact for years without being called to account for it.
Deutschland wird auch in den kommenden zwei Jahren – in diesem Jahr ohnehin – die Bedingungen nicht einhalten können.	Germany will be unable to comply with the Pact’s requirements over the next two years, and certainly not this year.
Italien hat – wie jetzt festgestellt wurde – schon 2003 gegen den Stabilitätspakt verstoßen und braucht ebenfalls noch mindestens zwei Jahre, um wieder in den grünen Bereich zu kommen.	As we have just heard, Italy breached the Pact as early as 2003, and it, too, needs another two years to get back in the clear.
Zum Abschluss möchte ich anmerken, dass der EZB-Rat von der Möglichkeit gemäß Artikel 10 EZB-Statut Gebrauch machen sollte, Entscheidungen nach dem Mehrheitsprinzip zu treffen, anstatt einen Konsens um jeden Preis zu suchen.	As I draw to my close, let me say that the ECB Board should avail itself of the option provided for by Article 10 of its statutes to take decisions by simple majority rather than seeking consensus at any price.
Mit einem Konsens, der oft genug nur den kleinsten gemeinsamen Nenner darstellt, sollte sich die EZB nicht zufrieden geben.	Consensus often represents no more than the lowest common denominator, and the Bank should not be satisfied with it.
Ich kann verstehen, dass die EZB gerade jetzt, wo der politische Druck sehr groß ist, keine Protokolle und schon gar nicht namentliche Abstimmungsergebnisse veröffentlichen will. Aber ich hoffe, dass der Tag kommen wird, wo neben den Protokollen zumindest das Stimmenverhältnis veröffentlicht werden kann.	I can well understand how, at a time of great political pressure such as the present, the ECB is unwilling to publish minutes, let alone records showing who voted for what, but I do hope that the day will come when the minutes can be published, along with indications of the way the votes went.
möchte ich mich meinem Kollegen Lauk anschließen: Sie sollten ähnlich wie die US-amerikanische Zentralbank ein mit einer detaillierten Analyse der wirtschaftlichen Entwicklungen der einzelnen Länder veröffentlichen.	Last but not least, I would like to endorse what Mr Lauk said about the need for you to follow the US Federal Reserve’s example and publish a containing a detailed analysis of the ways in which individual countries’ economies develop.
