Frau Präsidentin! Ich habe kein Manuskript, nur zwei Bemerkungen.	Madam President, I do not have a script, just two observations.
Es gibt keine Zuständigkeit der Europäischen Gemeinschaft für die Harmonisierung des Zivilrechts.	There is no competence of the European Parliament for coordinating civil law.
Im übrigen wird auch gar nicht harmonisiert.	There is no coordination taking place, as it happens.
Es werden Mindestnormen festgelegt, d.h., wir werden hinterher möglicherweise einen rechtlichen Flickenteppich haben.	Only minimum standards are being set down, i.e. we will probably be left legally with a patched-up job.
Wo ist also die Harmonisierung, die vielleicht noch gerechtfertigt werden konnte?	Where then is the coordination that might perhaps be still justified?
Übrigens glaube ich nicht, daß innerhalb der Europäischen Union, was den Binnenmarkt angeht, jemals grenzüberschreitend ein Kauf getätigt wurde oder unterblieben ist, nur weil in einem anderen Land ein anderes Gewährleistungsrecht herrscht.	I do not believe, incidentally, that within the European Union of the single market there has ever been a cross-border purchase made or omitted simply because another warranty system operates in the other country.
Das ist vollkommen lächerlich.	That is an utterly ridiculous assumption.
Noch ein Satz zur Umkehr der Beweislast, mehr kann ich zum Inhalt nicht sagen.	One other word, on the shift in the burden of proof, since I cannot say more about the substance.
Das ist die Zauberformel geworden: Umkehr der Beweislast.	This has become something of a magic formula: ' shift in the burden of proof.'
Es ist vollkommen klar, daß wir an einem Tatbestand nichts ändern können, nämlich daß derjenige, der einen Anspruch geltend macht, die Tatsachen zu beweisen hat, die seinen Anspruch rechtfertigen, und eine Umkehr der Beweislast kann nur dann in Betracht kommen, wenn derjenige, der den Anspruch erhebt, schlechterdings nicht über die Informationen verfügen kann, die seinen Anspruch rechtfertigen.	It is quite clear that we can do nothing to change the facts of the matter, namely that the one who asserts a claim has to prove the facts justifying the claim, and a reversal in the burden of proof can only come into it if the one making the claim has absolutely no access to the information justifying his claim.
Nur dann läßt sich überhaupt an eine Umkehr der Beweislast denken.	Only then can shifting the burden of proof be considered.
Das ist hier offensichtlich nicht der Fall.	This clearly is not the case here.
Diese Umkehr der Beweislast führt dazu, daß der Verkäufer diesen Beweis im Grunde nie erbringen kann.	This shift in the burden of proof means that fundamentally the seller can never produce the proof.
Er hat sein Bügeleisen, das eingepackt war, aus dem Regal genommen, hat es dem Käufer gegeben - und dann soll er drei Monate später nachweisen, daß dieses Bügeleisen in Ordnung war.	He took his iron that was all packed up down from the shelf and gave it the customer - and then three months later he is expected to prove that this iron was in order.
Das ist jedenfalls juristisch etwas merkwürdig.	Legally this is rather suspect.
