Herr Präsident! Die freien Medien sind ein Herzstück der Demokratie.	Mr President, freedom of the media lies at the heart of democracy.
Wenn die Opposition keine Möglichkeit zur Meinungsäußerung hat, wenn eine gesellschaftliche Debatte nicht mehr in der Öffentlichkeit stattfinden kann, dann ist die Diktatur vollkommen.	If the opposition has no opportunity to express its opinion, if a public debate about society is no longer possible, then you are looking at total dictatorship.
Wie bitter das ist, das weiß ich aus eigener Erfahrung.	And I know just how painful that is from personal experience.
Ich weiß auch, wie schwer es ist, aus dieser Situation als Opposition herauszukommen und nicht zu verzweifeln, nicht zu resignieren.	I also know how hard it is to act as opposition in this situation, and not to despair or give up.
Die Umformung der Gesellschaft, was wir von der Opposition dort erwarten, kann unter diesen Bedingungen praktisch nicht mehr stattfinden.	The transformation of society for which we are looking to the opposition there is virtually impossible under these circumstances.
Das muß uns klar sein.	That much should be clear to us.
Es kann praktisch nicht mehr stattfinden, weil die Menschen mit einem Bein im Gefängnis stehen, wenn sie etwas für die Demokratie tun.	It is virtually impossible because people stand a good chance of ending up in prison if they act in the interests of democracy.
Und es wird sehr, sehr schwer werden, von außen einzuwirken, weil das Menschenrecht auf freie Meinungsäußerung einfach als illegal erklärt wird.	And it will be extremely difficult to intervene from outside, because the human right of freedom of expression is simply declared illegal.
Und deshalb - und da spreche ich insbesondere die Kommission an - bedarf es all unserer Phantasie, Flexibilität und Kreativität, um Instrumente zu entwickeln, mit denen wir in dieser Situation trotzdem die Opposition unterstützen können.	Therefore - and I am addressing this comment to the Commission in particular - we need all our imagination, flexibility and creativity to development instruments which will nevertheless enable us to support the opposition in this situation.
Es ist nicht unmöglich, auch in dieser Situation die Gesellschaft umzuformen, was die Zeit vor elf Jahren gezeigt hat.	It is not impossible to transform society even in these circumstances, as we saw 11 years ago.
Darauf müssen wir uns konzentrieren.	That is what we have to concentrate on.
Bürokratische Hürden dürfen nicht immer hervorgeholt werden.	We should not always let bureaucratic obstacles get in the way.
Es muß wirklich geprüft werden, was das europäische Instrumentarium zuläßt.	We really must find out what can be done under European mechanisms.
Und es läßt mehr zu, als bisher deutlich geworden ist.	And the answer is that they allow more to be done than has been evident up to now.
Es ist auch wichtig, diese Zeichen zu setzen, weil sich sonst die Opposition allein fühlt und alle Kraft verliert.	It is also important to give these signals, because otherwise the opposition feels isolated and loses all its drive.
Dann wäre es viel, viel schwerer und würde noch viel länger dauern.	If that happened things would be much, much more difficult and would take much longer.
Frau Pack hat deutlich gemacht, daß die Situation in den Gefängnissen furchtbar ist und jeder Tag für die Insassen ein Tag zuviel ist.	Mrs Pack has made it plain that the situation in the prisons is appalling and that for the inmates every day is one day too many.
Deshalb möchte ich darum bitten, daß die Kommission in allen Gesprächen mit Vertretern der serbischen Regierung oder der Botschaften zu jeder Gelegenheit die Liste mit den Gefangenen mitführt und einzeln abfragt.	I therefore call on the Commission to take every opportunity, in all its talks with representatives of the Serbian Government or embassies, to present the list of prisoners and to request information on each prisoner.
Es sind Menschen, und es ist ein Dienst der Menschlichkeit, darauf zu drängen, daß es für diese Menschen einen Tag der Freiheit, der Gemeinsamkeit mit der Familie gibt.	We are talking about human beings, and it is a humanitarian act to press for these people to be released and united with their families one day.
Ich möchte auch an die Kommission appellieren, daß sie den Organisationen indirekte finanzielle Hilfe leistet, die versuchen, Listen zu erstellen, hier Gefängnisbesuche zu organisieren und die Familien zu betreuen.	I also wish to call on the Commission to offer indirect financial support to those organisations which are trying to draw up lists, to organise prison visits and to care for the families.
Es ist enorm wichtig, diesen menschlichen Dienst zu erweisen. Auch das ist eine Stärkung der demokratischen Kräfte in Serbien.	It is enormously important to provide this humanitarian support, and this will also strengthen the democratic forces in Serbia.
Zum Kosovo: Der Kosovo ist nach über einem Jahr nicht dort, wo wir ihn gerne haben wollten.	With regard to Kosovo, after one year that region has still not reached the position we would have liked to see.
Für mich ist es die größte Enttäuschung, daß der Haß so groß ist, daß es für Serben, Roma und andere Minderheiten nicht möglich ist, in Ruhe in diesem Kosovo zu leben, obwohl es sich um ein internationales Protektorat handelt.	It is a great disappointment for me that there is such great hatred that it is not possible for Serbs, Roma and other minorities to live in peace in Kosovo although they are under an international protectorate.
Es ist beschämend, daß es uns nicht gelingt, die Toleranz oder zumindestens das Nebeneinanderwohnen in diesem Bereich zu ermöglichen.	It is humiliating that we have not succeeded in promoting tolerance or at least cohabitation in this area.
Deshalb ist es für die Glaubwürdigkeit der internationalen Gemeinschaft dringend erforderlich, daß wir die Minderheiten schützen und ihnen reale Lebens- und Arbeitsmöglichkeiten dort geben.	For the sake of the credibility of the international community it is therefore a matter of urgency for us to protect the minorities and give them genuine opportunities for living and working there.
Für mich ist es auch deshalb wichtig, weil alles das, was vor einem Jahr gewesen ist, sonst unglaubwürdig ist.	And this is also important for me because I believe that otherwise everything that happened a year ago will lose credibility.
Deshalb ist es dringend erforderlich, daß wir hier mehr und auch öffentlich Anstrengungen unternehmen, um deutlicher zu machen, daß es nicht akzeptiert wird, Menschen, die einer anderen Rasse angehören, aus dem Kosovo zu vertreiben.	It is therefore vital for us to do more in this area and to endeavour to make it clear in the public arena that it is unacceptable for people belonging to a different race to be driven out of Kosovo.
Die Serben, Roma und Minderheiten haben ein Recht, dort zu leben!	The Serbs, Roma and other minorities have a right to live there!
