Herr Präsident! Herr Kommissar, liebe Kollegen!	Mr President, Commissioner, a few comments on the Parallel Agreement.
Ein paar Anmerkungen zu dem Parallelabkommen: Der Ansatz, daß man sich angesichts einer globalisierten Ökonomie, aber auch angesichts globalisierter Anforderungen an den Umweltschutz auf gemeinsame Normen verständigt, ist richtig.	The assumption that we need to agree on common standards in the face of a globalised economy and globalised environmental protection requirements is correct.
Allerdings, und das ist vielleicht eine Anforderung an dieses Abkommen, sollte man doch von einer gemeinsamen politischen Philosophie dabei ausgehen, und nicht den anderen Weg gehen, daß Verwaltungsexperten sich jenseits der Politik über die Normen verständigen.	However, and this is perhaps a requirement of this agreement, we need to start from a common political philosophy rather than taking an approach whereby management experts agree on standards beyond politics.
Wir haben vor zwei Wochen hier ein Symposium mit amerikanischen Kongreßabgeordneten abgehalten, wo wir genau diese Frage diskutiert haben, nämlich die Entwicklung einer gemeinsamen Philosophie für die Harmonisierung von technischen Standards, basierend auf ökonomischen und ökologischen Anforderungen.	We held a symposium here two weeks ago with American members of Congress at which precisely this question was discussed, namely the development of a common philosophy for harmonising technical standards based on economic and ecological requirements.
Dabei heißt Harmonie, wie in der Musik auch, eben nicht, daß jeder den gleichen Ton singt, sondern daß das Gesamtwerk harmonisch wird.	As with music, harmony here does not necessarily mean that everyone is singing exactly the same note, but that the overall effect is harmonious.
Und insofern heißt Harmonie auch, daß man den unterschiedlichen Anforderungen in den USA und in Europa Rechnung trägt.	And, in this respect, harmony also means taking account of the different requirements in the USA and in Europe.
Aber das muß eben auf einer politischen Ebene passieren, und nicht allein auf technischer Ebene.	And this has to happen at the political and not just the technical level.
Und die zweite Anforderung: Hier wird ein Abkommen geschlossen, das eigentlich nicht nötig ist, weil im Grunde in dem Abkommen von 58 alles geregelt werden kann.	The second requirement is this: we are concluding an agreement which is not in fact necessary because, in theory, everything can be regulated under the 1958 agreement.
Allein aufgrund einer spezifischen Interessenlage eines Landes jenseits des Atlantiks wird hier ein zusätzliches Abkommen geschlossen, was mitunter dazu beitragen kann, daß sich der Prozeß der Findung gemeinsamer Normen verzögert, weil zum Beispiel hier die Einstimmigkeit notwendig ist.	An additional agreement is being concluded here merely to accommodate specific interests on the other side of the Atlantic, one which may lead, inter alia, to delays in the process of establishing common standards, for example, because unanimity is required here.
Und hier setzt die Frage an: Wird hier nicht zu sehr auf die Anforderungen eines spezifischen Landes eingegangen?	And that begs the question of whether we are paying too much attention to the requirements of a specific country
Und ein drittes, das uns wieder sehr stark betrifft.	The third point concerns us very closely.
Wir hatten in der Diskussion um den Beitritt zu dem 58er Abkommen im damaligen Kittelmann-Bericht schon heftige Diskussionen darüber, inwieweit da die politische Mitgestaltung des Parlamentes, konkret das Mitentscheidungsrecht, in Frage gestellt wird.	In discussions on accession to the 1958 agreement, we had intense discussions in the Kittelmann report on the extent to which Parliament' s joint political rights, to be specific, its right of codecision, was called into question.
Und das verschärft sich natürlich noch einmal durch dieses Parallelabkommen, weil die Mechanismen noch ein Stück weiter weg sind von uns, von dem Europäischen Parlament.	This is, of course, exacerbated by this Parallel Agreement, because the mechanism is taken yet another step away from us, the European Parliament.
Herr Kommissar, der Vorgänger in diesem Amt, Herr Bangemann, hat damals versichert, wir würden regelmäßig über die Diskussionsprozesse beim 58er Abkommen informiert und in die Entscheidung einbezogen.	Commissioner, your predecessor, Mr Bangemann, assured us at the time that we would be regularly informed about discussions in relation to the 1958 agreement and included in decisions.
Das ist bisher noch so ein bißchen im Stocken.	So far this process has yet to get off the ground.
Ich möchte Sie doch mal bitten, deutlich zu sagen, wie das Parlament in die Entscheidungsabläufe eingebunden werden kann, wie sichergestellt werden kann, daß wir uns rechtzeitig einbringen können, wie sichergestellt werden kann, daß die Kontinuität der Berichterstattung gesichert wird ­ zum Beispiel durch ständige Berichterstatter, zum Beispiel durch kleine Expertengruppen ­, wie sich Kommission und Parlament gemeinsam die Überwachung des 58er Abkommens zum Ziel setzen.	I invite you to state clearly how Parliament can be involved in the decision-making process, what can be done to ensure that we are involved in time, what can be done to ensure that there is continuity in reporting, for example by having standing rapporteurs or by having small specialist groups, and how the Commission and Parliament can jointly set themselves the objective of monitoring the 1958 agreement.
Also ganz konkret, wie stellt die Kommission sicher, daß die Mitentscheidung des Parlamentes durch diese Abkommen nicht unterlaufen wird?	In other words, how will the Commission ensure that Parliament' s right of codecision will not be circumvented by this agreement?
