Herr Präsident! Wir brauchen eine andere EU, und wir brauchen auch ein anderes EU-Budget.	Mr President, we need a different EU and we also need a different EU budget.
Ich denke, wir brauchen Mut für große Entscheidungen.	I think we need the courage to make big decisions.
Wir sollten uns sicherlich nicht wegen kleiner technischer Details in die Haare bekommen.	We should certainly not get bogged down in minute technical details.
Drei Dinge zum EU-Budget: Erstens brauchen wir Transparenz, was das EU-Budget betrifft.	I would like to say three things about the EU budget. Firstly, we need transparency where the EU budget is concerned.
Wie hoch sind beispielsweise die Verwaltungsausgaben?	How high is administrative expenditure, for example?
Das derzeitige EU-Budget gibt dazu keine realistische Auskunft.	The current EU budget does not provide any realistic information on this.
Zweitens: Einsparungen.	My second point is about savings.
Es ist ein Leichtes, Milliarden im EU-Haushalt einzusparen, ohne dass die Qualität der Leistung der EU-Institutionen sinkt.	It is very easy to save billions in the EU budget without reducing the quality of the services provided by the EU institutions.
Ich denke da beispielsweise an die Schließung eines großen Teils der EU-Agenturen.	For example, we could shut down a large number of the EU's agencies.
Ich denke an den zweiten Sitz in Straßburg.	Then there is the second seat in Strasbourg.
Oder es sollte die Sinnhaftigkeit von kompetenzlosen Gremien diskutiert werden, wie z. B. der Ausschuss der Regionen oder der Wirtschafts- und Sozialausschuss.	We should perhaps discuss the usefulness of the bodies that lack an area of competence, such as the Committee of the Regions or the Economic and Social Committee.
Drittens: Wie verwendet man das Geld?	Thirdly, how is the money used?
Das Geld sollte man dort hingeben oder zurückgeben, wo es herkommt, nämlich den Steuerzahlern.	The money should be given, or given back, to where it comes from, namely the taxpayers.
Man sollte natürlich auch vernünftige Projekte damit fördern, da denke ich unter anderem an ein echtes Erasmus-Programm, beispielsweise für Lehrlinge.	Of course, we should also use it to support sound projects - I am thinking, for example, of a genuine Erasmus programme for trainees.
Ich denke, wir brauchen Mut.	I think we need courage.
Das sollten wir uns alle hinter die Ohren schreiben.	We would all do well to take note of this.
