Herr Präsident!	Mr President.
Wenn wir über Kyoto und Buenos Aires reden, möchte ich auf drei Punkte verweisen, natürlich ohne Anspruch auf Vollständigkeit zu erheben.	I should like to make three points on Kyoto and Buenos Aires, obviously without in any way claiming to be exhaustive.
Bezüglich der Reduktionsmenge sind es bereits Rückschritte gegenüber den früheren Zielen von Toronto, den Klimabündniszielen, und auch den Rio-Zielen.	The reduction targets are already a step backwards compared with the earlier targets set in Toronto, those set by the climate alliance and the Rio targets.
So ist das alles ein Minimalkonsens.	So we only have a basic level of agreement.
Zweitens müssen wir uns klar darüber sein, daß wir pro Tag so viel C02 ausstoßen, wie sich vorher in 3.000 Jahren gebunden hat.	Secondly, we should be aware that the amount of CO2 we are emitting each day is the same as that previously emitted over 3000 years put together.
Daß das nicht vernünftig sein kann, daß das nicht gut sein kann, dazu brauche ich nicht 1.000 amerikanische Wissenschaftler, dazu brauche ich keine Sachverständigen, dazu reicht der gesunde Menschenverstand.	I do not need 1000 American scientists to tell me that this cannot be sensible, or that it cannot be a good thing. I do not need experts to tell me; common sense is quite enough.
Wenn wir das jetzt erkennen, dann müssen wir auch erkennen, daß das Treibhaus-Problem nicht irgendein Problem ist, sondern wahrscheinlich eines der größten, vor dem die Menschheit je gestanden ist.	If we now recognise this, then we should also recognise that the greenhouse problem is not just any old problem, but probably one of the greatest that mankind has ever had to face.
Die traditionelle Energiepolitik befindet sich auf einem Crash-Kurs.	Traditional energy policy is on a crash course.
Ich glaube, daß die meisten ihr Kapitänspatent auf der Titanic gemacht haben.	I think most of its pilots did their training on the Titanic.
Die Eisberge sind klar in Sicht und sie sagen alle "Volle Fahrt voraus" .	The icebergs are clearly visible, and they are all saying: ' Full steam ahead'.
Zu den Kosten: Wenn wir über Energiepolitik, über Klimaprobleme sprechen, sprechen wir fast ausschließlich über die Finanzierung.	As regards the costs, when we debate energy policy and climate problems, we talk almost exclusively about funding.
Ich frage Sie, meine Damen und Herren, welche Chance hat eine Gesellschaft, die in alles mögliche zu investieren bereit ist, aber offensichtlich nicht bereit ist, in ihre eigenen Zukunftschancen und somit auch in ihre eigene Arterhaltung zu investieren?	I ask you, ladies and gentlemen, what chance a society has, which is prepared to invest in all kinds of things, but obviously is not prepared to invest in its own future and thus in the survival of its own species.
Daß diese Investition bei uns selbst beginnen muß, würde ich für eine ethische Selbstverständlichkeit halten.	From an ethical point of view, I believe that it is only natural that this investment should begin with us.
