. – Herr Präsident!	.
Ich freue mich, direkt nach John Bowis reden zu können, der auf eindrucksvolle Art gezeigt hat, wo wir uns befinden 20 Jahre nach dem 3. Dezember 1984 mit den 35 Tonnen hochgiftigen Gasgemisches, den 7 000 Menschen, die an Atemlähmung und Herzstillstand starben.	Mr President, I am glad to be able to speak immediately after Mr Bowis, who has impressed upon us where we have got to 20 years after 3 December 1984, when gas from a 35-tonne cocktail of highly toxic substances caused 7 000 people to die when their hearts and lungs failed.
Und heute sind es etwa 25 000, die als Opfer des größten Chemieunfalls in der Geschichte beklagt werden. Rund 500 000 Menschen leiden dauerhaft an diesen Behinderungen.	To this day, some 25 000 have gone down in history as the victims of the biggest chemical accident ever recorded, and some 500 000 are still crippled as a consequence of it.
Was aber wurde getan für die Betroffenen?	What, though, was done for the victims?
Die Recherchen haben deutlich ergeben, vor 15 Jahren gab es einen Schadensersatz von 470 Millionen US-Dollar, ausgehandelt zwischen und der indischen Regierung.	Research has shown that, 15 years ago, compensation to the tune of USD 470 million was agreed on by Union Carbide and the Indian Government.
Bisher haben die 100 000 offiziell registrierten Leidtragenden jeweils 300 Dollar bekommen.	So far, the 100 000 officially registered as victims have received USD 300 each.
Es gibt 2 500 Häuser für Witwen, es gibt sieben Krankenhäuser, es gibt viele Einrichtungen, die gebaut wurden. Aber was ist geschehen mit den anderen ungefähr 400 Millionen US-Dollar?	There are 2 500 houses for widows along with seven hospitals, and many facilities have been built, but what has happened to the rest of the money, some USD 400 million?
Frau Gill, da muss man wirklich die Frage nach der Schuld stellen.	I have to tell Mrs Gill that we really do have to ask who is to blame for that.
Der Boden ist immer noch kontaminiert.	The ground is still contaminated.
Das Grundwasser ist verseucht, nachhaltig verseucht mit Quecksilber.	The ground water is heavily contaminated with mercury, and that is not going to go away.
Giftige Rückstände werden offen gelagert.	Toxic residues are stored in the open air.
Kein Wunder, dass Situationen, wie sie schon John Bowis geschildert hat, entstehen: chronische Leiden, Hirnschäden, Missgeburten.	Small wonder, then, that we end up with the situation that Mr Bowis has described, with chronic illnesses, brain damage, and children born with deformities.
Der indische Premierminister Singh muss sich dafür einsetzen, dass die medizinische Versorgung der Betroffenen wesentlich verbessert wird. Und die Regierung sollte dem Urteil des obersten Gerichtshofes folgen, endlich den Fonds freizugeben, damit Entschädigungsgelder restlos ausgezahlt werden können.	If there is to be any substantial improvement in medical provision for the victims, then the Indian Prime Minister, Mr Singh, will have to intervene, and the government should comply with the Supreme Court’s ruling and finally release the funds and enable full compensation to be paid out.
Noch immer produzieren viele chemische Unternehmen in Indien und auch in anderen Teilen der Welt mit Arbeitsstandards und Umweltstandards weit unter dem, die in der Europäischen Union oder in den USA gelten.	Many chemical companies still have production operations in India and in other parts of the world where labour and environmental standards are far below those that apply in the European Union or the USA.
Ich bin Berichterstatter für das Programm REACH im Ausschuss für Beschäftigung und soziale Angelegenheiten und ich kann nur die Forderung aus dem Arbeitspapier wiederholen: Wir brauchen eine Regelung der Europäischen Union, aber genauso eine Regelung auf der Ebene der WTO-Standards, damit wir Vergleichbarkeit erreichen können.	As the Committee on Employment and Social Affairs’ rapporteur on the REACH programme, I can do no other than reiterate the demand made in the working paper: if there is to be comparability, we need rules made by the European Union, and, in the same way, rules laid down as standards by the WTO.
Wer nur nach Profitsteigerung giert und deshalb ausnahmslos niedrigste Umweltauflagen zulässt, der nimmt billigend in Kauf, dass uns eines Tages ein zweites Bhopal droht, und das kann sich keiner leisten.	Those whose desire for increased profits leads them to allow the minimum environmental requirements without exception are accepting the likelihood of a second Bhopal one day, and that is something that none of us can afford.
