Herr Präsident, meine sehr verehrten Kolleginnen und Kollegen!	Mr President, ladies and gentlemen, I will only be speaking on the subject of Serbia.
Ich spreche nur zum Thema Serbien. Alles andere haben meine Kollegen schon gesagt.	My colleagues have already said all there is to say on the other subject.
Wir erleben derzeit, wie ein gesuchter Gesprächspartner aller westlichen Regierungen sich ohne jede Scham das Recht anmaßt, Wahlergebnisse, die ihm nicht passen, annullieren zu lassen.	We are currently seeing a sought-after partner of all the Western governments shamelessly presuming the right to annul election results that do not suit him.
Auch die Richter in Serbien sprechen Recht nach den Wünschen von Herrn Milosevi.	Even the Serbian judges administer justice according to the wishes of Mr Milosevi&#x010D;.
Daß Serbien kein Rechtsstaat ist, wird durch diese Manipulation auch dem letzten klar.	This manipulation makes it clear to every last one of us that Serbia is not a constitutional state.
Die Knebelung der Medien und die Diffamierung der friedlichen Demonstranten sind weitere Beweise dafür, daß die kommunistische Willkür dieser Regierung offenkundig ist.	The gagging of the media and the defamation of the peaceful demonstrators are further, manifest evidence of the communist despotism of this government.
Serbien darf nicht weiter das Familienunternehmen von Milosevi und Markovi bleiben.	Serbia cannot remain the family business of Milosevi&#x010D; and Markovi&#x010D;.
Der Rat war im Gegensatz zu den USA sehr zögerlich in seiner Reaktion.	Unlike the USA, the Council reacted very hesitantly.
Warum hatte er Angst, ganz eindeutig Partei für Demokratie und Grundrechte zu ergreifen, obgleich doch unsere Fahnen bei diesen Demonstrationen wehen?	Why was it afraid to openly stand up for democracy and basic rights, although it is our flags that are flown during these demonstrations?
In Serbien rächt sich jetzt, daß es nicht - wie alle anderen Nachfolgestaaten - die Badinter-Kriterien aus dem Jahre 1991 erfüllen mußte, um seine Anerkennung zu erlangen.	Serbia is now paying the price for the fact that, unlike all the other successor states, it did not have to comply with the 1991 Badinter criteria in order to be recognized.
Zudem hätte die Lösung der Kosovo-Frage Vorbedingung sein müssen.	Moreover, a solution to the Kosovo question should have been made a precondition.
Sie hätte natürlich auch in Dayton auf der Tagesordnung stehen müssen.	Of course Kosovo should also have been on the Dayton agenda.
Solche fahrlässigen Unterlassungssünden haben fatale Folgen.	Negligence and sins of omission of this kind have disastrous consequences.
Die Führung Jugoslawiens zeigt nicht den leisesten Ansatz von demokratischen Reformen.	The Yugoslav leaders are not showing the slightest inclination towards democratic reforms.
Die Menschen in diesem Land fühlen sich unfrei, sie fühlen sich um ihre Grundrechte betrogen.	The people in that country do not feel free, they feel they have been cheated of their basic rights.
Während meines letzten Besuches im Juni in Belgrad sagten viele Serben zu mir: Sie kümmern sich um die Rechte der Albaner in Kosovo.	On my last visit to Belgrade in June many Serbs said to me: you are concerning yourself with the rights of Albanians in Kosovo.
Tun Sie das.	Do so.
Aber auch wir brauchen Hilfe.	But we need help too.
Wer hilft uns, unsere Grundrechte durchzusetzen?	Who is helping us to exercise our basic rights?
Die drei Führer der Opposition Savetno waren Ende Oktober auf meine Einladung in Brüssel vor der Delegation für die Beziehungen zu Südosteuropa.	The three leaders of the Savetno opposition came to Brussels at the end of October at my invitation to meet the delegation for relations with south-eastern Europe.
Natürlich sind die politischen Ideen und Äußerungen der Herren Draskovic und Djindji in den letzten Jahren nicht anders als großserbisch und nationalistisch gewesen.	Of course the political ideas and the statements made by Mr Draskovic and Mr Djindji in recent years merely reflected greater Serbian and nationalistic ambitions.
Karadzic fand noch ihre Zustimmung, als Milosevi ihn auf Drängen des Westens fallen ließ.	They still approved of Karadzic when Milosevi dropped him as a result of Western pressure.
Das Bündnis mit der einzigen wirklich demokratischen politischen Kraft in Serbien, der Partei von Vesnapesi, gibt aber Anlaß zur Hoffnung, daß die Opposition demokratischen Fortschritt will.	The alliance with the only genuinely democratic force in Serbia, Vesnapesi's party, offers some hope, however, that the opposition wants democratic progress.
Darum ist es die Aufgabe von uns, vor allem aber auch der westlichen Gesprächspartner, Milosevis undemokratisches Verhalten zu verurteilen und sich mit den friedlichen oppositionellen Demonstranten zu solidarisieren.	That is why it is up to us, and in particular to Serbia's Western partners, to condemn Milosevi's undemocratic conduct and to show solidarity with the peaceful demonstrators from the opposition.
Das Oppositionsbündnis ist zerbrechlich, und eine Unterstützung seiner Ziele von außen könnte die Bevölkerung überzeugen, daß ein Wechsel in der Regierung einen Schritt zu mehr Demokratie bedeuten könnte.	Given that the opposition alliance is fragile, outside support for its aims might convince the population that a change of government could mean a step towards more democracy.
Wir erwarten von der Führung Serbiens, von Regierung und Opposition eine baldige Lösung der KosovoFrage, ohne die kein Frieden in der Region möglich ist.	We expect the Serbian leadership, government and opposition to find a rapid solution to the Kosovo question, failing which there can be no peace in the region.
Auch die zu schaffende Demokratie in Bosnien ist von demokratischen Verhältnissen in Belgrad abhängig.	The democracy that needs to be established in Bosnia also depends on democratic conditions prevailing in Belgrade.
Ich fordere den Rat auf, mit mehr Nachdruck und Unbeugsamkeit diese europäischen Ziele zu verfolgen und in Dublin endlich ein Zeichen zu setzen!	I call upon the Council to pursue these European goals more emphatically and uncompromisingly and finally to give a signal that it is doing so in Dublin!
