Herr Präsident! Ich will zuerst etwas zu dem Geld sagen.	Mr President, I will start by saying something about money.
Meines Erachtens sind die 17,5 Milliarden Euro zu wenig, vor allem angesichts der ehrgeizigen Ziele, die sich die Europäer immer wieder setzen.	The EUR 17.5 billion are in my view insufficient, above all when you consider the ambitious goals that Europeans are always setting themselves.
Betrachtet man die künftige Erweiterung der Europäischen Union, dann ist es wirklich viel zu wenig.	It is certainly far too little when you consider the imminent enlargement of the European Union.
Das sind ja Mittel, die später einmal für 25 oder noch mehr Mitgliedstaaten eingesetzt werden sollen, und das reicht nicht aus.	These funds are one day to be invested for 25 or even more Member States, and that is not enough.
Aber so sind die Dinge nun mal.	That, though, is how things are these days.
Auf jeden Fall hoffe ich, dass wenigstens diese 17,5 Milliarden vom Rat genehmigt werden, sonst - da gebe ich Herrn van Velzen Recht - gibt's Ärger.	I hope in any case that the Council will approve at least these EUR 17.5 billion, or else, and here I agree with Mr van Velzen, there will be trouble.
Die europäische Forschungspolitik wird sehr stark unter dem Gesichtspunkt der Beteiligung an den Forschungsprogrammen wahrgenommen.	European research policy is very much seen in terms of participation in the research programmes.
Da möchte ich die Kommission nachhaltig auffordern, alles zu tun, um die Antragseinreichung und die Bearbeitung der Anträge so zu erleichtern, dass die Forscher ihre Zeit nicht mit dem Ausfüllen von Papieren, sondern wirklich mit der Forschung zubringen können.	I want to vigorously urge the Commission to do everything possible to make the submission of applications and their processing easier, so that the researchers can spend their time on real research rather than on filling in forms.
Dritte Bemerkung: Fusion.	My third observation is on fusion.
Darüber streiten wir uns immer wieder, und ich respektiere auch, dass es dazu unterschiedliche Meinungen gibt.	We wrangle about this over and over again, and I respect the different opinions that are held on the subject.
Nur eines kann ich nicht akzeptieren, dass nämlich die Ergebnisse dieser Forschungen so weit weg sind.	The only thing I cannot accept is that this research will not bear fruit for a very long time.
Wir fordern die Jugendlichen ja auch auf, schon frühzeitig für ihr Alter zu sorgen, obwohl aus der Sicht eines Jugendlichen das Alter auch weit, weit weg ist.	We urge the young to start early on providing for old age, even though, from a young person's point of view, old age is a long, long way away.
In gleicher Weise ist dies eine Vorsorge.	We are talking here about the same sort of provision.
Ob dann später ein Fusionskraftwerk gebaut wird oder nicht, sollen dann unsere Nachkommen entscheiden.	Whether a fusion power station is eventually built or not, is for those who come after us to decide.
Diese Option sollten wir ihnen aber geben.	We should, however, give them the option.
Ich habe immer sehr großen Wert darauf gelegt, dass sich die Europäische Union auch mit sehr sensiblen Fragen beschäftigt, die bislang außerhalb unserer Reichweite lagen, z. B. mit neuen Methoden zum Nachweis und zur Beseitigung von Landminen.	I have always considered it very important that the European Union should concern itself with highly sensitive questions that had formerly been beyond our scope, for example, new methods of detecting and removing landmines.
Wir haben nun glücklicherweise seit einigen Jahren ein solches Programm innerhalb der Europäischen Union und damit auch bemerkenswerte Erfolge erzielt.	It is fortunate that we have had a programme of this sort within the European Union for a number of years, and it has achieved noteworthy successes.
Ich möchte sehr dafür plädieren, dass dieses Programm fortgesetzt, ehrgeizig ausgebaut und möglichst auch in einer Hand innerhalb der Kommission koordiniert wird.	My heartfelt plea is that this programme should be continued, ambitiously developed and coordinated, if possible, by a single office within the Commission.
Ich denke dabei an die Gemeinsame Forschungsstelle, deren bisherige Leistungen hier auch unterstrichen werden sollten.	I am thinking here of the Joint Research Centre, whose achievements to date deserve to be highlighted.
In die gleiche Richtung geht übrigens ein Versuch, die Forschung der Europäischen Union an der Beseitigung von Massenvernichtungswaffen, also atomaren, biologischen und chemischen Waffen, zu beteiligen.	An attempt is similarly being made, incidentally, to involve European Union research in the elimination of weapons of mass destruction, be they nuclear, biological or chemical.
Ich erinnere übrigens daran, dass die Kommission heute Nachmittag eine Erklärung über das Verbot biologischer Waffen abgeben will. Das hat etwas mit der Bekämpfung des Terrorismus zu tun.	I would remind you that the Commission will be making a statement this afternoon about the banning of biological weapons, which has to do with the fight against terrorism.
In der früheren Sowjetunion lagern bis heute riesige Mengen biologischer und chemischer Kampfstoffe, die nicht beseitigt werden können, weil die Mittel fehlen und weil oft auch die Technik fehlt.	In the former Soviet Union, today, there are still enormous stockpiles of biological and chemical agents that cannot be destroyed for lack of the necessary funds and often also of the necessary technology.
Hier könnte die Europäische Union auch etwas für die Sicherheit Europas und der Welt tun.	This is an opportunity for the European Union to do something for the security of Europe and of the world.
Was die Bioethik anbelangt, plädiere ich dafür, dem Antrag des Ausschusses für Industrie, Außenhandel, Forschung und Energie zu folgen, der schlicht darauf Rücksicht nimmt, dass es in unseren Mitgliedstaaten unterschiedliche Rechtsauffassungen über dieses Thema gibt, und wir als europäischer Gesetzgeber können die Mitgliedstaaten hier nicht ersetzen.	As far as bioethics is concerned, I urge support for the proposal by the Committee on Industry, External Trade, Research and Energy, which simply takes account of the different understandings of the law on this subject in the Member States, and we as European legislators cannot supplant the Member States on this point.
Dieser Respekt der Souveränität spiegelt sich in diesem Antrag wider.	Such a respect for sovereignty is reflected in this proposal.
