Herr Präsident! Die Fraktion der Grünen hat geschlossen gegen den Rothley-Bericht gestimmt.	Mr President, the Green Group was united in voting against the Rothley report.
Wir halten es für ethisch völlig unverantwortlich, daß hier der Weg dafür gebahnt wird, daß Tausende von Genen - sei es von Menschen, Pflanzen oder Tieren - der Kommerzialisierung unterworfen werden dürfen.	We consider it to be completely irresponsible from an ethical point of view that the way is being opened up for thousands of genes - whether from human beings, plants or animals - to be put to commercial use.
Das Parlament hat einen Freibrief gegeben zu einem ungeheuren Kommerzialisierungsschub des menschlichen Körpers.	Parliament has given dispensation for a massive push towards the commercialization of the human body.
Es ist auch beschämend, daß das Parlament so deutlich eingeknickt ist vor den massiven Lobbyinteressen der Industrie.	It is also disgraceful that Parliament has so clearly caved in to the huge lobbying interests of industry.
Noch vor drei Jahren hat das Parlament den Mut gehabt, den gleichen Bericht zurückzuweisen.	Only three years ago Parliament had the courage to reject this very same report.
Dem fast gleichen Bericht stimmt es heute zu.	Today it is agreeing to virtually the same document.
Es ist doch wohl ein Armutszeugnis für ein Parlament, daß hier abgenickt wird, was die Kommission vorgibt, nach dem Motto, wir lassen das Parlament so lange abstimmen, bis uns das Ergebnis paßt.	It surely demonstrates the inadequacy of Parliament that we are simply swallowing whatever the Commission serves up, or as it would say: let us allow Parliament to go on voting until the result suits us.
Ich glaube, die Lobbyarbeit zur Patentierungsrichtlinie war eine der aggressivsten, die das Europäische Parlament erlebt hat.	I think that the lobbying in support of the patents directive was one of the most aggressive that the European Parliament has ever experienced.
Aber das darf doch das Parlament nicht daran hindern, hier ethische Vernunft walten zu lassen.	But that should not prevent Parliament from allowing ethical sense to prevail.
Das Parlament hat also kläglich versagt.	Parliament has failed pitifully.
Es hat es versäumt, einen klaren Rechtsrahmen zu schaffen, der der Industrie ethische Grenzen setzt.	It has failed to create a clear legal framework which sets down ethical limits for industry.
Es hat die Biopiraterie legalisiert, multinationalen Konzernen wurde der Weg zur Biopiraterie geebnet.	It has legalized bio-piracy and the road which leads there is now ready for multinationals to travel down.
Sie können sich anmaßen, Gene von Pflanzen, Tieren und Menschen, die sie lediglich entdeckt haben, in eine Erfindung umzudeuten und als ihr Eigentum zu bezeichnen.	They will be able to re-interpret the genes of plants, animals and human beings, which they have done no more than discover, as their own invention and to designate them as their property.
Die Patentierungsrichtlinie wird zu einer ungeheuren Privatisierung der Natur führen, und es ist beschämend, daß hier auch die Hintertür offengehalten worden ist für die Klonierung von menschlichen Körperteilen sowie die Patentierung von menschlichen Embryonen zu Forschungszwecken.	The patents directive will lead to an enormous privatization of nature, and it is a disgrace that it is also leaving the back-door open for the cloning of parts of the human body and the patenting of human embryos for research purposes.
Es ist beschämend, daß es nicht einmal gelungen ist, das auszuschließen.	It is disgraceful that the directive has not even succeeded in excluding things of this kind.
Ich denke, es ist heute ein schwarzer Tag für die Menschenrechte, wenn der Mensch durch diese Patentierungsrichtlinie so deutlich herabgewürdigt wird zu einem Rohstoff für die Industrie.	I think that today is a black day for human rights since human beings are clearly being debased by this patents directive and will become nothing more than raw materials for industry.
