Frau Präsidentin, Herr Kommissar, liebe Kolleginnen und Kollegen! Nichts hat sich geändert.	Madam President, Commissioner, ladies and gentlemen, nothing has changed.
Wie in Barcelona im Jahre 1992 werden auch in diesem Jahr bei den Olympischen Spielen in Atlanta Frauen an der Teilnahme gehindert.	As in Barcelona in 1992, women are once again being prevented from taking part in the Olympic Games in Atlanta this year.
Vor allem islamische Staaten verwehren es ihnen, in eigener Verantwortung Sport zu treiben.	Islamic countries in particular are not allowing them to take part in sports under their own responsibility.
Hier können sich Mädchen und Frauen nicht vorbereiten, werden durch Kleidervorschriften gehindert, oft von fundamentalistischen Gruppen bedroht und natürlich auch nicht nominiert.	Girls and women cannot train in these countries, are prevented from participating by dress codes, often threatened by fundamentalist groups and of course not nominated.
Wie in Barcelona dürften es jetzt an die 35 Staaten sein, die reine Männermannschaften in die USA entsenden werden.	As in the days of Barcelona there are now probably some 35 states that will send all-male teams to the USA.
Dieser klare Verstoß gegen die olympische Charta kann nicht hingenommen werden.	This clear infringement of the Olympic Charter is unacceptable.
Mit der Idee der olympischen Bewegung ist es unvereinbar, daß Menschen aus Gründen der Religion, Politik oder des Geschlechts diskriminiert werden.	It is irreconcilable with the idea of the Olympic movement for people to be discriminated against on grounds of religion, politics or sex.
Der Vorwurf, es sei zu spät gehandelt worden, trifft nicht zu.	The accusation that action was taken too late is not correct.
Lissy Gröner wies zu Recht darauf hin.	Lissy Gröner rightly pointed that out.
Bereits 500 Tage vor Atlanta, Anfang Januar 1995, gründeten engagierte Frauen in Paris das Atlanta Plus-Komitee, wandten sich an nationale Sportbehörden, an Sportlerinnen und Sportler und an Sponsoren, mit einigen Erfolgen.	A whole 500 days before Atlanta, at the beginning of January 1995, committed women in Paris founded the Atlanta Plus Committee and contacted national sport authorities, sportsmen and sportswomen, with some success.
Doch die Antwort des Internationalen Olympischen Komitees IOC war peinlich.	But the answer they received from the International Olympic Committee, the IOC, was terrible.
Es verstieg sich in die Bemerkung, der Antrag von Atlanta Plus sei eine politisch motivierte Attacke gegen eine Religion.	It had the presumption to say that Atlanta Plus' proposal was a politically motivated attack on a religion.
Die Einschränkung elementarer Rechte für Frauen in Sport, Bildung und Gesundheit, ebenso in der Berufswelt ist nicht akzeptabel.	Any restriction on women's elementary rights in sport, education and health, as in the professional world, is unacceptable.
Wiederholt war sie Gegenstand von Debatten und von Beschlüssen, auch auf der Weltbevölkerungskonferenz in Kairo 1994 und der Vierten Weltfrauenkonferenz in Peking 1995.	This has been the subject of repeated debates and decisions, including those taken at the International Conference on Population in Cairo in 1994 and the Fourth World Conference on Women in Beijing in 1995.
Die Ausgrenzung von Frauen aus der olympischen Bewegung verdient eine einzige Antwort: Sanktionen.	The exclusion of women from the Olympic movement merits only one answer: sanctions.
Das, was Südafrika jahrzehntelang zu spüren bekam, den Ausschluß aus der olympischen Bewegung wegen seiner Apartheitpolitik, das muß auch für die nationalen olympischen Komitees jener Staaten gelten, die Frauenrechte mit Füßen treten.	What South Africa felt the brunt of for decades, its exclusion from the Olympic movement because of its policy of apartheid, must also apply to the national Olympic committees of those states that trample women's rights underfoot.
Sie dürfen nicht länger akkreditiert sein, sie müssen suspendiert werden.	They must no longer be accredited, they must be suspended.
Staaten, in denen Mädchen und Frauen an ihrer Selbstverwirklichung gehindert werden, können und dürfen weder materiell noch politisch von der Europäischen Union unterstützt werden.	Countries in which girls and women are prevented from realising their potential cannot and must not receive material or political support from the European Union.
Wir müssen sie mit der Notwendigkeit konfrontieren, sich zu ändern, um der Verwirklichung der Menschenrechte willen.	We must confront them with the need to change, for the sake of the realization of human rights.
Die vorliegende Entschließung unseres Ausschusses für die Rechte der Frau ist die Zustimmung des Europäischen Parlaments, der Europäischen Kommission und des Rates wert.	The resolution submitted by our Committee on Women's Rights deserves the support of the European Parliament, the Commission and the Council.
